city_name,province_name,value,date
邢台市,河北省,17.58,20200101
石家庄市,河北省,11.91,20200101
北京市,北京市,10.1,20200101
安阳市,河南省,7.77,20200101
天津市,天津市,6.86,20200101
聊城市,山东省,5.67,20200101
濮阳市,河南省,2.97,20200101
长治市,山西省,2.68,20200101
保定市,河北省,2.66,20200101
郑州市,河南省,1.8,20200101
衡水市,河北省,1.45,20200101
廊坊市,河北省,1.39,20200101
沧州市,河北省,1.37,20200101
菏泽市,山东省,1.03,20200101
晋中市,山西省,0.98,20200101
唐山市,河北省,0.88,20200101
潍坊市,山东省,0.78,20200101
新乡市,河南省,0.77,20200101
济南市,山东省,0.67,20200101
济宁市,山东省,0.59,20200101
青岛市,山东省,0.57,20200101
德州市,山东省,0.55,20200101
泰安市,山东省,0.53,20200101
临沂市,山东省,0.51,20200101
吕梁市,山西省,0.49,20200101
临汾市,山西省,0.47,20200101
太原市,山西省,0.45,20200101
滨州市,山东省,0.4,20200101
日照市,山东省,0.39,20200101
榆林市,陕西省,0.38,20200101
武汉市,湖北省,0.36,20200101
鹤壁市,河南省,0.36,20200101
西安市,陕西省,0.34,20200101
徐州市,江苏省,0.32,20200101
洛阳市,河南省,0.31,20200101
广州市,广东省,0.29,20200101
上海市,上海市,0.29,20200101
成都市,四川省,0.29,20200101
晋城市,山西省,0.28,20200101
烟台市,山东省,0.28,20200101
张家口市,河北省,0.27,20200101
淄博市,山东省,0.26,20200101
长沙市,湖南省,0.26,20200101
苏州市,江苏省,0.24,20200101
秦皇岛市,河北省,0.23,20200101
扬州市,江苏省,0.23,20200101
商丘市,河南省,0.22,20200101
许昌市,河南省,0.22,20200101
忻州市,山西省,0.21,20200101
周口市,河南省,0.21,20200101
石家庄市,河北省,12.13,20200102
北京市,北京市,11.3,20200102
邢台市,河北省,10.31,20200102
天津市,天津市,7.2,20200102
安阳市,河南省,4.61,20200102
保定市,河北省,2.9,20200102
长治市,山西省,2.78,20200102
聊城市,山东省,2.76,20200102
郑州市,河南省,2.1,20200102
沧州市,河北省,1.69,20200102
唐山市,河北省,1.68,20200102
濮阳市,河南省,1.58,20200102
廊坊市,河北省,1.55,20200102
衡水市,河北省,1.37,20200102
潍坊市,山东省,1.11,20200102
晋中市,山西省,1.07,20200102
济南市,山东省,0.98,20200102
临沂市,山东省,0.87,20200102
青岛市,山东省,0.86,20200102
日照市,山东省,0.84,20200102
菏泽市,山东省,0.8,20200102
新乡市,河南省,0.78,20200102
太原市,山西省,0.76,20200102
济宁市,山东省,0.69,20200102
徐州市,江苏省,0.63,20200102
泰安市,山东省,0.61,20200102
吕梁市,山西省,0.59,20200102
武汉市,湖北省,0.58,20200102
德州市,山东省,0.58,20200102
临汾市,山西省,0.57,20200102
苏州市,江苏省,0.56,20200102
上海市,上海市,0.5,20200102
西安市,陕西省,0.5,20200102
滨州市,山东省,0.49,20200102
榆林市,陕西省,0.48,20200102
张家口市,河北省,0.46,20200102
烟台市,山东省,0.45,20200102
洛阳市,河南省,0.44,20200102
淄博市,山东省,0.43,20200102
鹤壁市,河南省,0.39,20200102
长沙市,湖南省,0.37,20200102
晋城市,山西省,0.37,20200102
秦皇岛市,河北省,0.36,20200102
重庆市,重庆市,0.35,20200102
广州市,广东省,0.35,20200102
承德市,河北省,0.34,20200102
南阳市,河南省,0.32,20200102
成都市,四川省,0.31,20200102
连云港市,江苏省,0.28,20200102
南京市,江苏省,0.27,20200102
邢台市,河北省,13.52,20200103
石家庄市,河北省,12.84,20200103
北京市,北京市,8.87,20200103
天津市,天津市,6.7,20200103
安阳市,河南省,5.99,20200103
聊城市,山东省,4.24,20200103
保定市,河北省,3.04,20200103
长治市,山西省,2.92,20200103
郑州市,河南省,2.41,20200103
濮阳市,河南省,2.16,20200103
沧州市,河北省,1.58,20200103
衡水市,河北省,1.56,20200103
廊坊市,河北省,1.35,20200103
晋中市,山西省,1.27,20200103
唐山市,河北省,1.25,20200103
济南市,山东省,1.02,20200103
菏泽市,山东省,0.92,20200103
新乡市,河南省,0.88,20200103
临沂市,山东省,0.75,20200103
青岛市,山东省,0.71,20200103
太原市,山西省,0.68,20200103
潍坊市,山东省,0.68,20200103
德州市,山东省,0.65,20200103
济宁市,山东省,0.64,20200103
泰安市,山东省,0.64,20200103
武汉市,湖北省,0.59,20200103
西安市,陕西省,0.54,20200103
榆林市,陕西省,0.51,20200103
上海市,上海市,0.5,20200103
徐州市,江苏省,0.5,20200103
吕梁市,山西省,0.48,20200103
鹤壁市,河南省,0.48,20200103
临汾市,山西省,0.48,20200103
日照市,山东省,0.46,20200103
滨州市,山东省,0.46,20200103
晋城市,山西省,0.43,20200103
张家口市,河北省,0.37,20200103
淄博市,山东省,0.36,20200103
成都市,四川省,0.35,20200103
洛阳市,河南省,0.35,20200103
广州市,广东省,0.34,20200103
许昌市,河南省,0.31,20200103
南阳市,河南省,0.3,20200103
忻州市,山西省,0.29,20200103
苏州市,江苏省,0.28,20200103
重庆市,重庆市,0.28,20200103
承德市,河北省,0.27,20200103
商丘市,河南省,0.26,20200103
长沙市,湖南省,0.26,20200103
秦皇岛市,河北省,0.25,20200103
邢台市,河北省,16.71,20200104
石家庄市,河北省,12.94,20200104
北京市,北京市,8.35,20200104
安阳市,河南省,7.34,20200104
天津市,天津市,6.2,20200104
聊城市,山东省,5.64,20200104
濮阳市,河南省,2.99,20200104
保定市,河北省,2.76,20200104
衡水市,河北省,2.51,20200104
长治市,山西省,2.47,20200104
郑州市,河南省,1.83,20200104
沧州市,河北省,1.41,20200104
唐山市,河北省,1.1,20200104
济南市,山东省,1.07,20200104
晋中市,山西省,1.07,20200104
廊坊市,河北省,1.05,20200104
新乡市,河南省,0.91,20200104
菏泽市,山东省,0.85,20200104
太原市,山西省,0.72,20200104
上海市,上海市,0.56,20200104
苏州市,江苏省,0.55,20200104
临沂市,山东省,0.52,20200104
泰安市,山东省,0.52,20200104
青岛市,山东省,0.51,20200104
德州市,山东省,0.51,20200104
潍坊市,山东省,0.5,20200104
临汾市,山西省,0.47,20200104
济宁市,山东省,0.44,20200104
武汉市,湖北省,0.41,20200104
徐州市,江苏省,0.39,20200104
鹤壁市,河南省,0.39,20200104
西安市,陕西省,0.38,20200104
张家口市,河北省,0.38,20200104
洛阳市,河南省,0.3,20200104
滨州市,山东省,0.29,20200104
晋城市,山西省,0.27,20200104
淄博市,山东省,0.26,20200104
承德市,河北省,0.26,20200104
运城市,山西省,0.26,20200104
吕梁市,山西省,0.25,20200104
南京市,江苏省,0.25,20200104
秦皇岛市,河北省,0.25,20200104
杭州市,浙江省,0.25,20200104
成都市,四川省,0.24,20200104
日照市,山东省,0.24,20200104
南阳市,河南省,0.23,20200104
广州市,广东省,0.22,20200104
重庆市,重庆市,0.22,20200104
许昌市,河南省,0.22,20200104
榆林市,陕西省,0.21,20200104
邢台市,河北省,17.57,20200105
石家庄市,河北省,17.08,20200105
北京市,北京市,12.84,20200105
安阳市,河南省,7.33,20200105
天津市,天津市,6.87,20200105
聊城市,山东省,4.54,20200105
濮阳市,河南省,2.62,20200105
保定市,河北省,2.47,20200105
郑州市,河南省,1.84,20200105
沧州市,河北省,1.41,20200105
衡水市,河北省,1.26,20200105
廊坊市,河北省,1.08,20200105
