city_name,province_name,value,date
长沙市,湖南省,22.63,20200101
娄底市,湖南省,9.44,20200101
东莞市,广东省,6.55,20200101
怀化市,湖南省,6.19,20200101
广州市,广东省,5.83,20200101
深圳市,广东省,5.71,20200101
衡阳市,湖南省,4.15,20200101
永州市,湖南省,3.23,20200101
株洲市,湖南省,2.75,20200101
桂林市,广西壮族自治区,2.54,20200101
湘潭市,湖南省,1.47,20200101
佛山市,广东省,1.36,20200101
惠州市,广东省,1.27,20200101
金华市,浙江省,1.18,20200101
黔东南苗族侗族自治州,贵州省,1.07,20200101
中山市,广东省,0.93,20200101
常德市,湖南省,0.93,20200101
郴州市,湖南省,0.92,20200101
岳阳市,湖南省,0.85,20200101
益阳市,湖南省,0.83,20200101
重庆市,重庆市,0.71,20200101
泉州市,福建省,0.71,20200101
湘西土家族苗族自治州,湖南省,0.69,20200101
温州市,浙江省,0.69,20200101
贵阳市,贵州省,0.6,20200101
铜仁市,贵州省,0.58,20200101
宁波市,浙江省,0.57,20200101
杭州市,浙江省,0.55,20200101
武汉市,湖北省,0.44,20200101
上海市,上海市,0.42,20200101
清远市,广东省,0.39,20200101
南宁市,广西壮族自治区,0.39,20200101
柳州市,广西壮族自治区,0.36,20200101
黔南布依族苗族自治州,贵州省,0.34,20200101
绍兴市,浙江省,0.34,20200101
台州市,浙江省,0.34,20200101
苏州市,江苏省,0.34,20200101
昆明市,云南省,0.32,20200101
珠海市,广东省,0.31,20200101
嘉兴市,浙江省,0.31,20200101
张家界市,湖南省,0.3,20200101
江门市,广东省,0.28,20200101
韶关市,广东省,0.26,20200101
北京市,北京市,0.26,20200101
遵义市,贵州省,0.21,20200101
宜春市,江西省,0.21,20200101
南昌市,江西省,0.2,20200101
厦门市,福建省,0.2,20200101
湛江市,广东省,0.18,20200101
肇庆市,广东省,0.18,20200101
长沙市,湖南省,23.91,20200102
东莞市,广东省,8.41,20200102
广州市,广东省,7.16,20200102
深圳市,广东省,7.05,20200102
娄底市,湖南省,5.35,20200102
怀化市,湖南省,3.55,20200102
衡阳市,湖南省,2.99,20200102
株洲市,湖南省,2.74,20200102
永州市,湖南省,2.41,20200102
桂林市,广西壮族自治区,1.91,20200102
惠州市,广东省,1.89,20200102
佛山市,广东省,1.61,20200102
湘潭市,湖南省,1.58,20200102
中山市,广东省,1.12,20200102
金华市,浙江省,1.1,20200102
岳阳市,湖南省,1.0,20200102
常德市,湖南省,0.85,20200102
温州市,浙江省,0.8,20200102
郴州市,湖南省,0.76,20200102
益阳市,湖南省,0.7,20200102
贵阳市,贵州省,0.68,20200102
黔东南苗族侗族自治州,贵州省,0.65,20200102
湘西土家族苗族自治州,湖南省,0.63,20200102
宁波市,浙江省,0.61,20200102
泉州市,福建省,0.57,20200102
珠海市,广东省,0.55,20200102
武汉市,湖北省,0.53,20200102
苏州市,江苏省,0.53,20200102
上海市,上海市,0.51,20200102
杭州市,浙江省,0.51,20200102
铜仁市,贵州省,0.48,20200102
柳州市,广西壮族自治区,0.48,20200102
重庆市,重庆市,0.46,20200102
清远市,广东省,0.43,20200102
嘉兴市,浙江省,0.42,20200102
南宁市,广西壮族自治区,0.39,20200102
昆明市,云南省,0.38,20200102
江门市,广东省,0.38,20200102
北京市,北京市,0.3,20200102
台州市,浙江省,0.3,20200102
韶关市,广东省,0.3,20200102
张家界市,湖南省,0.26,20200102
绍兴市,浙江省,0.26,20200102
南昌市,江西省,0.25,20200102
成都市,四川省,0.25,20200102
西安市,陕西省,0.25,20200102
厦门市,福建省,0.25,20200102
海口市,海南省,0.25,20200102
无锡市,江苏省,0.25,20200102
黔南布依族苗族自治州,贵州省,0.24,20200102
长沙市,湖南省,24.67,20200103
娄底市,湖南省,7.28,20200103
东莞市,广东省,6.83,20200103
深圳市,广东省,6.31,20200103
广州市,广东省,6.08,20200103
怀化市,湖南省,4.39,20200103
衡阳市,湖南省,3.78,20200103
永州市,湖南省,3.13,20200103
株洲市,湖南省,3.07,20200103
湘潭市,湖南省,2.13,20200103
桂林市,广西壮族自治区,1.82,20200103
惠州市,广东省,1.49,20200103
佛山市,广东省,1.44,20200103
岳阳市,湖南省,1.12,20200103
金华市,浙江省,1.11,20200103
中山市,广东省,1.01,20200103
郴州市,湖南省,0.96,20200103
温州市,浙江省,0.91,20200103
益阳市,湖南省,0.88,20200103
泉州市,福建省,0.8,20200103
常德市,湖南省,0.68,20200103
贵阳市,贵州省,0.61,20200103
黔东南苗族侗族自治州,贵州省,0.6,20200103
宁波市,浙江省,0.59,20200103
湘西土家族苗族自治州,湖南省,0.5,20200103
苏州市,江苏省,0.5,20200103
柳州市,广西壮族自治区,0.49,20200103
杭州市,浙江省,0.47,20200103
珠海市,广东省,0.46,20200103
重庆市,重庆市,0.45,20200103
上海市,上海市,0.43,20200103
台州市,浙江省,0.42,20200103
武汉市,湖北省,0.4,20200103
清远市,广东省,0.37,20200103
江门市,广东省,0.34,20200103
铜仁市,贵州省,0.34,20200103
嘉兴市,浙江省,0.33,20200103
南宁市,广西壮族自治区,0.33,20200103
绍兴市,浙江省,0.32,20200103
北京市,北京市,0.32,20200103
昆明市,云南省,0.3,20200103
张家界市,湖南省,0.28,20200103
肇庆市,广东省,0.27,20200103
毕节市,贵州省,0.26,20200103
厦门市,福建省,0.22,20200103
遵义市,贵州省,0.22,20200103
南昌市,江西省,0.22,20200103
成都市,四川省,0.21,20200103
黔南布依族苗族自治州,贵州省,0.21,20200103
宜春市,江西省,0.21,20200103
长沙市,湖南省,25.98,20200104
娄底市,湖南省,7.35,20200104
广州市,广东省,6.11,20200104
东莞市,广东省,5.83,20200104
深圳市,广东省,5.42,20200104
衡阳市,湖南省,4.56,20200104
怀化市,湖南省,4.44,20200104
永州市,湖南省,3.49,20200104
株洲市,湖南省,3.21,20200104
湘潭市,湖南省,2.2,20200104
桂林市,广西壮族自治区,2.08,20200104
惠州市,广东省,1.39,20200104
佛山市,广东省,1.26,20200104
金华市,浙江省,1.01,20200104
中山市,广东省,1.01,20200104
岳阳市,湖南省,0.94,20200104
益阳市,湖南省,0.85,20200104
常德市,湖南省,0.81,20200104
郴州市,湖南省,0.73,20200104
温州市,浙江省,0.72,20200104
黔东南苗族侗族自治州,贵州省,0.71,20200104
泉州市,福建省,0.63,20200104
贵阳市,贵州省,0.62,20200104
上海市,上海市,0.54,20200104
昆明市,云南省,0.5,20200104
宁波市,浙江省,0.49,20200104
珠海市,广东省,0.48,20200104
清远市,广东省,0.47,20200104
武汉市,湖北省,0.46,20200104
铜仁市,贵州省,0.45,20200104
湘西土家族苗族自治州,湖南省,0.45,20200104
杭州市,浙江省,0.41,20200104
苏州市,江苏省,0.41,20200104
北京市,北京市,0.4,20200104
重庆市,重庆市,0.39,20200104
南宁市,广西壮族自治区,0.38,20200104
台州市,浙江省,0.34,20200104
嘉兴市,浙江省,0.34,20200104
柳州市,广西壮族自治区,0.33,20200104
张家界市,湖南省,0.31,20200104
韶关市,广东省,0.29,20200104
江门市,广东省,0.29,20200104
肇庆市,广东省,0.28,20200104
海口市,海南省,0.27,20200104
绍兴市,浙江省,0.24,20200104
厦门市,福建省,0.22,20200104
毕节市,贵州省,0.21,20200104
南昌市,江西省,0.21,20200104
天津市,天津市,0.19,20200104
湛江市,广东省,0.18,20200104
长沙市,湖南省,26.29,20200105
娄底市,湖南省,7.41,20200105
深圳市,广东省,5.92,20200105
广州市,广东省,5.91,20200105
东莞市,广东省,5.79,20200105
衡阳市,湖南省,5.36,20200105
怀化市,湖南省,4.2,20200105
永州市,湖南省,3.2,20200105
株洲市,湖南省,2.91,20200105
湘潭市,湖南省,2.55,20200105
桂林市,广西壮族自治区,2.03,20200105
佛山市,广东省,1.52,20200105
惠州市,广东省,1.38,20200105
益阳市,湖南省,1.19,20200105
金华市,浙江省,1.04,20200105
中山市,广东省,0.99,20200105
常德市,湖南省,0.95,20200105
岳阳市,湖南省,0.88,20200105
温州市,浙江省,0.82,20200105
郴州市,湖南省,0.75,20200105
黔东南苗族侗族自治州,贵州省,0.68,20200105
泉州市,福建省,0.6,20200105
宁波市,浙江省,0.55,20200105
湘西土家族苗族自治州,湖南省,0.49,20200105
杭州市,浙江省,0.46,20200105
贵阳市,贵州省,0.46,20200105
珠海市,广东省,0.45,20200105
昆明市,云南省,0.44,20200105
上海市,上海市,0.41,20200105
清远市,广东省,0.41,20200105
重庆市,重庆市,0.41,20200105
铜仁市,贵州省,0.4,20200105
南宁市,广西壮族自治区,0.4,20200105
台州市,浙江省,0.38,20200105
柳州市,广西壮族自治区,0.37,20200105
北京市,北京市,0.37,20200105
武汉市,湖北省,0.36,20200105
嘉兴市,浙江省,0.35,20200105
苏州市,江苏省,0.33,20200105
江门市,广东省,0.3,20200105
绍兴市,浙江省,0.27,20200105
张家界市,湖南省,0.27,20200105
黔南布依族苗族自治州,贵州省,0.2,20200105
韶关市,广东省,0.2,20200105
厦门市,福建省,0.19,20200105
海口市,海南省,0.18,20200105
成都市,四川省,0.18,20200105
宜春市,江西省,0.17,20200105
西安市,陕西省,0.16,20200105
南昌市,江西省,0.16,20200105
长沙市,湖南省,24.31,20200106
娄底市,湖南省,6.93,20200106
东莞市,广东省,6.22,20200106
广州市,广东省,5.92,20200106
深圳市,广东省,5.66,20200106
衡阳市,湖南省,5.1,20200106
怀化市,湖南省,3.81,20200106
株洲市,湖南省,2.91,20200106
永州市,湖南省,2.83,20200106
湘潭市,湖南省,2.52,20200106
桂林市,广西壮族自治区,1.75,20200106
