city_name,province_name,value,date
开封市,河南省,11.38,20200101
新乡市,河南省,9.61,20200101
周口市,河南省,7.76,20200101
许昌市,河南省,6.96,20200101
洛阳市,河南省,6.88,20200101
焦作市,河南省,5.52,20200101
商丘市,河南省,5.26,20200101
平顶山市,河南省,4.49,20200101
南阳市,河南省,4.29,20200101
驻马店市,河南省,4.13,20200101
安阳市,河南省,3.75,20200101
信阳市,河南省,2.69,20200101
漯河市,河南省,2.12,20200101
北京市,北京市,1.91,20200101
濮阳市,河南省,1.67,20200101
三门峡市,河南省,1.38,20200101
鹤壁市,河南省,1.3,20200101
上海市,上海市,0.79,20200101
西安市,陕西省,0.73,20200101
武汉市,湖北省,0.57,20200101
菏泽市,山东省,0.51,20200101
苏州市,江苏省,0.49,20200101
济源市,河南省,0.45,20200101
阜阳市,安徽省,0.39,20200101
邯郸市,河北省,0.39,20200101
广州市,广东省,0.37,20200101
晋城市,山西省,0.37,20200101
重庆市,重庆市,0.32,20200101
石家庄市,河北省,0.31,20200101
杭州市,浙江省,0.29,20200101
南京市,江苏省,0.29,20200101
天津市,天津市,0.28,20200101
成都市,四川省,0.28,20200101
深圳市,广东省,0.26,20200101
运城市,山西省,0.24,20200101
徐州市,江苏省,0.23,20200101
济南市,山东省,0.22,20200101
安庆市,安徽省,0.22,20200101
长沙市,湖南省,0.21,20200101
长治市,山西省,0.2,20200101
邢台市,河北省,0.19,20200101
太原市,山西省,0.17,20200101
保定市,河北省,0.17,20200101
合肥市,安徽省,0.16,20200101
孝感市,湖北省,0.16,20200101
亳州市,安徽省,0.16,20200101
三亚市,海南省,0.15,20200101
襄阳市,湖北省,0.14,20200101
青岛市,山东省,0.14,20200101
昆明市,云南省,0.14,20200101
周口市,河南省,8.38,20200102
开封市,河南省,8.29,20200102
新乡市,河南省,7.19,20200102
洛阳市,河南省,5.78,20200102
商丘市,河南省,5.72,20200102
许昌市,河南省,5.22,20200102
南阳市,河南省,5.19,20200102
驻马店市,河南省,4.98,20200102
平顶山市,河南省,4.3,20200102
焦作市,河南省,4.12,20200102
安阳市,河南省,3.78,20200102
信阳市,河南省,3.37,20200102
漯河市,河南省,2.16,20200102
北京市,北京市,2.14,20200102
濮阳市,河南省,1.98,20200102
三门峡市,河南省,1.69,20200102
鹤壁市,河南省,1.32,20200102
上海市,上海市,1.08,20200102
西安市,陕西省,0.96,20200102
武汉市,湖北省,0.69,20200102
苏州市,江苏省,0.68,20200102
济源市,河南省,0.54,20200102
广州市,广东省,0.51,20200102
重庆市,重庆市,0.48,20200102
杭州市,浙江省,0.46,20200102
深圳市,广东省,0.45,20200102
菏泽市,山东省,0.44,20200102
南京市,江苏省,0.42,20200102
石家庄市,河北省,0.39,20200102
成都市,四川省,0.36,20200102
邯郸市,河北省,0.35,20200102
天津市,天津市,0.34,20200102
长沙市,湖南省,0.33,20200102
安庆市,安徽省,0.3,20200102
晋城市,山西省,0.28,20200102
运城市,山西省,0.28,20200102
徐州市,江苏省,0.28,20200102
济南市,山东省,0.28,20200102
阜阳市,安徽省,0.27,20200102
合肥市,安徽省,0.27,20200102
青岛市,山东省,0.25,20200102
厦门市,福建省,0.25,20200102
三亚市,海南省,0.23,20200102
太原市,山西省,0.23,20200102
长治市,山西省,0.21,20200102
孝感市,湖北省,0.2,20200102
昆明市,云南省,0.19,20200102
保定市,河北省,0.18,20200102
哈尔滨市,黑龙江省,0.17,20200102
襄阳市,湖北省,0.17,20200102
开封市,河南省,10.51,20200103
新乡市,河南省,9.01,20200103
周口市,河南省,7.64,20200103
洛阳市,河南省,6.65,20200103
许昌市,河南省,6.39,20200103
商丘市,河南省,5.29,20200103
焦作市,河南省,4.9,20200103
南阳市,河南省,4.45,20200103
平顶山市,河南省,4.29,20200103
驻马店市,河南省,4.17,20200103
安阳市,河南省,3.74,20200103
信阳市,河南省,2.93,20200103
漯河市,河南省,2.22,20200103
濮阳市,河南省,2.0,20200103
北京市,北京市,1.96,20200103
三门峡市,河南省,1.61,20200103
鹤壁市,河南省,1.33,20200103
西安市,陕西省,0.96,20200103
上海市,上海市,0.95,20200103
武汉市,湖北省,0.65,20200103
济源市,河南省,0.62,20200103
苏州市,江苏省,0.57,20200103
菏泽市,山东省,0.46,20200103
重庆市,重庆市,0.43,20200103
广州市,广东省,0.42,20200103
石家庄市,河北省,0.37,20200103
邯郸市,河北省,0.37,20200103
深圳市,广东省,0.37,20200103
杭州市,浙江省,0.33,20200103
成都市,四川省,0.33,20200103
南京市,江苏省,0.31,20200103
晋城市,山西省,0.3,20200103
长沙市,湖南省,0.28,20200103
天津市,天津市,0.28,20200103
安庆市,安徽省,0.26,20200103
济南市,山东省,0.26,20200103
徐州市,江苏省,0.25,20200103
合肥市,安徽省,0.23,20200103
阜阳市,安徽省,0.23,20200103
运城市,山西省,0.22,20200103
厦门市,福建省,0.21,20200103
太原市,山西省,0.19,20200103
保定市,河北省,0.17,20200103
孝感市,湖北省,0.17,20200103
济宁市,山东省,0.16,20200103
长治市,山西省,0.16,20200103
青岛市,山东省,0.16,20200103
昆明市,云南省,0.16,20200103
哈尔滨市,黑龙江省,0.15,20200103
襄阳市,湖北省,0.15,20200103
开封市,河南省,11.63,20200104
新乡市,河南省,9.11,20200104
周口市,河南省,7.9,20200104
许昌市,河南省,6.84,20200104
洛阳市,河南省,6.57,20200104
商丘市,河南省,5.26,20200104
焦作市,河南省,5.17,20200104
南阳市,河南省,4.62,20200104
平顶山市,河南省,4.25,20200104
驻马店市,河南省,4.11,20200104
安阳市,河南省,3.57,20200104
信阳市,河南省,2.94,20200104
漯河市,河南省,2.13,20200104
濮阳市,河南省,1.85,20200104
北京市,北京市,1.53,20200104
三门峡市,河南省,1.42,20200104
鹤壁市,河南省,1.27,20200104
上海市,上海市,0.81,20200104
西安市,陕西省,0.7,20200104
苏州市,江苏省,0.6,20200104
武汉市,湖北省,0.56,20200104
济源市,河南省,0.55,20200104
菏泽市,山东省,0.47,20200104
晋城市,山西省,0.38,20200104
邯郸市,河北省,0.37,20200104
石家庄市,河北省,0.35,20200104
杭州市,浙江省,0.34,20200104
重庆市,重庆市,0.32,20200104
成都市,四川省,0.3,20200104
广州市,广东省,0.3,20200104
天津市,天津市,0.28,20200104
南京市,江苏省,0.28,20200104
