city_name,province_name,value,date
武汉市,湖北省,44.5,20200101
黄石市,湖北省,33.45,20200101
黄冈市,湖北省,9.87,20200101
咸宁市,湖北省,1.44,20200101
孝感市,湖北省,1.2,20200101
荆州市,湖北省,0.58,20200101
襄阳市,湖北省,0.52,20200101
宜昌市,湖北省,0.37,20200101
九江市,江西省,0.31,20200101
荆门市,湖北省,0.26,20200101
上海市,上海市,0.25,20200101
杭州市,浙江省,0.23,20200101
随州市,湖北省,0.23,20200101
恩施土家族苗族自治州,湖北省,0.23,20200101
长沙市,湖南省,0.21,20200101
深圳市,广东省,0.2,20200101
岳阳市,湖南省,0.2,20200101
重庆市,重庆市,0.16,20200101
南昌市,江西省,0.15,20200101
潜江市,湖北省,0.13,20200101
郑州市,河南省,0.13,20200101
仙桃市,湖北省,0.13,20200101
安庆市,安徽省,0.13,20200101
信阳市,河南省,0.13,20200101
十堰市,湖北省,0.13,20200101
北京市,北京市,0.13,20200101
遵义市,贵州省,0.11,20200101
广州市,广东省,0.11,20200101
苏州市,江苏省,0.11,20200101
东莞市,广东省,0.11,20200101
合肥市,安徽省,0.1,20200101
南京市,江苏省,0.1,20200101
天门市,湖北省,0.09,20200101
邵阳市,湖南省,0.09,20200101
宜春市,江西省,0.09,20200101
成都市,四川省,0.09,20200101
南阳市,河南省,0.09,20200101
马鞍山市,安徽省,0.08,20200101
西安市,陕西省,0.07,20200101
株洲市,湖南省,0.07,20200101
常州市,江苏省,0.07,20200101
宁波市,浙江省,0.07,20200101
惠州市,广东省,0.07,20200101
湖州市,浙江省,0.06,20200101
温州市,浙江省,0.06,20200101
石家庄市,河北省,0.06,20200101
金华市,浙江省,0.05,20200101
无锡市,江苏省,0.05,20200101
上饶市,江西省,0.05,20200101
周口市,河南省,0.05,20200101
武汉市,湖北省,47.07,20200102
黄石市,湖北省,21.81,20200102
黄冈市,湖北省,9.23,20200102
咸宁市,湖北省,1.84,20200102
孝感市,湖北省,1.49,20200102
荆州市,湖北省,1.15,20200102
襄阳市,湖北省,0.88,20200102
宜昌市,湖北省,0.73,20200102
随州市,湖北省,0.69,20200102
上海市,上海市,0.56,20200102
恩施土家族苗族自治州,湖北省,0.54,20200102
重庆市,重庆市,0.51,20200102
长沙市,湖南省,0.5,20200102
荆门市,湖北省,0.47,20200102
九江市,江西省,0.46,20200102
深圳市,广东省,0.43,20200102
十堰市,湖北省,0.42,20200102
南昌市,江西省,0.34,20200102
郑州市,河南省,0.31,20200102
仙桃市,湖北省,0.29,20200102
合肥市,安徽省,0.28,20200102
北京市,北京市,0.27,20200102
岳阳市,湖南省,0.24,20200102
广州市,广东省,0.24,20200102
潜江市,湖北省,0.22,20200102
南京市,江苏省,0.2,20200102
苏州市,江苏省,0.2,20200102
成都市,四川省,0.2,20200102
杭州市,浙江省,0.19,20200102
东莞市,广东省,0.18,20200102
福州市,福建省,0.17,20200102
天门市,湖北省,0.14,20200102
驻马店市,河南省,0.14,20200102
株洲市,湖南省,0.13,20200102
贵阳市,贵州省,0.13,20200102
南阳市,河南省,0.13,20200102
周口市,河南省,0.13,20200102
保定市,河北省,0.13,20200102
信阳市,河南省,0.12,20200102
金华市,浙江省,0.12,20200102
宁波市,浙江省,0.12,20200102
遵义市,贵州省,0.1,20200102
六安市,安徽省,0.1,20200102
昆明市,云南省,0.1,20200102
上饶市,江西省,0.1,20200102
宜春市,江西省,0.09,20200102
桂林市,广西壮族自治区,0.09,20200102
温州市,浙江省,0.09,20200102
邯郸市,河北省,0.08,20200102
佛山市,广东省,0.08,20200102
武汉市,湖北省,45.8,20200103
黄石市,湖北省,22.93,20200103
黄冈市,湖北省,9.26,20200103
咸宁市,湖北省,2.03,20200103
孝感市,湖北省,1.57,20200103
襄阳市,湖北省,1.22,20200103
荆州市,湖北省,1.18,20200103
随州市,湖北省,0.71,20200103
恩施土家族苗族自治州,湖北省,0.69,20200103
宜昌市,湖北省,0.66,20200103
重庆市,重庆市,0.6,20200103
十堰市,湖北省,0.54,20200103
荆门市,湖北省,0.54,20200103
长沙市,湖南省,0.5,20200103
上海市,上海市,0.36,20200103
仙桃市,湖北省,0.32,20200103
天门市,湖北省,0.29,20200103
九江市,江西省,0.28,20200103
深圳市,广东省,0.27,20200103
广州市,广东省,0.26,20200103
信阳市,河南省,0.26,20200103
贵阳市,贵州省,0.24,20200103
南昌市,江西省,0.23,20200103
郑州市,河南省,0.21,20200103
潜江市,湖北省,0.19,20200103
天水市,甘肃省,0.19,20200103
