city_name,province_name,value,date
杭州市,浙江省,20.27,20200101
绍兴市,浙江省,8.76,20200101
丽水市,浙江省,8.04,20200101
衢州市,浙江省,7.17,20200101
宁波市,浙江省,6.79,20200101
温州市,浙江省,5.66,20200101
台州市,浙江省,5.61,20200101
上海市,上海市,3.99,20200101
上饶市,江西省,2.92,20200101
嘉兴市,浙江省,2.39,20200101
苏州市,江苏省,1.64,20200101
湖州市,浙江省,1.41,20200101
无锡市,江苏省,0.66,20200101
南昌市,江西省,0.62,20200101
南京市,江苏省,0.57,20200101
北京市,北京市,0.53,20200101
武汉市,湖北省,0.52,20200101
景德镇市,江西省,0.5,20200101
合肥市,安徽省,0.46,20200101
抚州市,江西省,0.45,20200101
广州市,广东省,0.45,20200101
南通市,江苏省,0.43,20200101
常州市,江苏省,0.43,20200101
南平市,福建省,0.43,20200101
商丘市,河南省,0.4,20200101
重庆市,重庆市,0.39,20200101
深圳市,广东省,0.38,20200101
鹰潭市,江西省,0.35,20200101
黄山市,安徽省,0.35,20200101
长沙市,湖南省,0.34,20200101
舟山市,浙江省,0.33,20200101
赣州市,江西省,0.33,20200101
徐州市,江苏省,0.32,20200101
泉州市,福建省,0.32,20200101
临沂市,山东省,0.31,20200101
宜春市,江西省,0.3,20200101
郑州市,河南省,0.29,20200101
福州市,福建省,0.28,20200101
宣城市,安徽省,0.27,20200101
九江市,江西省,0.26,20200101
周口市,河南省,0.26,20200101
滁州市,安徽省,0.26,20200101
长春市,吉林省,0.25,20200101
阜阳市,安徽省,0.24,20200101
芜湖市,安徽省,0.24,20200101
亳州市,安徽省,0.21,20200101
厦门市,福建省,0.21,20200101
西安市,陕西省,0.19,20200101
天津市,天津市,0.19,20200101
吉安市,江西省,0.19,20200101
杭州市,浙江省,17.94,20200102
宁波市,浙江省,6.65,20200102
绍兴市,浙江省,6.16,20200102
温州市,浙江省,5.19,20200102
上海市,上海市,5.04,20200102
衢州市,浙江省,4.86,20200102
丽水市,浙江省,4.43,20200102
台州市,浙江省,4.14,20200102
上饶市,江西省,3.39,20200102
嘉兴市,浙江省,2.75,20200102
苏州市,江苏省,2.33,20200102
湖州市,浙江省,1.72,20200102
无锡市,江苏省,1.01,20200102
南京市,江苏省,0.93,20200102
南昌市,江西省,0.78,20200102
北京市,北京市,0.75,20200102
常州市,江苏省,0.66,20200102
合肥市,安徽省,0.66,20200102
广州市,广东省,0.63,20200102
武汉市,湖北省,0.61,20200102
景德镇市,江西省,0.61,20200102
临沂市,山东省,0.54,20200102
南通市,江苏省,0.53,20200102
抚州市,江西省,0.52,20200102
舟山市,浙江省,0.47,20200102
周口市,河南省,0.45,20200102
鹰潭市,江西省,0.44,20200102
深圳市,广东省,0.44,20200102
阜阳市,安徽省,0.43,20200102
九江市,江西省,0.42,20200102
商丘市,河南省,0.41,20200102
宣城市,安徽省,0.41,20200102
福州市,福建省,0.41,20200102
长沙市,湖南省,0.4,20200102
南平市,福建省,0.4,20200102
徐州市,江苏省,0.39,20200102
泉州市,福建省,0.38,20200102
宜春市,江西省,0.38,20200102
重庆市,重庆市,0.36,20200102
宿州市,安徽省,0.34,20200102
青岛市,山东省,0.34,20200102
郑州市,河南省,0.33,20200102
西安市,陕西省,0.33,20200102
盐城市,江苏省,0.33,20200102
镇江市,江苏省,0.31,20200102
芜湖市,安徽省,0.3,20200102
黄山市,安徽省,0.3,20200102
亳州市,安徽省,0.29,20200102
成都市,四川省,0.29,20200102
东莞市,广东省,0.29,20200102
杭州市,浙江省,22.58,20200103
绍兴市,浙江省,6.65,20200103
宁波市,浙江省,6.2,20200103
丽水市,浙江省,5.89,20200103
衢州市,浙江省,5.71,20200103
温州市,浙江省,5.53,20200103
上海市,上海市,5.51,20200103
台州市,浙江省,4.47,20200103
上饶市,江西省,2.76,20200103
嘉兴市,浙江省,2.4,20200103
苏州市,江苏省,1.94,20200103
湖州市,浙江省,1.62,20200103
南昌市,江西省,0.91,20200103
无锡市,江苏省,0.87,20200103
南京市,江苏省,0.77,20200103
合肥市,安徽省,0.54,20200103
北京市,北京市,0.53,20200103
常州市,江苏省,0.53,20200103
广州市,广东省,0.52,20200103
南通市,江苏省,0.51,20200103
南平市,福建省,0.5,20200103
景德镇市,江西省,0.49,20200103
抚州市,江西省,0.46,20200103
