city_name,province_name,value,date
杭州市,浙江省,15.55,20200101
绍兴市,浙江省,6.16,20200101
衢州市,浙江省,5.62,20200101
丽水市,浙江省,5.52,20200101
温州市,浙江省,4.11,20200101
上饶市,江西省,3.91,20200101
宁波市,浙江省,3.62,20200101
台州市,浙江省,3.44,20200101
上海市,上海市,2.96,20200101
嘉兴市,浙江省,2.0,20200101
黔西南布依族苗族自治州,贵州省,1.83,20200101
毕节市,贵州省,1.55,20200101
昭通市,云南省,1.52,20200101
安顺市,贵州省,1.36,20200101
周口市,河南省,1.3,20200101
黔南布依族苗族自治州,贵州省,1.26,20200101
怀化市,湖南省,1.15,20200101
苏州市,江苏省,1.05,20200101
商丘市,河南省,1.02,20200101
景德镇市,江西省,1.01,20200101
重庆市,重庆市,0.94,20200101
湖州市,浙江省,0.92,20200101
贵阳市,贵州省,0.86,20200101
黔东南苗族侗族自治州,贵州省,0.85,20200101
六盘水市,贵州省,0.78,20200101
遵义市,贵州省,0.73,20200101
宜春市,江西省,0.69,20200101
抚州市,江西省,0.67,20200101
鹰潭市,江西省,0.63,20200101
铜仁市,贵州省,0.6,20200101
合肥市,安徽省,0.54,20200101
南昌市,江西省,0.53,20200101
阜阳市,安徽省,0.49,20200101
南京市,江苏省,0.49,20200101
邵阳市,湖南省,0.48,20200101
亳州市,安徽省,0.46,20200101
湘西土家族苗族自治州,湖南省,0.46,20200101
曲靖市,云南省,0.45,20200101
九江市,江西省,0.43,20200101
黄山市,安徽省,0.42,20200101
恩施土家族苗族自治州,湖北省,0.42,20200101
信阳市,河南省,0.42,20200101
长沙市,湖南省,0.42,20200101
武汉市,湖北省,0.42,20200101
吉安市,江西省,0.42,20200101
赣州市,江西省,0.41,20200101
无锡市,江苏省,0.38,20200101
广州市,广东省,0.38,20200101
昆明市,云南省,0.37,20200101
北京市,北京市,0.37,20200101
杭州市,浙江省,10.95,20200102
上饶市,江西省,4.43,20200102
衢州市,浙江省,3.51,20200102
温州市,浙江省,3.28,20200102
绍兴市,浙江省,3.27,20200102
昭通市,云南省,3.05,20200102
宁波市,浙江省,3.0,20200102
丽水市,浙江省,2.9,20200102
黔西南布依族苗族自治州,贵州省,2.85,20200102
上海市,上海市,2.73,20200102
台州市,浙江省,2.41,20200102
毕节市,贵州省,2.24,20200102
安顺市,贵州省,2.2,20200102
黔南布依族苗族自治州,贵州省,1.99,20200102
周口市,河南省,1.83,20200102
商丘市,河南省,1.52,20200102
嘉兴市,浙江省,1.43,20200102
重庆市,重庆市,1.42,20200102
怀化市,湖南省,1.36,20200102
景德镇市,江西省,1.34,20200102
遵义市,贵州省,1.2,20200102
黔东南苗族侗族自治州,贵州省,1.17,20200102
苏州市,江苏省,1.08,20200102
湖州市,浙江省,1.01,20200102
六盘水市,贵州省,0.9,20200102
阜阳市,安徽省,0.79,20200102
宜春市,江西省,0.79,20200102
贵阳市,贵州省,0.79,20200102
鹰潭市,江西省,0.79,20200102
亳州市,安徽省,0.77,20200102
抚州市,江西省,0.77,20200102
湘西土家族苗族自治州,湖南省,0.75,20200102
铜仁市,贵州省,0.67,20200102
恩施土家族苗族自治州,湖北省,0.6,20200102
吉安市,江西省,0.6,20200102
南昌市,江西省,0.53,20200102
信阳市,河南省,0.52,20200102
广州市,广东省,0.52,20200102
驻马店市,河南省,0.51,20200102
九江市,江西省,0.5,20200102
昆明市,云南省,0.49,20200102
南京市,江苏省,0.49,20200102
邵阳市,湖南省,0.49,20200102
南阳市,河南省,0.48,20200102
曲靖市,云南省,0.47,20200102
无锡市,江苏省,0.46,20200102
北京市,北京市,0.46,20200102
长沙市,湖南省,0.45,20200102
赣州市,江西省,0.43,20200102
宿州市,安徽省,0.43,20200102
杭州市,浙江省,14.04,20200103
绍兴市,浙江省,4.77,20200103
衢州市,浙江省,4.57,20200103
宁波市,浙江省,4.16,20200103
上饶市,江西省,4.01,20200103
丽水市,浙江省,3.86,20200103
温州市,浙江省,3.24,20200103
上海市,上海市,3.18,20200103
台州市,浙江省,2.56,20200103
昭通市,云南省,2.18,20200103
黔西南布依族苗族自治州,贵州省,1.88,20200103
安顺市,贵州省,1.75,20200103
毕节市,贵州省,1.72,20200103
周口市,河南省,1.67,20200103
嘉兴市,浙江省,1.58,20200103
黔南布依族苗族自治州,贵州省,1.51,20200103
商丘市,河南省,1.42,20200103
怀化市,湖南省,1.37,20200103
遵义市,贵州省,1.15,20200103
重庆市,重庆市,1.15,20200103
苏州市,江苏省,1.12,20200103
景德镇市,江西省,1.12,20200103
贵阳市,贵州省,1.02,20200103
湖州市,浙江省,0.95,20200103
黔东南苗族侗族自治州,贵州省,0.81,20200103
六盘水市,贵州省,0.75,20200103
铜仁市,贵州省,0.73,20200103
抚州市,江西省,0.71,20200103
阜阳市,安徽省,0.69,20200103
宜春市,江西省,0.67,20200103
南京市,江苏省,0.67,20200103
南昌市,江西省,0.63,20200103
鹰潭市,江西省,0.61,20200103
无锡市,江苏省,0.56,20200103
亳州市,安徽省,0.55,20200103
恩施土家族苗族自治州,湖北省,0.55,20200103
南阳市,河南省,0.52,20200103
邵阳市,湖南省,0.51,20200103
九江市,江西省,0.5,20200103
湘西土家族苗族自治州,湖南省,0.49,20200103
吉安市,江西省,0.48,20200103
信阳市,河南省,0.46,20200103
昆明市,云南省,0.45,20200103
合肥市,安徽省,0.45,20200103
广州市,广东省,0.43,20200103
武汉市,湖北省,0.41,20200103
长沙市,湖南省,0.41,20200103
驻马店市,河南省,0.39,20200103
北京市,北京市,0.38,20200103
赣州市,江西省,0.37,20200103
杭州市,浙江省,14.13,20200104
绍兴市,浙江省,4.89,20200104
衢州市,浙江省,4.5,20200104
宁波市,浙江省,4.26,20200104
丽水市,浙江省,4.19,20200104
上饶市,江西省,4.0,20200104
温州市,浙江省,3.17,20200104
上海市,上海市,2.85,20200104
台州市,浙江省,2.84,20200104
昭通市,云南省,2.22,20200104
毕节市,贵州省,1.93,20200104
黔西南布依族苗族自治州,贵州省,1.89,20200104
安顺市,贵州省,1.76,20200104
嘉兴市,浙江省,1.68,20200104
周口市,河南省,1.43,20200104
黔南布依族苗族自治州,贵州省,1.4,20200104
商丘市,河南省,1.33,20200104
重庆市,重庆市,1.25,20200104
景德镇市,江西省,1.15,20200104
怀化市,湖南省,1.12,20200104
苏州市,江苏省,1.09,20200104
遵义市,贵州省,1.07,20200104
湖州市,浙江省,0.98,20200104
贵阳市,贵州省,0.94,20200104
黔东南苗族侗族自治州,贵州省,0.93,20200104
鹰潭市,江西省,0.8,20200104
六盘水市,贵州省,0.77,20200104
阜阳市,安徽省,0.73,20200104
宜春市,江西省,0.72,20200104
抚州市,江西省,0.7,20200104
铜仁市,贵州省,0.65,20200104
恩施土家族苗族自治州,湖北省,0.55,20200104
亳州市,安徽省,0.54,20200104
南昌市,江西省,0.51,20200104
九江市,江西省,0.48,20200104
南京市,江苏省,0.48,20200104
昆明市,云南省,0.48,20200104
湘西土家族苗族自治州,湖南省,0.47,20200104
邵阳市,湖南省,0.47,20200104
信阳市,河南省,0.46,20200104
长沙市,湖南省,0.45,20200104
驻马店市,河南省,0.44,20200104
无锡市,江苏省,0.42,20200104
合肥市,安徽省,0.4,20200104
黄山市,安徽省,0.4,20200104
吉安市,江西省,0.39,20200104
北京市,北京市,0.38,20200104
广州市,广东省,0.38,20200104
曲靖市,云南省,0.38,20200104
武汉市,湖北省,0.38,20200104
杭州市,浙江省,15.65,20200105
绍兴市,浙江省,4.52,20200105
衢州市,浙江省,4.43,20200105
