city_name,province_name,value,date
南宁市,广西壮族自治区,31.63,20200101
北海市,广西壮族自治区,19.43,20200101
防城港市,广西壮族自治区,13.72,20200101
玉林市,广西壮族自治区,6.67,20200101
东莞市,广东省,3.19,20200101
广州市,广东省,2.79,20200101
佛山市,广东省,2.64,20200101
贵港市,广西壮族自治区,2.45,20200101
崇左市,广西壮族自治区,1.94,20200101
百色市,广西壮族自治区,1.55,20200101
深圳市,广东省,1.33,20200101
湛江市,广东省,1.3,20200101
中山市,广东省,1.15,20200101
柳州市,广西壮族自治区,1.13,20200101
桂林市,广西壮族自治区,0.79,20200101
来宾市,广西壮族自治区,0.75,20200101
河池市,广西壮族自治区,0.65,20200101
梧州市,广西壮族自治区,0.5,20200101
茂名市,广东省,0.42,20200101
江门市,广东省,0.35,20200101
文山壮族苗族自治州,云南省,0.31,20200101
云浮市,广东省,0.28,20200101
肇庆市,广东省,0.27,20200101
惠州市,广东省,0.26,20200101
重庆市,重庆市,0.22,20200101
阳江市,广东省,0.16,20200101
贺州市,广西壮族自治区,0.16,20200101
珠海市,广东省,0.13,20200101
黔西南布依族苗族自治州,贵州省,0.12,20200101
红河哈尼族彝族自治州,云南省,0.11,20200101
遵义市,贵州省,0.1,20200101
昆明市,云南省,0.1,20200101
清远市,广东省,0.09,20200101
上海市,上海市,0.08,20200101
贵阳市,贵州省,0.07,20200101
南阳市,河南省,0.06,20200101
衡阳市,湖南省,0.06,20200101
海口市,海南省,0.06,20200101
武汉市,湖北省,0.06,20200101
长沙市,湖南省,0.06,20200101
娄底市,湖南省,0.06,20200101
黔南布依族苗族自治州,贵州省,0.06,20200101
黔东南苗族侗族自治州,贵州省,0.06,20200101
岳阳市,湖南省,0.05,20200101
玉溪市,云南省,0.05,20200101
北京市,北京市,0.05,20200101
怀化市,湖南省,0.05,20200101
苏州市,江苏省,0.05,20200101
永州市,湖南省,0.05,20200101
福州市,福建省,0.05,20200101
南宁市,广西壮族自治区,30.35,20200102
北海市,广西壮族自治区,16.32,20200102
防城港市,广西壮族自治区,11.48,20200102
玉林市,广西壮族自治区,4.73,20200102
东莞市,广东省,3.9,20200102
广州市,广东省,3.81,20200102
佛山市,广东省,2.88,20200102
贵港市,广西壮族自治区,2.46,20200102
崇左市,广西壮族自治区,2.36,20200102
百色市,广西壮族自治区,2.36,20200102
中山市,广东省,1.83,20200102
深圳市,广东省,1.62,20200102
柳州市,广西壮族自治区,1.49,20200102
河池市,广西壮族自治区,1.08,20200102
桂林市,广西壮族自治区,1.0,20200102
湛江市,广东省,0.97,20200102
来宾市,广西壮族自治区,0.84,20200102
江门市,广东省,0.55,20200102
梧州市,广西壮族自治区,0.54,20200102
茂名市,广东省,0.49,20200102
文山壮族苗族自治州,云南省,0.41,20200102
惠州市,广东省,0.41,20200102
肇庆市,广东省,0.34,20200102
珠海市,广东省,0.26,20200102
贺州市,广西壮族自治区,0.22,20200102
贵阳市,贵州省,0.21,20200102
清远市,广东省,0.21,20200102
昆明市,云南省,0.21,20200102
重庆市,重庆市,0.2,20200102
黔西南布依族苗族自治州,贵州省,0.2,20200102
上海市,上海市,0.18,20200102
阳江市,广东省,0.16,20200102
曲靖市,云南省,0.15,20200102
遵义市,贵州省,0.15,20200102
云浮市,广东省,0.15,20200102
衡阳市,湖南省,0.14,20200102
永州市,湖南省,0.13,20200102
铜仁市,贵州省,0.13,20200102
北京市,北京市,0.12,20200102
黔东南苗族侗族自治州,贵州省,0.12,20200102
泸州市,四川省,0.1,20200102
南充市,四川省,0.1,20200102
长沙市,湖南省,0.1,20200102
黔南布依族苗族自治州,贵州省,0.1,20200102
西安市,陕西省,0.09,20200102
厦门市,福建省,0.09,20200102
娄底市,湖南省,0.09,20200102
海口市,海南省,0.08,20200102
怀化市,湖南省,0.08,20200102
汕头市,广东省,0.08,20200102
南宁市,广西壮族自治区,34.79,20200103
北海市,广西壮族自治区,16.26,20200103
防城港市,广西壮族自治区,11.88,20200103
玉林市,广西壮族自治区,5.63,20200103
广州市,广东省,2.89,20200103
东莞市,广东省,2.85,20200103
贵港市,广西壮族自治区,2.4,20200103
百色市,广西壮族自治区,2.16,20200103
崇左市,广西壮族自治区,2.13,20200103
佛山市,广东省,2.02,20200103
柳州市,广西壮族自治区,1.82,20200103
桂林市,广西壮族自治区,1.26,20200103
深圳市,广东省,1.18,20200103
中山市,广东省,1.1,20200103
湛江市,广东省,1.07,20200103
来宾市,广西壮族自治区,0.87,20200103
河池市,广西壮族自治区,0.78,20200103
梧州市,广西壮族自治区,0.57,20200103
茂名市,广东省,0.5,20200103
文山壮族苗族自治州,云南省,0.38,20200103
江门市,广东省,0.37,20200103
惠州市,广东省,0.26,20200103
黔西南布依族苗族自治州,贵州省,0.24,20200103
肇庆市,广东省,0.24,20200103
重庆市,重庆市,0.22,20200103
珠海市,广东省,0.21,20200103
贺州市,广西壮族自治区,0.2,20200103
长沙市,湖南省,0.17,20200103
贵阳市,贵州省,0.16,20200103
昆明市,云南省,0.16,20200103
云浮市,广东省,0.15,20200103
黔东南苗族侗族自治州,贵州省,0.14,20200103
