city_name,province_name,value,date
沈阳市,辽宁省,56.98,20200101
四平市,吉林省,12.28,20200101
抚顺市,辽宁省,3.18,20200101
长春市,吉林省,2.47,20200101
辽源市,吉林省,2.18,20200101
大连市,辽宁省,2.08,20200101
通辽市,内蒙古自治区,1.68,20200101
辽阳市,辽宁省,1.53,20200101
鞍山市,辽宁省,1.36,20200101
北京市,北京市,1.1,20200101
锦州市,辽宁省,1.06,20200101
营口市,辽宁省,0.88,20200101
哈尔滨市,黑龙江省,0.85,20200101
阜新市,辽宁省,0.82,20200101
盘锦市,辽宁省,0.77,20200101
葫芦岛市,辽宁省,0.66,20200101
本溪市,辽宁省,0.62,20200101
丹东市,辽宁省,0.61,20200101
吉林市,吉林省,0.55,20200101
朝阳市,辽宁省,0.49,20200101
松原市,吉林省,0.49,20200101
天津市,天津市,0.4,20200101
白城市,吉林省,0.33,20200101
通化市,吉林省,0.31,20200101
大庆市,黑龙江省,0.28,20200101
秦皇岛市,河北省,0.21,20200101
赤峰市,内蒙古自治区,0.21,20200101
唐山市,河北省,0.19,20200101
廊坊市,河北省,0.18,20200101
呼伦贝尔市,内蒙古自治区,0.15,20200101
鸡西市,黑龙江省,0.15,20200101
上海市,上海市,0.14,20200101
齐齐哈尔市,黑龙江省,0.13,20200101
青岛市,山东省,0.12,20200101
兴安盟,内蒙古自治区,0.11,20200101
绥化市,黑龙江省,0.11,20200101
石家庄市,河北省,0.11,20200101
深圳市,广东省,0.11,20200101
延边朝鲜族自治州,吉林省,0.11,20200101
长沙市,湖南省,0.1,20200101
重庆市,重庆市,0.1,20200101
沧州市,河北省,0.1,20200101
烟台市,山东省,0.09,20200101
济南市,山东省,0.09,20200101
台州市,浙江省,0.08,20200101
白山市,吉林省,0.08,20200101
郑州市,河南省,0.08,20200101
苏州市,江苏省,0.07,20200101
南京市,江苏省,0.07,20200101
保定市,河北省,0.07,20200101
沈阳市,辽宁省,53.07,20200102
四平市,吉林省,7.21,20200102
抚顺市,辽宁省,3.09,20200102
长春市,吉林省,3.07,20200102
大连市,辽宁省,2.93,20200102
辽源市,吉林省,1.7,20200102
锦州市,辽宁省,1.6,20200102
鞍山市,辽宁省,1.58,20200102
营口市,辽宁省,1.54,20200102
北京市,北京市,1.5,20200102
哈尔滨市,黑龙江省,1.4,20200102
