city_name,province_name,value,date
西安市,陕西省,47.7,20200101
渭南市,陕西省,17.93,20200101
咸阳市,陕西省,13.17,20200101
延安市,陕西省,8.24,20200101
榆林市,陕西省,1.75,20200101
宝鸡市,陕西省,1.07,20200101
商洛市,陕西省,0.79,20200101
安康市,陕西省,0.55,20200101
汉中市,陕西省,0.52,20200101
北京市,北京市,0.5,20200101
郑州市,河南省,0.4,20200101
庆阳市,甘肃省,0.37,20200101
十堰市,湖北省,0.26,20200101
成都市,四川省,0.26,20200101
重庆市,重庆市,0.26,20200101
运城市,山西省,0.22,20200101
南阳市,河南省,0.22,20200101
临汾市,山西省,0.17,20200101
苏州市,江苏省,0.17,20200101
鄂尔多斯市,内蒙古自治区,0.17,20200101
上海市,上海市,0.17,20200101
洛阳市,河南省,0.17,20200101
焦作市,河南省,0.17,20200101
天水市,甘肃省,0.16,20200101
广州市,广东省,0.14,20200101
杭州市,浙江省,0.14,20200101
平凉市,甘肃省,0.13,20200101
深圳市,广东省,0.13,20200101
三门峡市,河南省,0.11,20200101
兰州市,甘肃省,0.11,20200101
沧州市,河北省,0.09,20200101
三亚市,海南省,0.09,20200101
武汉市,湖北省,0.08,20200101
平顶山市,河南省,0.08,20200101
吕梁市,山西省,0.08,20200101
合肥市,安徽省,0.08,20200101
吴忠市,宁夏回族自治区,0.06,20200101
天津市,天津市,0.06,20200101
西宁市,青海省,0.06,20200101
邯郸市,河北省,0.06,20200101
石家庄市,河北省,0.06,20200101
镇江市,江苏省,0.06,20200101
沈阳市,辽宁省,0.06,20200101
泰安市,山东省,0.06,20200101
银川市,宁夏回族自治区,0.06,20200101
绵阳市,四川省,0.06,20200101
忻州市,山西省,0.04,20200101
遵义市,贵州省,0.04,20200101
安阳市,河南省,0.04,20200101
晋中市,山西省,0.04,20200101
西安市,陕西省,51.94,20200102
咸阳市,陕西省,11.25,20200102
渭南市,陕西省,10.99,20200102
延安市,陕西省,6.27,20200102
榆林市,陕西省,2.55,20200102
宝鸡市,陕西省,1.41,20200102
郑州市,河南省,0.71,20200102
汉中市,陕西省,0.71,20200102
商洛市,陕西省,0.71,20200102
北京市,北京市,0.63,20200102
南阳市,河南省,0.53,20200102
苏州市,江苏省,0.41,20200102
安康市,陕西省,0.37,20200102
洛阳市,河南省,0.31,20200102
重庆市,重庆市,0.29,20200102
上海市,上海市,0.27,20200102
天津市,天津市,0.25,20200102
三门峡市,河南省,0.25,20200102
庆阳市,甘肃省,0.25,20200102
成都市,四川省,0.23,20200102
运城市,山西省,0.23,20200102
鄂尔多斯市,内蒙古自治区,0.23,20200102
杭州市,浙江省,0.21,20200102
六安市,安徽省,0.21,20200102
深圳市,广东省,0.19,20200102
临汾市,山西省,0.19,20200102
东莞市,广东省,0.19,20200102
焦作市,河南省,0.17,20200102
保定市,河北省,0.17,20200102
宁波市,浙江省,0.15,20200102
保山市,云南省,0.15,20200102
乌鲁木齐市,新疆维吾尔自治区,0.13,20200102
安阳市,河南省,0.13,20200102
十堰市,湖北省,0.13,20200102
菏泽市,山东省,0.13,20200102
盐城市,江苏省,0.13,20200102
昆明市,云南省,0.13,20200102
沧州市,河北省,0.13,20200102
广州市,广东省,0.11,20200102
白银市,甘肃省,0.11,20200102
银川市,宁夏回族自治区,0.11,20200102
许昌市,河南省,0.11,20200102
石家庄市,河北省,0.09,20200102
秦皇岛市,河北省,0.09,20200102
济南市,山东省,0.09,20200102
晋城市,山西省,0.09,20200102
兰州市,甘肃省,0.09,20200102
嘉兴市,浙江省,0.09,20200102
三亚市,海南省,0.09,20200102
长春市,吉林省,0.09,20200102
西安市,陕西省,50.49,20200103
渭南市,陕西省,15.42,20200103
咸阳市,陕西省,11.56,20200103
延安市,陕西省,7.39,20200103
榆林市,陕西省,2.56,20200103
宝鸡市,陕西省,1.18,20200103
北京市,北京市,0.62,20200103
汉中市,陕西省,0.54,20200103
商洛市,陕西省,0.42,20200103
郑州市,河南省,0.37,20200103
南阳市,河南省,0.36,20200103
临汾市,山西省,0.36,20200103
重庆市,重庆市,0.3,20200103
安康市,陕西省,0.28,20200103
苏州市,江苏省,0.28,20200103
庆阳市,甘肃省,0.25,20200103
三门峡市,河南省,0.25,20200103
运城市,山西省,0.22,20200103
洛阳市,河南省,0.21,20200103
开封市,河南省,0.18,20200103
十堰市,湖北省,0.18,20200103
沧州市,河北省,0.16,20200103
东莞市,广东省,0.16,20200103
杭州市,浙江省,0.15,20200103
上海市,上海市,0.15,20200103
鄂尔多斯市,内蒙古自治区,0.13,20200103
天津市,天津市,0.13,20200103
厦门市,福建省,0.13,20200103
银川市,宁夏回族自治区,0.12,20200103
绵阳市,四川省,0.12,20200103
菏泽市,山东省,0.12,20200103
宁波市,浙江省,0.11,20200103
徐州市,江苏省,0.11,20200103
新乡市,河南省,0.1,20200103
兰州市,甘肃省,0.1,20200103
商丘市,河南省,0.1,20200103
邯郸市,河北省,0.1,20200103
焦作市,河南省,0.1,20200103
广州市,广东省,0.1,20200103
深圳市,广东省,0.08,20200103
六安市,安徽省,0.08,20200103
定西市,甘肃省,0.07,20200103
长春市,吉林省,0.07,20200103
泉州市,福建省,0.07,20200103
济南市,山东省,0.07,20200103
