city_name,province_name,value,date
西安市,陕西省,46.02,20200101
渭南市,陕西省,19.32,20200101
咸阳市,陕西省,14.26,20200101
延安市,陕西省,8.02,20200101
榆林市,陕西省,1.65,20200101
宝鸡市,陕西省,1.42,20200101
商洛市,陕西省,0.65,20200101
汉中市,陕西省,0.43,20200101
广元市,四川省,0.35,20200101
洛阳市,河南省,0.35,20200101
安康市,陕西省,0.33,20200101
十堰市,湖北省,0.31,20200101
南阳市,河南省,0.31,20200101
北京市,北京市,0.3,20200101
郑州市,河南省,0.28,20200101
成都市,四川省,0.26,20200101
庆阳市,甘肃省,0.24,20200101
临汾市,山西省,0.22,20200101
绵阳市,四川省,0.2,20200101
运城市,山西省,0.16,20200101
新乡市,河南省,0.16,20200101
巴中市,四川省,0.16,20200101
平凉市,甘肃省,0.15,20200101
重庆市,重庆市,0.13,20200101
南充市,四川省,0.13,20200101
益阳市,湖南省,0.11,20200101
天水市,甘肃省,0.09,20200101
乐山市,四川省,0.09,20200101
海口市,海南省,0.09,20200101
兰州市,甘肃省,0.09,20200101
苏州市,江苏省,0.09,20200101
石家庄市,河北省,0.09,20200101
银川市,宁夏回族自治区,0.09,20200101
上海市,上海市,0.09,20200101
淮南市,安徽省,0.09,20200101
三门峡市,河南省,0.09,20200101
邢台市,河北省,0.07,20200101
许昌市,河南省,0.07,20200101
晋中市,山西省,0.07,20200101
菏泽市,山东省,0.07,20200101
武汉市,湖北省,0.07,20200101
商丘市,河南省,0.05,20200101
贵阳市,贵州省,0.05,20200101
深圳市,广东省,0.05,20200101
中山市,广东省,0.05,20200101
定西市,甘肃省,0.05,20200101
六安市,安徽省,0.05,20200101
合肥市,安徽省,0.05,20200101
广安市,四川省,0.05,20200101
驻马店市,河南省,0.03,20200101
西安市,陕西省,47.67,20200102
渭南市,陕西省,13.6,20200102
咸阳市,陕西省,11.41,20200102
延安市,陕西省,6.43,20200102
榆林市,陕西省,2.6,20200102
宝鸡市,陕西省,1.82,20200102
汉中市,陕西省,1.18,20200102
商洛市,陕西省,1.0,20200102
乐山市,四川省,0.68,20200102
北京市,北京市,0.61,20200102
十堰市,湖北省,0.5,20200102
重庆市,重庆市,0.45,20200102
绵阳市,四川省,0.45,20200102
广元市,四川省,0.41,20200102
成都市,四川省,0.41,20200102
安康市,陕西省,0.41,20200102
南阳市,河南省,0.38,20200102
洛阳市,河南省,0.36,20200102
庆阳市,甘肃省,0.36,20200102
郑州市,河南省,0.36,20200102
巴中市,四川省,0.31,20200102
太原市,山西省,0.29,20200102
平凉市,甘肃省,0.27,20200102
兰州市,甘肃省,0.22,20200102
运城市,山西省,0.22,20200102
南充市,四川省,0.18,20200102
天津市,天津市,0.18,20200102
三亚市,海南省,0.15,20200102
深圳市,广东省,0.15,20200102
荆州市,湖北省,0.15,20200102
商丘市,河南省,0.15,20200102
新乡市,河南省,0.13,20200102
徐州市,江苏省,0.13,20200102
承德市,河北省,0.13,20200102
苏州市,江苏省,0.13,20200102
长沙市,湖南省,0.11,20200102
菏泽市,山东省,0.11,20200102
广州市,广东省,0.11,20200102
海口市,海南省,0.11,20200102
福州市,福建省,0.11,20200102
邯郸市,河北省,0.11,20200102
临汾市,山西省,0.11,20200102
济宁市,山东省,0.11,20200102
天水市,甘肃省,0.11,20200102
平顶山市,河南省,0.09,20200102
文昌市,海南省,0.09,20200102
南京市,江苏省,0.09,20200102
德阳市,四川省,0.09,20200102
陇南市,甘肃省,0.09,20200102
北海市,广西壮族自治区,0.09,20200102
西安市,陕西省,53.19,20200103
渭南市,陕西省,15.15,20200103
咸阳市,陕西省,11.13,20200103
延安市,陕西省,6.27,20200103
榆林市,陕西省,1.76,20200103
宝鸡市,陕西省,1.67,20200103
商洛市,陕西省,0.66,20200103
汉中市,陕西省,0.59,20200103
十堰市,湖北省,0.53,20200103
安康市,陕西省,0.49,20200103
成都市,四川省,0.41,20200103
庆阳市,甘肃省,0.39,20200103
南阳市,河南省,0.32,20200103
广元市,四川省,0.27,20200103
巴中市,四川省,0.26,20200103
郑州市,河南省,0.25,20200103
南充市,四川省,0.22,20200103
绵阳市,四川省,0.22,20200103
北京市,北京市,0.21,20200103
天水市,甘肃省,0.2,20200103
运城市,山西省,0.2,20200103
洛阳市,河南省,0.17,20200103
