city_name,province_name,value,date
合肥市,安徽省,17.57,20200101
安庆市,安徽省,17.28,20200101
芜湖市,安徽省,16.38,20200101
池州市,安徽省,15.24,20200101
南京市,江苏省,3.81,20200101
上海市,上海市,3.46,20200101
苏州市,江苏省,2.55,20200101
黄山市,安徽省,1.87,20200101
宣城市,安徽省,1.81,20200101
六安市,安徽省,1.79,20200101
马鞍山市,安徽省,1.56,20200101
杭州市,浙江省,1.31,20200101
常州市,江苏省,1.18,20200101
无锡市,江苏省,0.91,20200101
滁州市,安徽省,0.79,20200101
蚌埠市,安徽省,0.66,20200101
嘉兴市,浙江省,0.65,20200101
北京市,北京市,0.52,20200101
淮南市,安徽省,0.46,20200101
湖州市,浙江省,0.42,20200101
九江市,江西省,0.4,20200101
扬州市,江苏省,0.37,20200101
阜阳市,安徽省,0.36,20200101
宁波市,浙江省,0.34,20200101
宿州市,安徽省,0.33,20200101
亳州市,安徽省,0.3,20200101
绍兴市,浙江省,0.27,20200101
镇江市,江苏省,0.27,20200101
武汉市,湖北省,0.26,20200101
南通市,江苏省,0.24,20200101
泰州市,江苏省,0.23,20200101
金华市,浙江省,0.21,20200101
淮安市,江苏省,0.2,20200101
黄冈市,湖北省,0.18,20200101
厦门市,福建省,0.17,20200101
淮北市,安徽省,0.17,20200101
台州市,浙江省,0.15,20200101
上饶市,江西省,0.15,20200101
徐州市,江苏省,0.14,20200101
重庆市,重庆市,0.14,20200101
南昌市,江西省,0.14,20200101
温州市,浙江省,0.13,20200101
广州市,广东省,0.13,20200101
盐城市,江苏省,0.13,20200101
深圳市,广东省,0.13,20200101
周口市,河南省,0.11,20200101
赣州市,江西省,0.11,20200101
天津市,天津市,0.11,20200101
商丘市,河南省,0.1,20200101
黄石市,湖北省,0.08,20200101
合肥市,安徽省,19.09,20200102
安庆市,安徽省,13.9,20200102
芜湖市,安徽省,11.81,20200102
池州市,安徽省,10.6,20200102
南京市,江苏省,4.03,20200102
上海市,上海市,3.8,20200102
苏州市,江苏省,3.26,20200102
六安市,安徽省,1.9,20200102
黄山市,安徽省,1.88,20200102
常州市,江苏省,1.85,20200102
马鞍山市,安徽省,1.78,20200102
宣城市,安徽省,1.71,20200102
杭州市,浙江省,1.64,20200102
无锡市,江苏省,1.39,20200102
滁州市,安徽省,1.22,20200102
阜阳市,安徽省,0.94,20200102
蚌埠市,安徽省,0.78,20200102
九江市,江西省,0.76,20200102
嘉兴市,浙江省,0.71,20200102
淮南市,安徽省,0.69,20200102
北京市,北京市,0.69,20200102
武汉市,湖北省,0.62,20200102
亳州市,安徽省,0.59,20200102
湖州市,浙江省,0.59,20200102
宁波市,浙江省,0.54,20200102
宿州市,安徽省,0.54,20200102
金华市,浙江省,0.52,20200102
绍兴市,浙江省,0.52,20200102
镇江市,江苏省,0.4,20200102
郑州市,河南省,0.36,20200102
徐州市,江苏省,0.34,20200102
泰州市,江苏省,0.33,20200102
扬州市,江苏省,0.27,20200102
厦门市,福建省,0.26,20200102
淮北市,安徽省,0.24,20200102
深圳市,广东省,0.24,20200102
黄冈市,湖北省,0.22,20200102
南通市,江苏省,0.22,20200102
温州市,浙江省,0.22,20200102
西安市,陕西省,0.2,20200102
青岛市,山东省,0.2,20200102
南昌市,江西省,0.17,20200102
盐城市,江苏省,0.17,20200102
重庆市,重庆市,0.17,20200102
天津市,天津市,0.17,20200102
台州市,浙江省,0.15,20200102
淮安市,江苏省,0.15,20200102
潍坊市,山东省,0.15,20200102
佛山市,广东省,0.15,20200102
广州市,广东省,0.13,20200102
合肥市,安徽省,19.15,20200103
安庆市,安徽省,16.66,20200103
芜湖市,安徽省,12.85,20200103
池州市,安徽省,11.98,20200103
南京市,江苏省,3.92,20200103
上海市,上海市,3.4,20200103
苏州市,江苏省,2.66,20200103
马鞍山市,安徽省,2.21,20200103
无锡市,江苏省,2.04,20200103
六安市,安徽省,1.93,20200103
宣城市,安徽省,1.77,20200103
黄山市,安徽省,1.63,20200103
杭州市,浙江省,1.45,20200103
常州市,江苏省,1.12,20200103
蚌埠市,安徽省,1.01,20200103
滁州市,安徽省,0.93,20200103
阜阳市,安徽省,0.87,20200103
淮南市,安徽省,0.74,20200103
宿州市,安徽省,0.61,20200103
镇江市,江苏省,0.58,20200103
嘉兴市,浙江省,0.54,20200103
武汉市,湖北省,0.52,20200103
亳州市,安徽省,0.49,20200103
湖州市,浙江省,0.44,20200103
宁波市,浙江省,0.43,20200103
北京市,北京市,0.42,20200103
九江市,江西省,0.41,20200103
绍兴市,浙江省,0.32,20200103
盐城市,江苏省,0.3,20200103
南通市,江苏省,0.27,20200103
徐州市,江苏省,0.26,20200103
金华市,浙江省,0.26,20200103
泰州市,江苏省,0.23,20200103
温州市,浙江省,0.22,20200103
南昌市,江西省,0.22,20200103
上饶市,江西省,0.21,20200103
重庆市,重庆市,0.21,20200103
扬州市,江苏省,0.2,20200103
台州市,浙江省,0.19,20200103
信阳市,河南省,0.17,20200103
黄冈市,湖北省,0.17,20200103
宜昌市,湖北省,0.15,20200103
淮北市,安徽省,0.13,20200103
黄石市,湖北省,0.13,20200103
石家庄市,河北省,0.12,20200103
潜江市,湖北省,0.12,20200103
长沙市,湖南省,0.1,20200103
广州市,广东省,0.1,20200103
宁德市,福建省,0.1,20200103
厦门市,福建省,0.1,20200103
合肥市,安徽省,18.25,20200104
安庆市,安徽省,15.91,20200104
芜湖市,安徽省,13.71,20200104
池州市,安徽省,13.54,20200104
南京市,江苏省,3.86,20200104
上海市,上海市,2.81,20200104
无锡市,江苏省,2.37,20200104
马鞍山市,安徽省,2.25,20200104
黄山市,安徽省,2.19,20200104
苏州市,江苏省,2.12,20200104
六安市,安徽省,1.83,20200104
宣城市,安徽省,1.78,20200104
杭州市,浙江省,1.24,20200104
常州市,江苏省,0.96,20200104
滁州市,安徽省,0.9,20200104
宿州市,安徽省,0.9,20200104
淮南市,安徽省,0.81,20200104
蚌埠市,安徽省,0.75,20200104
阜阳市,安徽省,0.67,20200104
嘉兴市,浙江省,0.56,20200104
亳州市,安徽省,0.53,20200104
北京市,北京市,0.53,20200104
武汉市,湖北省,0.46,20200104
镇江市,江苏省,0.46,20200104
湖州市,浙江省,0.41,20200104
扬州市,江苏省,0.39,20200104
九江市,江西省,0.35,20200104
淮北市,安徽省,0.35,20200104
南通市,江苏省,0.34,20200104
金华市,浙江省,0.24,20200104
绍兴市,浙江省,0.24,20200104
宁波市,浙江省,0.22,20200104
重庆市,重庆市,0.21,20200104
深圳市,广东省,0.2,20200104
泰州市,江苏省,0.2,20200104
南昌市,江西省,0.2,20200104
成都市,四川省,0.18,20200104
龙岩市,福建省,0.18,20200104
徐州市,江苏省,0.17,20200104
长沙市,湖南省,0.16,20200104
黄冈市,湖北省,0.16,20200104
宜昌市,湖北省,0.16,20200104
青岛市,山东省,0.15,20200104
广州市,广东省,0.15,20200104
济南市,山东省,0.14,20200104
福州市,福建省,0.14,20200104
郑州市,河南省,0.12,20200104
温州市,浙江省,0.11,20200104
宜春市,江西省,0.11,20200104
临沂市,山东省,0.11,20200104
合肥市,安徽省,19.51,20200105
芜湖市,安徽省,14.86,20200105
安庆市,安徽省,13.77,20200105
池州市,安徽省,13.06,20200105
南京市,江苏省,5.08,20200105
上海市,上海市,3.94,20200105
苏州市,江苏省,1.98,20200105
宣城市,安徽省,1.95,20200105
六安市,安徽省,1.94,20200105
马鞍山市,安徽省,1.87,20200105
黄山市,安徽省,1.37,20200105
杭州市,浙江省,1.32,20200105
阜阳市,安徽省,1.2,20200105
无锡市,江苏省,1.01,20200105
常州市,江苏省,0.96,20200105
滁州市,安徽省,0.94,20200105
淮南市,安徽省,0.8,20200105
蚌埠市,安徽省,0.77,20200105
宿州市,安徽省,0.74,20200105
亳州市,安徽省,0.73,20200105
武汉市,湖北省,0.53,20200105
北京市,北京市,0.49,20200105
湖州市,浙江省,0.42,20200105
镇江市,江苏省,0.4,20200105
嘉兴市,浙江省,0.4,20200105
金华市,浙江省,0.34,20200105
徐州市,江苏省,0.3,20200105
南通市,江苏省,0.29,20200105
宁波市,浙江省,0.27,20200105
九江市,江西省,0.27,20200105
扬州市,江苏省,0.24,20200105
绍兴市,浙江省,0.22,20200105
南昌市,江西省,0.21,20200105
淮北市,安徽省,0.2,20200105
黄冈市,湖北省,0.2,20200105
温州市,浙江省,0.19,20200105
重庆市,重庆市,0.19,20200105
泰州市,江苏省,0.17,20200105
济南市,山东省,0.16,20200105
厦门市,福建省,0.16,20200105
黄石市,湖北省,0.15,20200105
上饶市,江西省,0.15,20200105
深圳市,广东省,0.15,20200105
成都市,四川省,0.14,20200105
衢州市,浙江省,0.14,20200105
连云港市,江苏省,0.13,20200105
宿迁市,江苏省,0.13,20200105
昆明市,云南省,0.12,20200105
淮安市,江苏省,0.11,20200105
临沂市,山东省,0.11,20200105
合肥市,安徽省,18.86,20200106
安庆市,安徽省,13.93,20200106
芜湖市,安徽省,13.48,20200106
池州市,安徽省,13.02,20200106
南京市,江苏省,3.7,20200106
上海市,上海市,3.24,20200106
宣城市,安徽省,2.89,20200106
六安市,安徽省,2.56,20200106
马鞍山市,安徽省,2.17,20200106
阜阳市,安徽省,2.12,20200106
苏州市,江苏省,1.76,20200106
黄山市,安徽省,1.54,20200106
滁州市,安徽省,1.49,20200106
宿州市,安徽省,1.39,20200106
亳州市,安徽省,1.27,20200106
淮南市,安徽省,1.2,20200106
无锡市,江苏省,1.03,20200106
杭州市,浙江省,1.01,20200106
蚌埠市,安徽省,0.99,20200106
常州市,江苏省,0.84,20200106
北京市,北京市,0.55,20200106
武汉市,湖北省,0.52,20200106
嘉兴市,浙江省,0.42,20200106
九江市,江西省,0.39,20200106
镇江市,江苏省,0.37,20200106
淮北市,安徽省,0.31,20200106
绍兴市,浙江省,0.3,20200106
南通市,江苏省,0.28,20200106
扬州市,江苏省,0.26,20200106
金华市,浙江省,0.24,20200106
宁波市,浙江省,0.24,20200106
湖州市,浙江省,0.24,20200106
徐州市,江苏省,0.23,20200106
重庆市,重庆市,0.22,20200106
泰州市,江苏省,0.2,20200106
福州市,福建省,0.17,20200106
洛阳市,河南省,0.16,20200106
厦门市,福建省,0.16,20200106
黄石市,湖北省,0.16,20200106
西安市,陕西省,0.15,20200106
济宁市,山东省,0.14,20200106
泰安市,山东省,0.13,20200106
商丘市,河南省,0.13,20200106
上饶市,江西省,0.12,20200106
宿迁市,江苏省,0.12,20200106
南昌市,江西省,0.12,20200106
广州市,广东省,0.11,20200106
温州市,浙江省,0.11,20200106
盐城市,江苏省,0.11,20200106
郑州市,河南省,0.1,20200106
合肥市,安徽省,16.82,20200107
安庆市,安徽省,15.02,20200107
芜湖市,安徽省,13.4,20200107
池州市,安徽省,11.05,20200107
南京市,江苏省,3.7,20200107
上海市,上海市,3.21,20200107
