city_name,province_name,value,date
吴忠市,宁夏回族自治区,31.06,20200101
石嘴山市,宁夏回族自治区,18.13,20200101
中卫市,宁夏回族自治区,10.0,20200101
固原市,宁夏回族自治区,6.78,20200101
榆林市,陕西省,4.62,20200101
鄂尔多斯市,内蒙古自治区,3.28,20200101
阿拉善盟,内蒙古自治区,3.07,20200101
乌海市,内蒙古自治区,1.96,20200101
西安市,陕西省,1.73,20200101
庆阳市,甘肃省,1.35,20200101
兰州市,甘肃省,1.32,20200101
北京市,北京市,1.26,20200101
延安市,陕西省,0.91,20200101
平凉市,甘肃省,0.89,20200101
巴彦淖尔市,内蒙古自治区,0.83,20200101
白银市,甘肃省,0.61,20200101
上海市,上海市,0.49,20200101
成都市,四川省,0.4,20200101
天津市,天津市,0.39,20200101
西宁市,青海省,0.38,20200101
武威市,甘肃省,0.35,20200101
咸阳市,陕西省,0.33,20200101
乌鲁木齐市,新疆维吾尔自治区,0.3,20200101
石家庄市,河北省,0.28,20200101
包头市,内蒙古自治区,0.28,20200101
重庆市,重庆市,0.27,20200101
呼和浩特市,内蒙古自治区,0.27,20200101
杭州市,浙江省,0.23,20200101
郑州市,河南省,0.22,20200101
青岛市,山东省,0.2,20200101
广州市,广东省,0.19,20200101
三亚市,海南省,0.18,20200101
定西市,甘肃省,0.18,20200101
深圳市,广东省,0.17,20200101
天水市,甘肃省,0.17,20200101
太原市,山西省,0.16,20200101
宝鸡市,陕西省,0.14,20200101
吕梁市,山西省,0.14,20200101
南京市,江苏省,0.14,20200101
武汉市,湖北省,0.12,20200101
运城市,山西省,0.12,20200101
济南市,山东省,0.11,20200101
长沙市,湖南省,0.11,20200101
沧州市,河北省,0.11,20200101
昆明市,云南省,0.11,20200101
渭南市,陕西省,0.1,20200101
哈尔滨市,黑龙江省,0.1,20200101
保定市,河北省,0.09,20200101
南昌市,江西省,0.09,20200101
苏州市,江苏省,0.09,20200101
吴忠市,宁夏回族自治区,24.26,20200102
石嘴山市,宁夏回族自治区,15.15,20200102
中卫市,宁夏回族自治区,11.72,20200102
固原市,宁夏回族自治区,7.73,20200102
榆林市,陕西省,4.8,20200102
西安市,陕西省,2.72,20200102
鄂尔多斯市,内蒙古自治区,2.47,20200102
阿拉善盟,内蒙古自治区,2.1,20200102
北京市,北京市,2.05,20200102
兰州市,甘肃省,1.98,20200102
庆阳市,甘肃省,1.73,20200102
乌海市,内蒙古自治区,1.48,20200102
延安市,陕西省,1.01,20200102
平凉市,甘肃省,0.99,20200102
巴彦淖尔市,内蒙古自治区,0.65,20200102
上海市,上海市,0.64,20200102
白银市,甘肃省,0.54,20200102
成都市,四川省,0.54,20200102
天津市,天津市,0.51,20200102
咸阳市,陕西省,0.49,20200102
西宁市,青海省,0.45,20200102
石家庄市,河北省,0.45,20200102
重庆市,重庆市,0.45,20200102
乌鲁木齐市,新疆维吾尔自治区,0.42,20200102
济南市,山东省,0.4,20200102
武汉市,湖北省,0.39,20200102
呼和浩特市,内蒙古自治区,0.39,20200102
郑州市,河南省,0.37,20200102
武威市,甘肃省,0.34,20200102
太原市,山西省,0.34,20200102
包头市,内蒙古自治区,0.31,20200102
青岛市,山东省,0.31,20200102
宝鸡市,陕西省,0.26,20200102
杭州市,浙江省,0.26,20200102
天水市,甘肃省,0.26,20200102
定西市,甘肃省,0.25,20200102
洛阳市,河南省,0.24,20200102
南京市,江苏省,0.22,20200102
保定市,河北省,0.22,20200102
哈尔滨市,黑龙江省,0.22,20200102
广州市,广东省,0.2,20200102
渭南市,陕西省,0.19,20200102
酒泉市,甘肃省,0.18,20200102
沧州市,河北省,0.17,20200102
深圳市,广东省,0.17,20200102
无锡市,江苏省,0.16,20200102
苏州市,江苏省,0.15,20200102
吕梁市,山西省,0.15,20200102
南阳市,河南省,0.14,20200102
大连市,辽宁省,0.14,20200102
吴忠市,宁夏回族自治区,28.33,20200103
石嘴山市,宁夏回族自治区,18.97,20200103
中卫市,宁夏回族自治区,12.24,20200103
固原市,宁夏回族自治区,6.77,20200103
榆林市,陕西省,3.63,20200103
鄂尔多斯市,内蒙古自治区,2.89,20200103
阿拉善盟,内蒙古自治区,2.66,20200103
西安市,陕西省,1.91,20200103
兰州市,甘肃省,1.54,20200103
北京市,北京市,1.53,20200103
乌海市,内蒙古自治区,1.49,20200103
庆阳市,甘肃省,1.28,20200103
平凉市,甘肃省,0.78,20200103
延安市,陕西省,0.73,20200103
巴彦淖尔市,内蒙古自治区,0.68,20200103
成都市,四川省,0.56,20200103
上海市,上海市,0.53,20200103
白银市,甘肃省,0.53,20200103
天津市,天津市,0.45,20200103
郑州市,河南省,0.35,20200103
呼和浩特市,内蒙古自治区,0.34,20200103
武威市,甘肃省,0.33,20200103
重庆市,重庆市,0.33,20200103
包头市,内蒙古自治区,0.32,20200103
石家庄市,河北省,0.3,20200103
咸阳市,陕西省,0.3,20200103
乌鲁木齐市,新疆维吾尔自治区,0.27,20200103
西宁市,青海省,0.25,20200103
济南市,山东省,0.24,20200103
武汉市,湖北省,0.23,20200103
青岛市,山东省,0.22,20200103
南京市,江苏省,0.21,20200103
太原市,山西省,0.2,20200103
杭州市,浙江省,0.19,20200103
宝鸡市,陕西省,0.18,20200103
南昌市,江西省,0.18,20200103
天水市,甘肃省,0.18,20200103
广州市,广东省,0.16,20200103
深圳市,广东省,0.16,20200103
哈尔滨市,黑龙江省,0.15,20200103
三亚市,海南省,0.15,20200103
长沙市,湖南省,0.15,20200103
大连市,辽宁省,0.13,20200103
保定市,河北省,0.13,20200103
定西市,甘肃省,0.13,20200103
运城市,山西省,0.12,20200103
吕梁市,山西省,0.12,20200103
廊坊市,河北省,0.12,20200103
沧州市,河北省,0.11,20200103
昆明市,云南省,0.11,20200103
吴忠市,宁夏回族自治区,30.31,20200104
石嘴山市,宁夏回族自治区,17.32,20200104
中卫市,宁夏回族自治区,10.8,20200104
固原市,宁夏回族自治区,6.62,20200104
鄂尔多斯市,内蒙古自治区,3.77,20200104
阿拉善盟,内蒙古自治区,3.3,20200104
榆林市,陕西省,3.28,20200104
乌海市,内蒙古自治区,2.07,20200104
西安市,陕西省,1.96,20200104
兰州市,甘肃省,1.42,20200104
北京市,北京市,1.37,20200104
庆阳市,甘肃省,1.13,20200104
巴彦淖尔市,内蒙古自治区,0.79,20200104
延安市,陕西省,0.72,20200104
平凉市,甘肃省,0.7,20200104
上海市,上海市,0.59,20200104
白银市,甘肃省,0.57,20200104
成都市,四川省,0.57,20200104
重庆市,重庆市,0.49,20200104
天津市,天津市,0.45,20200104
郑州市,河南省,0.36,20200104
乌鲁木齐市,新疆维吾尔自治区,0.33,20200104
武汉市,湖北省,0.3,20200104
济南市,山东省,0.29,20200104
呼和浩特市,内蒙古自治区,0.28,20200104
咸阳市,陕西省,0.26,20200104
西宁市,青海省,0.25,20200104
武威市,甘肃省,0.24,20200104
青岛市,山东省,0.23,20200104
石家庄市,河北省,0.23,20200104
杭州市,浙江省,0.21,20200104
包头市,内蒙古自治区,0.2,20200104
深圳市,广东省,0.2,20200104
广州市,广东省,0.19,20200104
太原市,山西省,0.19,20200104
南京市,江苏省,0.18,20200104
宝鸡市,陕西省,0.18,20200104
天水市,甘肃省,0.17,20200104
长沙市,湖南省,0.16,20200104
南昌市,江西省,0.16,20200104
酒泉市,甘肃省,0.14,20200104
哈尔滨市,黑龙江省,0.14,20200104
苏州市,江苏省,0.14,20200104
保定市,河北省,0.12,20200104
沈阳市,辽宁省,0.12,20200104
张掖市,甘肃省,0.12,20200104
长春市,吉林省,0.11,20200104
洛阳市,河南省,0.11,20200104
渭南市,陕西省,0.11,20200104
定西市,甘肃省,0.1,20200104
吴忠市,宁夏回族自治区,33.14,20200105
石嘴山市,宁夏回族自治区,18.2,20200105
中卫市,宁夏回族自治区,11.78,20200105
固原市,宁夏回族自治区,5.88,20200105
鄂尔多斯市,内蒙古自治区,2.49,20200105
阿拉善盟,内蒙古自治区,2.36,20200105
西安市,陕西省,2.26,20200105
榆林市,陕西省,1.98,20200105
北京市,北京市,1.75,20200105
兰州市,甘肃省,1.68,20200105
乌海市,内蒙古自治区,1.43,20200105
巴彦淖尔市,内蒙古自治区,0.77,20200105
庆阳市,甘肃省,0.67,20200105
上海市,上海市,0.6,20200105
成都市,四川省,0.52,20200105
白银市,甘肃省,0.51,20200105
重庆市,重庆市,0.51,20200105
天津市,天津市,0.49,20200105
平凉市,甘肃省,0.48,20200105
呼和浩特市,内蒙古自治区,0.39,20200105
郑州市,河南省,0.38,20200105
武汉市,湖北省,0.33,20200105
济南市,山东省,0.32,20200105
乌鲁木齐市,新疆维吾尔自治区,0.3,20200105
咸阳市,陕西省,0.3,20200105
石家庄市,河北省,0.26,20200105
长沙市,湖南省,0.26,20200105
广州市,广东省,0.25,20200105
武威市,甘肃省,0.24,20200105
杭州市,浙江省,0.23,20200105
青岛市,山东省,0.22,20200105
太原市,山西省,0.21,20200105
深圳市,广东省,0.21,20200105
延安市,陕西省,0.2,20200105
绵阳市,四川省,0.19,20200105
包头市,内蒙古自治区,0.19,20200105
南京市,江苏省,0.19,20200105
西宁市,青海省,0.19,20200105
宝鸡市,陕西省,0.18,20200105
昆明市,云南省,0.18,20200105
南昌市,江西省,0.17,20200105
哈尔滨市,黑龙江省,0.17,20200105
三亚市,海南省,0.17,20200105
天水市,甘肃省,0.16,20200105
合肥市,安徽省,0.13,20200105
长春市,吉林省,0.13,20200105
定西市,甘肃省,0.13,20200105
苏州市,江苏省,0.12,20200105
厦门市,福建省,0.12,20200105
保定市,河北省,0.11,20200105
吴忠市,宁夏回族自治区,30.35,20200106
石嘴山市,宁夏回族自治区,15.71,20200106
中卫市,宁夏回族自治区,11.23,20200106
固原市,宁夏回族自治区,7.01,20200106
西安市,陕西省,2.89,20200106
鄂尔多斯市,内蒙古自治区,2.53,20200106
榆林市,陕西省,2.5,20200106
北京市,北京市,2.31,20200106
阿拉善盟,内蒙古自治区,2.27,20200106
乌海市,内蒙古自治区,1.62,20200106
兰州市,甘肃省,1.54,20200106
庆阳市,甘肃省,1.0,20200106
上海市,上海市,0.78,20200106
成都市,四川省,0.76,20200106
巴彦淖尔市,内蒙古自治区,0.71,20200106
天津市,天津市,0.68,20200106
平凉市,甘肃省,0.64,20200106
重庆市,重庆市,0.57,20200106
乌鲁木齐市,新疆维吾尔自治区,0.44,20200106
济南市,山东省,0.43,20200106
郑州市,河南省,0.41,20200106
白银市,甘肃省,0.38,20200106
青岛市,山东省,0.36,20200106
咸阳市,陕西省,0.34,20200106
武汉市,湖北省,0.34,20200106
杭州市,浙江省,0.31,20200106
南京市,江苏省,0.31,20200106
延安市,陕西省,0.29,20200106
广州市,广东省,0.29,20200106
深圳市,广东省,0.28,20200106
呼和浩特市,内蒙古自治区,0.27,20200106
长沙市,湖南省,0.26,20200106
石家庄市,河北省,0.24,20200106
昆明市,云南省,0.2,20200106
哈尔滨市,黑龙江省,0.2,20200106
宝鸡市,陕西省,0.19,20200106
武威市,甘肃省,0.19,20200106
西宁市,青海省,0.19,20200106
南昌市,江西省,0.18,20200106
太原市,山西省,0.18,20200106
保定市,河北省,0.18,20200106
包头市,内蒙古自治区,0.17,20200106
长春市,吉林省,0.15,20200106
沈阳市,辽宁省,0.15,20200106
天水市,甘肃省,0.14,20200106
无锡市,江苏省,0.14,20200106
廊坊市,河北省,0.13,20200106
大连市,辽宁省,0.13,20200106
苏州市,江苏省,0.13,20200106
厦门市,福建省,0.13,20200106
吴忠市,宁夏回族自治区,27.66,20200107
石嘴山市,宁夏回族自治区,15.6,20200107
中卫市,宁夏回族自治区,10.33,20200107
固原市,宁夏回族自治区,7.75,20200107
榆林市,陕西省,2.88,20200107
鄂尔多斯市,内蒙古自治区,2.8,20200107
西安市,陕西省,2.7,20200107
阿拉善盟,内蒙古自治区,2.56,20200107
北京市,北京市,2.3,20200107
乌海市,内蒙古自治区,1.84,20200107
兰州市,甘肃省,1.75,20200107
庆阳市,甘肃省,1.32,20200107
上海市,上海市,0.9,20200107
巴彦淖尔市,内蒙古自治区,0.86,20200107
平凉市,甘肃省,0.85,20200107
天津市,天津市,0.79,20200107
成都市,四川省,0.78,20200107
重庆市,重庆市,0.66,20200107
郑州市,河南省,0.56,20200107
白银市,甘肃省,0.41,20200107
乌鲁木齐市,新疆维吾尔自治区,0.4,20200107
咸阳市,陕西省,0.39,20200107
青岛市,山东省,0.38,20200107
呼和浩特市,内蒙古自治区,0.35,20200107
延安市,陕西省,0.34,20200107
武汉市,湖北省,0.33,20200107
广州市,广东省,0.32,20200107
南京市,江苏省,0.32,20200107
武威市,甘肃省,0.31,20200107
济南市,山东省,0.3,20200107
包头市,内蒙古自治区,0.28,20200107
太原市,山西省,0.26,20200107
石家庄市,河北省,0.26,20200107
西宁市,青海省,0.26,20200107
杭州市,浙江省,0.26,20200107
长沙市,湖南省,0.25,20200107
深圳市,广东省,0.22,20200107
宝鸡市,陕西省,0.21,20200107
南昌市,江西省,0.21,20200107
保定市,河北省,0.19,20200107
苏州市,江苏省,0.18,20200107
长春市,吉林省,0.17,20200107
厦门市,福建省,0.17,20200107
沈阳市,辽宁省,0.17,20200107
哈尔滨市,黑龙江省,0.16,20200107
渭南市,陕西省,0.16,20200107
昆明市,云南省,0.15,20200107
洛阳市,河南省,0.15,20200107
天水市,甘肃省,0.15,20200107
吕梁市,山西省,0.15,20200107
吴忠市,宁夏回族自治区,27.29,20200108
石嘴山市,宁夏回族自治区,15.11,20200108
中卫市,宁夏回族自治区,10.96,20200108
固原市,宁夏回族自治区,7.78,20200108
榆林市,陕西省,3.41,20200108
鄂尔多斯市,内蒙古自治区,2.72,20200108
西安市,陕西省,2.47,20200108
阿拉善盟,内蒙古自治区,2.42,20200108
北京市,北京市,1.98,20200108
乌海市,内蒙古自治区,1.85,20200108
兰州市,甘肃省,1.72,20200108
庆阳市,甘肃省,1.38,20200108
上海市,上海市,0.81,20200108
平凉市,甘肃省,0.74,20200108
巴彦淖尔市,内蒙古自治区,0.72,20200108
天津市,天津市,0.72,20200108
成都市,四川省,0.72,20200108
重庆市,重庆市,0.5,20200108
延安市,陕西省,0.5,20200108
乌鲁木齐市,新疆维吾尔自治区,0.45,20200108
白银市,甘肃省,0.44,20200108
武汉市,湖北省,0.42,20200108
南京市,江苏省,0.41,20200108
包头市,内蒙古自治区,0.4,20200108
咸阳市,陕西省,0.39,20200108
郑州市,河南省,0.38,20200108
西宁市,青海省,0.33,20200108
广州市,广东省,0.32,20200108
青岛市,山东省,0.3,20200108
杭州市,浙江省,0.3,20200108
深圳市,广东省,0.3,20200108
石家庄市,河北省,0.29,20200108
武威市,甘肃省,0.28,20200108
宝鸡市,陕西省,0.28,20200108
太原市,山西省,0.27,20200108
长春市,吉林省,0.27,20200108
长沙市,湖南省,0.26,20200108
