city_name,province_name,value,date
吴忠市,宁夏回族自治区,32.04,20200101
石嘴山市,宁夏回族自治区,17.32,20200101
中卫市,宁夏回族自治区,10.79,20200101
固原市,宁夏回族自治区,7.65,20200101
榆林市,陕西省,3.57,20200101
鄂尔多斯市,内蒙古自治区,2.73,20200101
阿拉善盟,内蒙古自治区,1.86,20200101
西安市,陕西省,1.67,20200101
庆阳市,甘肃省,1.56,20200101
平凉市,甘肃省,1.49,20200101
兰州市,甘肃省,1.49,20200101
北京市,北京市,1.36,20200101
乌海市,内蒙古自治区,1.26,20200101
延安市,陕西省,0.84,20200101
白银市,甘肃省,0.58,20200101
巴彦淖尔市,内蒙古自治区,0.49,20200101
成都市,四川省,0.45,20200101
咸阳市,陕西省,0.41,20200101
上海市,上海市,0.35,20200101
武威市,甘肃省,0.32,20200101
重庆市,重庆市,0.32,20200101
西宁市,青海省,0.32,20200101
石家庄市,河北省,0.31,20200101
天水市,甘肃省,0.31,20200101
三亚市,海南省,0.27,20200101
包头市,内蒙古自治区,0.27,20200101
定西市,甘肃省,0.25,20200101
呼和浩特市,内蒙古自治区,0.24,20200101
郑州市,河南省,0.22,20200101
广州市,广东省,0.22,20200101
宝鸡市,陕西省,0.19,20200101
长沙市,湖南省,0.18,20200101
深圳市,广东省,0.17,20200101
太原市,山西省,0.17,20200101
渭南市,陕西省,0.16,20200101
乌鲁木齐市,新疆维吾尔自治区,0.15,20200101
南京市,江苏省,0.14,20200101
杭州市,浙江省,0.14,20200101
洛阳市,河南省,0.13,20200101
张掖市,甘肃省,0.12,20200101
哈尔滨市,黑龙江省,0.12,20200101
酒泉市,甘肃省,0.12,20200101
苏州市,江苏省,0.12,20200101
天津市,天津市,0.11,20200101
菏泽市,山东省,0.11,20200101
南阳市,河南省,0.11,20200101
昆明市,云南省,0.1,20200101
晋中市,山西省,0.1,20200101
沧州市,河北省,0.09,20200101
南充市,四川省,0.09,20200101
吴忠市,宁夏回族自治区,23.13,20200102
石嘴山市,宁夏回族自治区,14.2,20200102
中卫市,宁夏回族自治区,10.48,20200102
固原市,宁夏回族自治区,9.07,20200102
榆林市,陕西省,3.71,20200102
西安市,陕西省,2.49,20200102
庆阳市,甘肃省,2.37,20200102
鄂尔多斯市,内蒙古自治区,2.13,20200102
平凉市,甘肃省,2.12,20200102
北京市,北京市,1.85,20200102
兰州市,甘肃省,1.78,20200102
阿拉善盟,内蒙古自治区,1.7,20200102
