city_name,province_name,value,date
四平市,吉林省,24.94,20200101
吉林市,吉林省,15.09,20200101
松原市,吉林省,12.82,20200101
哈尔滨市,黑龙江省,5.4,20200101
白城市,吉林省,3.81,20200101
北京市,北京市,3.08,20200101
通化市,吉林省,3.05,20200101
沈阳市,辽宁省,2.69,20200101
辽源市,吉林省,2.6,20200101
延边朝鲜族自治州,吉林省,2.38,20200101
白山市,吉林省,1.7,20200101
大连市,辽宁省,0.9,20200101
通辽市,内蒙古自治区,0.89,20200101
天津市,天津市,0.75,20200101
上海市,上海市,0.72,20200101
铁岭市,辽宁省,0.69,20200101
大庆市,黑龙江省,0.68,20200101
兴安盟,内蒙古自治区,0.55,20200101
绥化市,黑龙江省,0.52,20200101
齐齐哈尔市,黑龙江省,0.48,20200101
三亚市,海南省,0.42,20200101
成都市,四川省,0.37,20200101
广州市,广东省,0.35,20200101
西安市,陕西省,0.32,20200101
杭州市,浙江省,0.32,20200101
深圳市,广东省,0.31,20200101
鞍山市,辽宁省,0.3,20200101
营口市,辽宁省,0.3,20200101
青岛市,山东省,0.29,20200101
葫芦岛市,辽宁省,0.28,20200101
锦州市,辽宁省,0.27,20200101
辽阳市,辽宁省,0.27,20200101
赤峰市,内蒙古自治区,0.25,20200101
廊坊市,河北省,0.23,20200101
南京市,江苏省,0.23,20200101
秦皇岛市,河北省,0.22,20200101
唐山市,河北省,0.21,20200101
重庆市,重庆市,0.2,20200101
呼伦贝尔市,内蒙古自治区,0.2,20200101
丹东市,辽宁省,0.19,20200101
郑州市,河南省,0.19,20200101
牡丹江市,黑龙江省,0.19,20200101
金华市,浙江省,0.19,20200101
厦门市,福建省,0.19,20200101
沧州市,河北省,0.17,20200101
保定市,河北省,0.17,20200101
济南市,山东省,0.16,20200101
海口市,海南省,0.16,20200101
石家庄市,河北省,0.16,20200101
苏州市,江苏省,0.15,20200101
四平市,吉林省,14.54,20200102
吉林市,吉林省,12.32,20200102
松原市,吉林省,11.24,20200102
哈尔滨市,黑龙江省,5.4,20200102
北京市,北京市,4.13,20200102
白城市,吉林省,4.01,20200102
通化市,吉林省,3.91,20200102
沈阳市,辽宁省,3.38,20200102
延边朝鲜族自治州,吉林省,3.22,20200102
辽源市,吉林省,2.3,20200102
白山市,吉林省,2.14,20200102
大连市,辽宁省,1.45,20200102
天津市,天津市,1.1,20200102
上海市,上海市,1.07,20200102
通辽市,内蒙古自治区,1.03,20200102
大庆市,黑龙江省,0.76,20200102
铁岭市,辽宁省,0.73,20200102
绥化市,黑龙江省,0.67,20200102
齐齐哈尔市,黑龙江省,0.65,20200102
三亚市,海南省,0.63,20200102
杭州市,浙江省,0.59,20200102
兴安盟,内蒙古自治区,0.58,20200102
广州市,广东省,0.57,20200102
营口市,辽宁省,0.45,20200102
青岛市,山东省,0.43,20200102
唐山市,河北省,0.41,20200102
深圳市,广东省,0.41,20200102
锦州市,辽宁省,0.4,20200102
赤峰市,内蒙古自治区,0.4,20200102
郑州市,河南省,0.38,20200102
呼伦贝尔市,内蒙古自治区,0.37,20200102
石家庄市,河北省,0.36,20200102
鞍山市,辽宁省,0.35,20200102
丹东市,辽宁省,0.34,20200102
成都市,四川省,0.33,20200102
西安市,陕西省,0.32,20200102
南京市,江苏省,0.32,20200102
保定市,河北省,0.32,20200102
重庆市,重庆市,0.32,20200102
葫芦岛市,辽宁省,0.31,20200102
秦皇岛市,河北省,0.3,20200102
牡丹江市,黑龙江省,0.29,20200102
廊坊市,河北省,0.29,20200102
济南市,山东省,0.29,20200102
武汉市,湖北省,0.27,20200102
昆明市,云南省,0.27,20200102
苏州市,江苏省,0.26,20200102
太原市,山西省,0.26,20200102
沧州市,河北省,0.25,20200102
黑河市,黑龙江省,0.25,20200102
四平市,吉林省,19.75,20200103
吉林市,吉林省,13.97,20200103
松原市,吉林省,11.32,20200103
哈尔滨市,黑龙江省,5.74,20200103
白城市,吉林省,3.86,20200103
沈阳市,辽宁省,3.46,20200103
北京市,北京市,3.45,20200103
通化市,吉林省,3.21,20200103
延边朝鲜族自治州,吉林省,3.1,20200103
辽源市,吉林省,2.55,20200103
白山市,吉林省,2.15,20200103
大连市,辽宁省,1.1,20200103
天津市,天津市,0.92,20200103
通辽市,内蒙古自治区,0.89,20200103
上海市,上海市,0.82,20200103
铁岭市,辽宁省,0.74,20200103
大庆市,黑龙江省,0.66,20200103
绥化市,黑龙江省,0.62,20200103
兴安盟,内蒙古自治区,0.58,20200103
齐齐哈尔市,黑龙江省,0.57,20200103
杭州市,浙江省,0.42,20200103
西安市,陕西省,0.39,20200103
成都市,四川省,0.39,20200103
广州市,广东省,0.38,20200103
石家庄市,河北省,0.36,20200103
青岛市,山东省,0.35,20200103
三亚市,海南省,0.35,20200103
营口市,辽宁省,0.35,20200103
唐山市,河北省,0.34,20200103
赤峰市,内蒙古自治区,0.34,20200103
深圳市,广东省,0.33,20200103
鞍山市,辽宁省,0.32,20200103
郑州市,河南省,0.31,20200103
南京市,江苏省,0.29,20200103
丹东市,辽宁省,0.29,20200103
锦州市,辽宁省,0.29,20200103
牡丹江市,黑龙江省,0.26,20200103
葫芦岛市,辽宁省,0.26,20200103
重庆市,重庆市,0.25,20200103
秦皇岛市,河北省,0.25,20200103
济南市,山东省,0.24,20200103
廊坊市,河北省,0.24,20200103
保定市,河北省,0.23,20200103
抚顺市,辽宁省,0.22,20200103
苏州市,江苏省,0.22,20200103
呼伦贝尔市,内蒙古自治区,0.22,20200103
昆明市,云南省,0.22,20200103
宁波市,浙江省,0.2,20200103
武汉市,湖北省,0.2,20200103
佳木斯市,黑龙江省,0.2,20200103
四平市,吉林省,20.38,20200104
吉林市,吉林省,14.58,20200104
松原市,吉林省,11.29,20200104
哈尔滨市,黑龙江省,5.64,20200104
白城市,吉林省,3.78,20200104
沈阳市,辽宁省,3.26,20200104
通化市,吉林省,3.22,20200104
北京市,北京市,3.04,20200104
延边朝鲜族自治州,吉林省,2.7,20200104
辽源市,吉林省,2.34,20200104
白山市,吉林省,1.97,20200104
天津市,天津市,0.96,20200104
大连市,辽宁省,0.94,20200104
上海市,上海市,0.81,20200104
通辽市,内蒙古自治区,0.8,20200104
铁岭市,辽宁省,0.67,20200104
大庆市,黑龙江省,0.63,20200104
绥化市,黑龙江省,0.57,20200104
兴安盟,内蒙古自治区,0.5,20200104
齐齐哈尔市,黑龙江省,0.47,20200104
西安市,陕西省,0.43,20200104
广州市,广东省,0.41,20200104
三亚市,海南省,0.41,20200104
杭州市,浙江省,0.39,20200104
成都市,四川省,0.38,20200104
苏州市,江苏省,0.36,20200104
赤峰市,内蒙古自治区,0.34,20200104
青岛市,山东省,0.34,20200104
唐山市,河北省,0.32,20200104
营口市,辽宁省,0.32,20200104
鞍山市,辽宁省,0.32,20200104
郑州市,河南省,0.31,20200104
石家庄市,河北省,0.3,20200104
深圳市,广东省,0.28,20200104
重庆市,重庆市,0.28,20200104
葫芦岛市,辽宁省,0.27,20200104
济南市,山东省,0.27,20200104
锦州市,辽宁省,0.27,20200104
