city_name,province_name,value,date
岳阳市,湖南省,13.31,20200101
湘潭市,湖南省,11.25,20200101
株洲市,湖南省,10.58,20200101
益阳市,湖南省,10.26,20200101
衡阳市,湖南省,5.55,20200101
常德市,湖南省,5.52,20200101
娄底市,湖南省,5.35,20200101
邵阳市,湖南省,4.6,20200101
永州市,湖南省,2.12,20200101
怀化市,湖南省,2.11,20200101
郴州市,湖南省,2.11,20200101
萍乡市,江西省,1.63,20200101
湘西土家族苗族自治州,湖南省,1.5,20200101
广州市,广东省,1.43,20200101
武汉市,湖北省,1.29,20200101
深圳市,广东省,1.21,20200101
张家界市,湖南省,1.2,20200101
宜春市,江西省,1.18,20200101
北京市,北京市,0.87,20200101
上海市,上海市,0.69,20200101
重庆市,重庆市,0.59,20200101
荆州市,湖北省,0.58,20200101
南昌市,江西省,0.55,20200101
东莞市,广东省,0.51,20200101
杭州市,浙江省,0.36,20200101
佛山市,广东省,0.33,20200101
成都市,四川省,0.29,20200101
咸宁市,湖北省,0.27,20200101
西安市,陕西省,0.27,20200101
桂林市,广西壮族自治区,0.26,20200101
九江市,江西省,0.24,20200101
昆明市,云南省,0.22,20200101
郑州市,河南省,0.22,20200101
贵阳市,贵州省,0.21,20200101
南京市,江苏省,0.21,20200101
韶关市,广东省,0.2,20200101
吉安市,江西省,0.2,20200101
孝感市,湖北省,0.18,20200101
南宁市,广西壮族自治区,0.17,20200101
厦门市,福建省,0.17,20200101
福州市,福建省,0.17,20200101
合肥市,安徽省,0.16,20200101
中山市,广东省,0.16,20200101
赣州市,江西省,0.16,20200101
苏州市,江苏省,0.15,20200101
三亚市,海南省,0.15,20200101
惠州市,广东省,0.14,20200101
天津市,天津市,0.14,20200101
珠海市,广东省,0.14,20200101
恩施土家族苗族自治州,湖北省,0.13,20200101
岳阳市,湖南省,9.94,20200102
益阳市,湖南省,8.8,20200102
株洲市,湖南省,7.39,20200102
湘潭市,湖南省,7.25,20200102
常德市,湖南省,6.43,20200102
衡阳市,湖南省,5.82,20200102
邵阳市,湖南省,5.74,20200102
娄底市,湖南省,5.43,20200102
永州市,湖南省,3.18,20200102
怀化市,湖南省,3.0,20200102
郴州市,湖南省,2.82,20200102
广州市,广东省,1.9,20200102
湘西土家族苗族自治州,湖南省,1.86,20200102
武汉市,湖北省,1.71,20200102
张家界市,湖南省,1.53,20200102
深圳市,广东省,1.41,20200102
北京市,北京市,1.4,20200102
宜春市,江西省,0.94,20200102
重庆市,重庆市,0.87,20200102
萍乡市,江西省,0.85,20200102
上海市,上海市,0.76,20200102
南昌市,江西省,0.65,20200102
