city_name,province_name,value,date
沈阳市,辽宁省,32.9,20200101
锦州市,辽宁省,15.52,20200101
通辽市,内蒙古自治区,12.45,20200101
朝阳市,辽宁省,5.2,20200101
大连市,辽宁省,4.01,20200101
北京市,北京市,3.61,20200101
盘锦市,辽宁省,2.15,20200101
葫芦岛市,辽宁省,1.63,20200101
赤峰市,内蒙古自治区,1.58,20200101
铁岭市,辽宁省,1.49,20200101
鞍山市,辽宁省,1.33,20200101
天津市,天津市,1.21,20200101
哈尔滨市,黑龙江省,1.01,20200101
营口市,辽宁省,0.86,20200101
抚顺市,辽宁省,0.81,20200101
本溪市,辽宁省,0.75,20200101
辽阳市,辽宁省,0.72,20200101
长春市,吉林省,0.72,20200101
唐山市,河北省,0.52,20200101
丹东市,辽宁省,0.5,20200101
廊坊市,河北省,0.43,20200101
上海市,上海市,0.43,20200101
秦皇岛市,河北省,0.38,20200101
济南市,山东省,0.35,20200101
青岛市,山东省,0.33,20200101
保定市,河北省,0.32,20200101
四平市,吉林省,0.32,20200101
沧州市,河北省,0.29,20200101
大庆市,黑龙江省,0.29,20200101
承德市,河北省,0.23,20200101
锡林郭勒盟,内蒙古自治区,0.23,20200101
南京市,江苏省,0.18,20200101
松原市,吉林省,0.18,20200101
吉林市,吉林省,0.16,20200101
苏州市,江苏省,0.16,20200101
深圳市,广东省,0.15,20200101
西安市,陕西省,0.15,20200101
烟台市,山东省,0.15,20200101
潍坊市,山东省,0.15,20200101
惠州市,广东省,0.15,20200101
广州市,广东省,0.13,20200101
厦门市,福建省,0.13,20200101
鄂尔多斯市,内蒙古自治区,0.12,20200101
湖州市,浙江省,0.12,20200101
白城市,吉林省,0.12,20200101
无锡市,江苏省,0.12,20200101
绥化市,黑龙江省,0.12,20200101
呼伦贝尔市,内蒙古自治区,0.12,20200101
通化市,吉林省,0.12,20200101
杭州市,浙江省,0.12,20200101
沈阳市,辽宁省,31.1,20200102
锦州市,辽宁省,12.59,20200102
通辽市,内蒙古自治区,8.19,20200102
大连市,辽宁省,4.9,20200102
北京市,北京市,4.34,20200102
朝阳市,辽宁省,3.58,20200102
天津市,天津市,2.21,20200102
葫芦岛市,辽宁省,2.09,20200102
盘锦市,辽宁省,1.94,20200102
铁岭市,辽宁省,1.65,20200102
鞍山市,辽宁省,1.33,20200102
营口市,辽宁省,1.24,20200102
赤峰市,内蒙古自治区,1.24,20200102
长春市,吉林省,1.18,20200102
抚顺市,辽宁省,1.09,20200102
本溪市,辽宁省,1.03,20200102
哈尔滨市,黑龙江省,0.92,20200102
廊坊市,河北省,0.78,20200102
辽阳市,辽宁省,0.77,20200102
锡林郭勒盟,内蒙古自治区,0.72,20200102
丹东市,辽宁省,0.69,20200102
秦皇岛市,河北省,0.65,20200102
青岛市,山东省,0.54,20200102
呼和浩特市,内蒙古自治区,0.53,20200102
唐山市,河北省,0.53,20200102
四平市,吉林省,0.5,20200102
上海市,上海市,0.48,20200102
大庆市,黑龙江省,0.44,20200102
杭州市,浙江省,0.37,20200102
保定市,河北省,0.37,20200102
南京市,江苏省,0.34,20200102
深圳市,广东省,0.33,20200102
济南市,山东省,0.31,20200102
苏州市,江苏省,0.3,20200102
石家庄市,河北省,0.28,20200102
承德市,河北省,0.28,20200102
广州市,广东省,0.28,20200102
鄂尔多斯市,内蒙古自治区,0.28,20200102
兴安盟,内蒙古自治区,0.25,20200102
潍坊市,山东省,0.25,20200102
