city_name,province_name,value,date
沈阳市,辽宁省,34.32,20200101
锦州市,辽宁省,16.58,20200101
通辽市,内蒙古自治区,11.88,20200101
朝阳市,辽宁省,4.94,20200101
大连市,辽宁省,3.78,20200101
北京市,北京市,2.76,20200101
锡林郭勒盟,内蒙古自治区,2.5,20200101
鞍山市,辽宁省,1.83,20200101
盘锦市,辽宁省,1.8,20200101
葫芦岛市,辽宁省,1.64,20200101
铁岭市,辽宁省,1.49,20200101
辽阳市,辽宁省,1.27,20200101
赤峰市,内蒙古自治区,1.24,20200101
营口市,辽宁省,0.99,20200101
天津市,天津市,0.9,20200101
长春市,吉林省,0.77,20200101
抚顺市,辽宁省,0.68,20200101
秦皇岛市,河北省,0.48,20200101
四平市,吉林省,0.45,20200101
保定市,河北省,0.37,20200101
哈尔滨市,黑龙江省,0.35,20200101
唐山市,河北省,0.35,20200101
石家庄市,河北省,0.34,20200101
本溪市,辽宁省,0.32,20200101
廊坊市,河北省,0.31,20200101
丹东市,辽宁省,0.31,20200101
张家口市,河北省,0.29,20200101
兴安盟,内蒙古自治区,0.28,20200101
松原市,吉林省,0.24,20200101
吉林市,吉林省,0.23,20200101
上海市,上海市,0.23,20200101
泰安市,山东省,0.21,20200101
承德市,河北省,0.2,20200101
齐齐哈尔市,黑龙江省,0.18,20200101
滨州市,山东省,0.15,20200101
通化市,吉林省,0.15,20200101
杭州市,浙江省,0.15,20200101
白城市,吉林省,0.14,20200101
广州市,广东省,0.14,20200101
大庆市,黑龙江省,0.14,20200101
青岛市,山东省,0.14,20200101
济宁市,山东省,0.12,20200101
绥化市,黑龙江省,0.12,20200101
德州市,山东省,0.12,20200101
临沂市,山东省,0.12,20200101
沧州市,河北省,0.12,20200101
济南市,山东省,0.1,20200101
西安市,陕西省,0.1,20200101
呼和浩特市,内蒙古自治区,0.1,20200101
长沙市,湖南省,0.09,20200101
沈阳市,辽宁省,31.23,20200102
锡林郭勒盟,内蒙古自治区,11.91,20200102
锦州市,辽宁省,9.68,20200102
通辽市,内蒙古自治区,7.7,20200102
大连市,辽宁省,4.08,20200102
朝阳市,辽宁省,3.83,20200102
北京市,北京市,3.82,20200102
葫芦岛市,辽宁省,2.33,20200102
铁岭市,辽宁省,1.52,20200102
鞍山市,辽宁省,1.49,20200102
赤峰市,内蒙古自治区,1.47,20200102
盘锦市,辽宁省,1.42,20200102
营口市,辽宁省,1.42,20200102
天津市,天津市,1.17,20200102
长春市,吉林省,1.0,20200102
辽阳市,辽宁省,0.86,20200102
哈尔滨市,黑龙江省,0.68,20200102
抚顺市,辽宁省,0.62,20200102
唐山市,河北省,0.56,20200102
秦皇岛市,河北省,0.55,20200102
丹东市,辽宁省,0.54,20200102
本溪市,辽宁省,0.48,20200102
四平市,吉林省,0.39,20200102
保定市,河北省,0.38,20200102
兴安盟,内蒙古自治区,0.34,20200102
上海市,上海市,0.32,20200102
吉林市,吉林省,0.28,20200102
石家庄市,河北省,0.28,20200102
廊坊市,河北省,0.27,20200102
临沂市,山东省,0.25,20200102
白城市,吉林省,0.25,20200102
德州市,山东省,0.22,20200102
济南市,山东省,0.21,20200102
三亚市,海南省,0.21,20200102
齐齐哈尔市,黑龙江省,0.21,20200102
沧州市,河北省,0.19,20200102
太原市,山西省,0.19,20200102
呼和浩特市,内蒙古自治区,0.18,20200102
邯郸市,河北省,0.18,20200102
承德市,河北省,0.18,20200102
