city_name,province_name,value,date
合肥市,安徽省,12.22,20200101
亳州市,安徽省,12.13,20200101
周口市,河南省,7.25,20200101
淮南市,安徽省,7.12,20200101
上海市,上海市,5.07,20200101
杭州市,浙江省,3.35,20200101
六安市,安徽省,3.14,20200101
驻马店市,河南省,2.9,20200101
宁波市,浙江省,2.62,20200101
信阳市,河南省,2.6,20200101
苏州市,江苏省,2.29,20200101
北京市,北京市,1.58,20200101
南京市,江苏省,1.56,20200101
郑州市,河南省,1.49,20200101
绍兴市,浙江省,1.45,20200101
嘉兴市,浙江省,1.44,20200101
温州市,浙江省,1.43,20200101
蚌埠市,安徽省,1.29,20200101
无锡市,江苏省,1.2,20200101
天津市,天津市,1.19,20200101
淮北市,安徽省,1.09,20200101
常州市,江苏省,0.98,20200101
湖州市,浙江省,0.95,20200101
宿州市,安徽省,0.8,20200101
商丘市,河南省,0.78,20200101
武汉市,湖北省,0.77,20200101
舟山市,浙江省,0.73,20200101
金华市,浙江省,0.73,20200101
台州市,浙江省,0.67,20200101
芜湖市,安徽省,0.65,20200101
滁州市,安徽省,0.62,20200101
徐州市,江苏省,0.58,20200101
安庆市,安徽省,0.57,20200101
东莞市,广东省,0.56,20200101
深圳市,广东省,0.44,20200101
菏泽市,山东省,0.41,20200101
西安市,陕西省,0.41,20200101
南通市,江苏省,0.38,20200101
广州市,广东省,0.38,20200101
马鞍山市,安徽省,0.36,20200101
镇江市,江苏省,0.32,20200101
廊坊市,河北省,0.29,20200101
南阳市,河南省,0.28,20200101
保定市,河北省,0.25,20200101
惠州市,广东省,0.24,20200101
泉州市,福建省,0.24,20200101
扬州市,江苏省,0.24,20200101
烟台市,山东省,0.24,20200101
济宁市,山东省,0.24,20200101
石家庄市,河北省,0.23,20200101
合肥市,安徽省,14.19,20200102
上海市,上海市,6.12,20200102
亳州市,安徽省,5.7,20200102
杭州市,浙江省,4.42,20200102
淮南市,安徽省,4.05,20200102
宁波市,浙江省,3.56,20200102
周口市,河南省,3.33,20200102
苏州市,江苏省,3.16,20200102
温州市,浙江省,2.31,20200102
嘉兴市,浙江省,2.25,20200102
六安市,安徽省,2.12,20200102
北京市,北京市,1.95,20200102
绍兴市,浙江省,1.74,20200102
驻马店市,河南省,1.61,20200102
南京市,江苏省,1.52,20200102
无锡市,江苏省,1.5,20200102
湖州市,浙江省,1.35,20200102
蚌埠市,安徽省,1.35,20200102
信阳市,河南省,1.29,20200102
天津市,天津市,1.28,20200102
常州市,江苏省,1.22,20200102
金华市,浙江省,1.19,20200102
舟山市,浙江省,1.06,20200102
武汉市,湖北省,1.04,20200102
淮北市,安徽省,1.01,20200102
东莞市,广东省,1.01,20200102
郑州市,河南省,0.99,20200102
宿州市,安徽省,0.98,20200102
安庆市,安徽省,0.96,20200102
台州市,浙江省,0.94,20200102
芜湖市,安徽省,0.92,20200102
商丘市,河南省,0.85,20200102
深圳市,广东省,0.78,20200102
滁州市,安徽省,0.71,20200102
徐州市,江苏省,0.66,20200102
南通市,江苏省,0.57,20200102
广州市,广东省,0.54,20200102
惠州市,广东省,0.5,20200102
马鞍山市,安徽省,0.41,20200102
镇江市,江苏省,0.39,20200102
保定市,河北省,0.37,20200102
临沂市,山东省,0.35,20200102
西安市,陕西省,0.35,20200102
菏泽市,山东省,0.34,20200102
石家庄市,河北省,0.33,20200102
济宁市,山东省,0.32,20200102
廊坊市,河北省,0.32,20200102
济南市,山东省,0.31,20200102
福州市,福建省,0.29,20200102
扬州市,江苏省,0.29,20200102
