city_name,province_name,value,date
合肥市,安徽省,15.18,20200101
亳州市,安徽省,13.77,20200101
周口市,河南省,8.82,20200101
淮南市,安徽省,7.75,20200101
六安市,安徽省,5.2,20200101
上海市,上海市,4.25,20200101
驻马店市,河南省,4.0,20200101
信阳市,河南省,3.41,20200101
杭州市,浙江省,1.76,20200101
蚌埠市,安徽省,1.71,20200101
苏州市,江苏省,1.69,20200101
南京市,江苏省,1.67,20200101
宿州市,安徽省,1.26,20200101
宁波市,浙江省,1.22,20200101
芜湖市,安徽省,1.19,20200101
北京市,北京市,1.12,20200101
郑州市,河南省,1.12,20200101
淮北市,安徽省,1.07,20200101
商丘市,河南省,1.05,20200101
滁州市,安徽省,1.04,20200101
无锡市,江苏省,0.95,20200101
常州市,江苏省,0.78,20200101
武汉市,湖北省,0.68,20200101
徐州市,江苏省,0.63,20200101
嘉兴市,浙江省,0.61,20200101
安庆市,安徽省,0.61,20200101
湖州市,浙江省,0.5,20200101
天津市,天津市,0.47,20200101
黄冈市,湖北省,0.45,20200101
西安市,陕西省,0.43,20200101
绍兴市,浙江省,0.42,20200101
温州市,浙江省,0.41,20200101
菏泽市,山东省,0.4,20200101
马鞍山市,安徽省,0.35,20200101
宣城市,安徽省,0.33,20200101
南通市,江苏省,0.33,20200101
济宁市,山东省,0.32,20200101
金华市,浙江省,0.32,20200101
池州市,安徽省,0.3,20200101
南阳市,河南省,0.28,20200101
黄山市,安徽省,0.28,20200101
临沂市,山东省,0.27,20200101
镇江市,江苏省,0.25,20200101
平顶山市,河南省,0.25,20200101
开封市,河南省,0.24,20200101
宿迁市,江苏省,0.23,20200101
聊城市,山东省,0.23,20200101
漯河市,河南省,0.22,20200101
重庆市,重庆市,0.22,20200101
济南市,山东省,0.22,20200101
合肥市,安徽省,15.92,20200102
亳州市,安徽省,10.79,20200102
淮南市,安徽省,6.46,20200102
周口市,河南省,5.35,20200102
上海市,上海市,4.86,20200102
六安市,安徽省,3.75,20200102
驻马店市,河南省,2.44,20200102
杭州市,浙江省,2.21,20200102
信阳市,河南省,2.09,20200102
苏州市,江苏省,1.96,20200102
蚌埠市,安徽省,1.93,20200102
南京市,江苏省,1.84,20200102
