city_name,province_name,value,date
南宁市,广西壮族自治区,31.74,20200101
钦州市,广西壮族自治区,25.82,20200101
北海市,广西壮族自治区,7.37,20200101
崇左市,广西壮族自治区,5.68,20200101
玉林市,广西壮族自治区,2.35,20200101
柳州市,广西壮族自治区,2.07,20200101
湛江市,广东省,1.98,20200101
东莞市,广东省,1.51,20200101
百色市,广西壮族自治区,1.41,20200101
广州市,广东省,1.27,20200101
桂林市,广西壮族自治区,1.18,20200101
深圳市,广东省,1.12,20200101
佛山市,广东省,0.87,20200101
河池市,广西壮族自治区,0.8,20200101
贵港市,广西壮族自治区,0.79,20200101
梧州市,广西壮族自治区,0.7,20200101
茂名市,广东省,0.45,20200101
北京市,北京市,0.39,20200101
来宾市,广西壮族自治区,0.38,20200101
中山市,广东省,0.35,20200101
重庆市,重庆市,0.35,20200101
成都市,四川省,0.3,20200101
昆明市,云南省,0.25,20200101
天津市,天津市,0.24,20200101
淄博市,山东省,0.24,20200101
上海市,上海市,0.22,20200101
武汉市,湖北省,0.22,20200101
江门市,广东省,0.2,20200101
绍兴市,浙江省,0.2,20200101
惠州市,广东省,0.2,20200101
珠海市,广东省,0.2,20200101
温州市,浙江省,0.19,20200101
贵阳市,贵州省,0.17,20200101
济南市,山东省,0.17,20200101
海口市,海南省,0.17,20200101
阳江市,广东省,0.17,20200101
三亚市,海南省,0.17,20200101
杭州市,浙江省,0.17,20200101
文山壮族苗族自治州,云南省,0.16,20200101
肇庆市,广东省,0.15,20200101
哈尔滨市,黑龙江省,0.15,20200101
邯郸市,河北省,0.15,20200101
红河哈尼族彝族自治州,云南省,0.15,20200101
黔南布依族苗族自治州,贵州省,0.14,20200101
南京市,江苏省,0.14,20200101
宁波市,浙江省,0.12,20200101
岳阳市,湖南省,0.12,20200101
郑州市,河南省,0.12,20200101
呼和浩特市,内蒙古自治区,0.12,20200101
长沙市,湖南省,0.12,20200101
南宁市,广西壮族自治区,27.7,20200102
钦州市,广西壮族自治区,18.34,20200102
北海市,广西壮族自治区,7.95,20200102
崇左市,广西壮族自治区,3.38,20200102
柳州市,广西壮族自治区,2.84,20200102
玉林市,广西壮族自治区,2.7,20200102
东莞市,广东省,2.32,20200102
深圳市,广东省,2.14,20200102
广州市,广东省,2.05,20200102
湛江市,广东省,2.02,20200102
桂林市,广西壮族自治区,1.82,20200102
来宾市,广西壮族自治区,1.4,20200102
河池市,广西壮族自治区,1.31,20200102
百色市,广西壮族自治区,1.27,20200102
佛山市,广东省,0.88,20200102
贵港市,广西壮族自治区,0.81,20200102
梧州市,广西壮族自治区,0.76,20200102
茂名市,广东省,0.65,20200102
重庆市,重庆市,0.59,20200102
北京市,北京市,0.52,20200102
中山市,广东省,0.5,20200102
贵阳市,贵州省,0.48,20200102
成都市,四川省,0.44,20200102
惠州市,广东省,0.4,20200102
长沙市,湖南省,0.37,20200102
杭州市,浙江省,0.35,20200102
东方市,海南省,0.35,20200102
武汉市,湖北省,0.33,20200102
上海市,上海市,0.32,20200102
阳江市,广东省,0.31,20200102
红河哈尼族彝族自治州,云南省,0.29,20200102
昆明市,云南省,0.29,20200102
西安市,陕西省,0.26,20200102
衡阳市,湖南省,0.26,20200102
江门市,广东省,0.26,20200102
哈尔滨市,黑龙江省,0.24,20200102
石家庄市,河北省,0.22,20200102
郑州市,河南省,0.22,20200102
黔南布依族苗族自治州,贵州省,0.2,20200102
清远市,广东省,0.19,20200102
宁波市,浙江省,0.19,20200102
兰州市,甘肃省,0.19,20200102
新乡市,河南省,0.18,20200102
苏州市,江苏省,0.18,20200102
邯郸市,河北省,0.18,20200102
文山壮族苗族自治州,云南省,0.16,20200102
汕头市,广东省,0.15,20200102
珠海市,广东省,0.15,20200102
邵阳市,湖南省,0.15,20200102
漳州市,福建省,0.15,20200102
南宁市,广西壮族自治区,30.26,20200103
钦州市,广西壮族自治区,20.98,20200103
北海市,广西壮族自治区,8.28,20200103
崇左市,广西壮族自治区,4.05,20200103
柳州市,广西壮族自治区,2.62,20200103
玉林市,广西壮族自治区,2.33,20200103
湛江市,广东省,2.29,20200103
广州市,广东省,2.05,20200103
桂林市,广西壮族自治区,1.54,20200103
东莞市,广东省,1.52,20200103
河池市,广西壮族自治区,1.37,20200103
深圳市,广东省,1.16,20200103
百色市,广西壮族自治区,1.14,20200103
贵港市,广西壮族自治区,1.01,20200103
梧州市,广西壮族自治区,0.87,20200103
来宾市,广西壮族自治区,0.84,20200103
茂名市,广东省,0.81,20200103
佛山市,广东省,0.54,20200103
北京市,北京市,0.5,20200103
重庆市,重庆市,0.38,20200103
成都市,四川省,0.37,20200103
武汉市,湖北省,0.36,20200103
昆明市,云南省,0.36,20200103
江门市,广东省,0.31,20200103
中山市,广东省,0.31,20200103
郑州市,河南省,0.28,20200103
阳江市,广东省,0.28,20200103
长沙市,湖南省,0.28,20200103
兰州市,甘肃省,0.26,20200103
惠州市,广东省,0.26,20200103
上海市,上海市,0.24,20200103
太原市,山西省,0.23,20200103
苏州市,江苏省,0.23,20200103
贵阳市,贵州省,0.22,20200103
邯郸市,河北省,0.22,20200103
红河哈尼族彝族自治州,云南省,0.21,20200103
石家庄市,河北省,0.21,20200103
西安市,陕西省,0.18,20200103
哈尔滨市,黑龙江省,0.18,20200103
南昌市,江西省,0.18,20200103
云浮市,广东省,0.18,20200103
新乡市,河南省,0.18,20200103
肇庆市,广东省,0.17,20200103
保定市,河北省,0.16,20200103
永州市,湖南省,0.16,20200103
珠海市,广东省,0.15,20200103
福州市,福建省,0.15,20200103
贺州市,广西壮族自治区,0.15,20200103
杭州市,浙江省,0.15,20200103
湘潭市,湖南省,0.15,20200103
南宁市,广西壮族自治区,34.28,20200104
钦州市,广西壮族自治区,21.77,20200104
北海市,广西壮族自治区,7.02,20200104
崇左市,广西壮族自治区,4.96,20200104
柳州市,广西壮族自治区,2.29,20200104
玉林市,广西壮族自治区,2.02,20200104
湛江市,广东省,1.98,20200104
桂林市,广西壮族自治区,1.73,20200104
广州市,广东省,1.61,20200104
深圳市,广东省,1.28,20200104
东莞市,广东省,1.1,20200104
百色市,广西壮族自治区,1.04,20200104
河池市,广西壮族自治区,0.94,20200104
贵港市,广西壮族自治区,0.82,20200104
佛山市,广东省,0.74,20200104
茂名市,广东省,0.73,20200104
来宾市,广西壮族自治区,0.72,20200104
梧州市,广西壮族自治区,0.6,20200104
昆明市,云南省,0.42,20200104
武汉市,湖北省,0.4,20200104
重庆市,重庆市,0.4,20200104
长沙市,湖南省,0.35,20200104
中山市,广东省,0.34,20200104
郑州市,河南省,0.33,20200104
福州市,福建省,0.3,20200104
上海市,上海市,0.29,20200104
成都市,四川省,0.29,20200104
北京市,北京市,0.27,20200104
江门市,广东省,0.26,20200104
天津市,天津市,0.24,20200104
红河哈尼族彝族自治州,云南省,0.23,20200104
阳江市,广东省,0.21,20200104
贺州市,广西壮族自治区,0.21,20200104
贵阳市,贵州省,0.17,20200104
惠州市,广东省,0.17,20200104
杭州市,浙江省,0.17,20200104
西安市,陕西省,0.16,20200104
南阳市,河南省,0.15,20200104
珠海市,广东省,0.14,20200104
遵义市,贵州省,0.13,20200104
肇庆市,广东省,0.13,20200104
保定市,河北省,0.13,20200104
文山壮族苗族自治州,云南省,0.13,20200104
宁波市,浙江省,0.12,20200104
石家庄市,河北省,0.12,20200104
温州市,浙江省,0.11,20200104
海口市,海南省,0.11,20200104
