city_name,province_name,value,date
南宁市,广西壮族自治区,30.69,20200101
钦州市,广西壮族自治区,26.47,20200101
北海市,广西壮族自治区,9.59,20200101
崇左市,广西壮族自治区,5.04,20200101
玉林市,广西壮族自治区,2.27,20200101
柳州市,广西壮族自治区,1.78,20200101
湛江市,广东省,1.46,20200101
广州市,广东省,1.36,20200101
百色市,广西壮族自治区,1.36,20200101
桂林市,广西壮族自治区,1.28,20200101
河池市,广西壮族自治区,1.07,20200101
贵港市,广西壮族自治区,0.91,20200101
文山壮族苗族自治州,云南省,0.69,20200101
深圳市,广东省,0.61,20200101
佛山市,广东省,0.61,20200101
梧州市,广西壮族自治区,0.59,20200101
来宾市,广西壮族自治区,0.57,20200101
东莞市,广东省,0.56,20200101
重庆市,重庆市,0.49,20200101
茂名市,广东省,0.37,20200101
北京市,北京市,0.27,20200101
长沙市,湖南省,0.27,20200101
贵阳市,贵州省,0.23,20200101
阳江市,广东省,0.23,20200101
上海市,上海市,0.22,20200101
黔南布依族苗族自治州,贵州省,0.22,20200101
昆明市,云南省,0.22,20200101
成都市,四川省,0.21,20200101
江门市,广东省,0.2,20200101
福州市,福建省,0.18,20200101
云浮市,广东省,0.18,20200101
惠州市,广东省,0.17,20200101
珠海市,广东省,0.17,20200101
唐山市,河北省,0.15,20200101
中山市,广东省,0.14,20200101
遵义市,贵州省,0.14,20200101
石家庄市,河北省,0.14,20200101
红河哈尼族彝族自治州,云南省,0.14,20200101
贺州市,广西壮族自治区,0.13,20200101
衡阳市,湖南省,0.13,20200101
揭阳市,广东省,0.11,20200101
株洲市,湖南省,0.11,20200101
益阳市,湖南省,0.11,20200101
永州市,湖南省,0.11,20200101
渭南市,陕西省,0.1,20200101
武汉市,湖北省,0.1,20200101
肇庆市,广东省,0.1,20200101
曲靖市,云南省,0.1,20200101
黔西南布依族苗族自治州,贵州省,0.09,20200101
清远市,广东省,0.09,20200101
南宁市,广西壮族自治区,30.74,20200102
钦州市,广西壮族自治区,15.67,20200102
北海市,广西壮族自治区,7.54,20200102
崇左市,广西壮族自治区,4.78,20200102
桂林市,广西壮族自治区,2.3,20200102
柳州市,广西壮族自治区,2.27,20200102
百色市,广西壮族自治区,1.93,20200102
湛江市,广东省,1.84,20200102
广州市,广东省,1.84,20200102
玉林市,广西壮族自治区,1.78,20200102
河池市,广西壮族自治区,1.47,20200102
贵港市,广西壮族自治区,1.18,20200102
深圳市,广东省,1.09,20200102
重庆市,重庆市,1.0,20200102
文山壮族苗族自治州,云南省,0.93,20200102
东莞市,广东省,0.91,20200102
佛山市,广东省,0.86,20200102
来宾市,广西壮族自治区,0.65,20200102
梧州市,广西壮族自治区,0.62,20200102
北京市,北京市,0.48,20200102
贵阳市,贵州省,0.44,20200102
福州市,福建省,0.42,20200102
茂名市,广东省,0.38,20200102
上海市,上海市,0.35,20200102
郑州市,河南省,0.35,20200102
中山市,广东省,0.32,20200102
长沙市,湖南省,0.3,20200102
内江市,四川省,0.3,20200102
珠海市,广东省,0.3,20200102
成都市,四川省,0.28,20200102
海口市,海南省,0.28,20200102
武汉市,湖北省,0.28,20200102
江门市,广东省,0.27,20200102
阳江市,广东省,0.25,20200102
黔西南布依族苗族自治州,贵州省,0.24,20200102
昆明市,云南省,0.22,20200102
永州市,湖南省,0.22,20200102
黔南布依族苗族自治州,贵州省,0.21,20200102
洛阳市,河南省,0.21,20200102
太原市,山西省,0.21,20200102
厦门市,福建省,0.19,20200102
揭阳市,广东省,0.18,20200102
驻马店市,河南省,0.18,20200102
邵阳市,湖南省,0.18,20200102
黔东南苗族侗族自治州,贵州省,0.18,20200102
焦作市,河南省,0.16,20200102
运城市,山西省,0.16,20200102
南平市,福建省,0.16,20200102
泉州市,福建省,0.16,20200102
西安市,陕西省,0.16,20200102
南宁市,广西壮族自治区,36.96,20200103
钦州市,广西壮族自治区,18.56,20200103
北海市,广西壮族自治区,7.59,20200103
崇左市,广西壮族自治区,4.53,20200103
柳州市,广西壮族自治区,3.34,20200103
玉林市,广西壮族自治区,1.96,20200103
湛江市,广东省,1.5,20200103
百色市,广西壮族自治区,1.47,20200103
桂林市,广西壮族自治区,1.43,20200103
来宾市,广西壮族自治区,1.1,20200103
广州市,广东省,1.01,20200103
深圳市,广东省,0.97,20200103
河池市,广西壮族自治区,0.92,20200103
贵港市,广西壮族自治区,0.88,20200103
重庆市,重庆市,0.78,20200103
梧州市,广西壮族自治区,0.74,20200103
文山壮族苗族自治州,云南省,0.73,20200103
佛山市,广东省,0.64,20200103
东莞市,广东省,0.54,20200103
珠海市,广东省,0.32,20200103
北京市,北京市,0.31,20200103
茂名市,广东省,0.31,20200103
永州市,湖南省,0.3,20200103
长沙市,湖南省,0.27,20200103
成都市,四川省,0.25,20200103
江门市,广东省,0.24,20200103
贵阳市,贵州省,0.24,20200103
昆明市,云南省,0.23,20200103
邵阳市,湖南省,0.2,20200103
