city_name,province_name,value,date
广州市,广东省,16.79,20200101
江门市,广东省,11.95,20200101
茂名市,广东省,9.31,20200101
佛山市,广东省,8.22,20200101
东莞市,广东省,6.89,20200101
中山市,广东省,6.44,20200101
深圳市,广东省,6.39,20200101
珠海市,广东省,5.46,20200101
云浮市,广东省,4.66,20200101
湛江市,广东省,3.77,20200101
肇庆市,广东省,1.74,20200101
惠州市,广东省,1.47,20200101
澳门,澳门,0.97,20200101
成都市,四川省,0.79,20200101
清远市,广东省,0.7,20200101
南宁市,广西壮族自治区,0.67,20200101
玉林市,广西壮族自治区,0.58,20200101
重庆市,重庆市,0.55,20200101
北海市,广西壮族自治区,0.54,20200101
文山壮族苗族自治州,云南省,0.49,20200101
北京市,北京市,0.44,20200101
河池市,广西壮族自治区,0.41,20200101
长沙市,湖南省,0.4,20200101
香港,香港,0.39,20200101
永州市,湖南省,0.36,20200101
百色市,广西壮族自治区,0.35,20200101
梧州市,广西壮族自治区,0.35,20200101
崇左市,广西壮族自治区,0.3,20200101
汕头市,广东省,0.29,20200101
汕尾市,广东省,0.27,20200101
韶关市,广东省,0.24,20200101
河源市,广东省,0.22,20200101
柳州市,广西壮族自治区,0.22,20200101
贵港市,广西壮族自治区,0.22,20200101
武汉市,湖北省,0.2,20200101
钦州市,广西壮族自治区,0.2,20200101
揭阳市,广东省,0.19,20200101
怀化市,湖南省,0.18,20200101
桂林市,广西壮族自治区,0.18,20200101
遵义市,贵州省,0.14,20200101
海口市,海南省,0.14,20200101
衡阳市,湖南省,0.14,20200101
昆明市,云南省,0.13,20200101
驻马店市,河南省,0.13,20200101
贺州市,广西壮族自治区,0.12,20200101
防城港市,广西壮族自治区,0.12,20200101
赣州市,江西省,0.11,20200101
铜仁市,贵州省,0.11,20200101
岳阳市,湖南省,0.1,20200101
邵阳市,湖南省,0.1,20200101
广州市,广东省,19.44,20200102
江门市,广东省,9.63,20200102
佛山市,广东省,8.53,20200102
茂名市,广东省,6.56,20200102
深圳市,广东省,6.3,20200102
中山市,广东省,5.98,20200102
东莞市,广东省,5.87,20200102
珠海市,广东省,5.59,20200102
湛江市,广东省,3.78,20200102
云浮市,广东省,2.84,20200102
肇庆市,广东省,1.36,20200102
惠州市,广东省,1.35,20200102
重庆市,重庆市,1.34,20200102
成都市,四川省,1.13,20200102
文山壮族苗族自治州,云南省,0.82,20200102
清远市,广东省,0.82,20200102
百色市,广西壮族自治区,0.74,20200102
澳门,澳门,0.71,20200102
遵义市,贵州省,0.68,20200102
北海市,广西壮族自治区,0.6,20200102
北京市,北京市,0.48,20200102
永州市,湖南省,0.46,20200102
南宁市,广西壮族自治区,0.45,20200102
汕尾市,广东省,0.43,20200102
香港,香港,0.42,20200102
铜仁市,贵州省,0.4,20200102
河池市,广西壮族自治区,0.39,20200102
柳州市,广西壮族自治区,0.38,20200102
韶关市,广东省,0.38,20200102
桂林市,广西壮族自治区,0.38,20200102
梧州市,广西壮族自治区,0.35,20200102
玉林市,广西壮族自治区,0.32,20200102
怀化市,湖南省,0.29,20200102
长沙市,湖南省,0.28,20200102
衡阳市,湖南省,0.28,20200102
河源市,广东省,0.27,20200102
汕头市,广东省,0.25,20200102
文昌市,海南省,0.24,20200102
钦州市,广西壮族自治区,0.23,20200102
防城港市,广西壮族自治区,0.23,20200102
崇左市,广西壮族自治区,0.23,20200102
贵港市,广西壮族自治区,0.22,20200102
赣州市,江西省,0.22,20200102
贺州市,广西壮族自治区,0.22,20200102
海口市,海南省,0.18,20200102
益阳市,湖南省,0.18,20200102
娄底市,湖南省,0.17,20200102
黔南布依族苗族自治州,贵州省,0.17,20200102
邵阳市,湖南省,0.16,20200102
丽水市,浙江省,0.16,20200102
广州市,广东省,20.87,20200103
茂名市,广东省,9.64,20200103
江门市,广东省,9.53,20200103
佛山市,广东省,7.59,20200103
深圳市,广东省,6.58,20200103
中山市,广东省,5.32,20200103
珠海市,广东省,4.98,20200103
东莞市,广东省,4.9,20200103
云浮市,广东省,4.09,20200103
湛江市,广东省,3.9,20200103
肇庆市,广东省,1.76,20200103
惠州市,广东省,1.07,20200103
重庆市,重庆市,0.97,20200103
成都市,四川省,0.91,20200103
澳门,澳门,0.9,20200103
清远市,广东省,0.77,20200103
永州市,湖南省,0.58,20200103
文山壮族苗族自治州,云南省,0.58,20200103
玉林市,广西壮族自治区,0.47,20200103
长沙市,湖南省,0.46,20200103
南宁市,广西壮族自治区,0.42,20200103
柳州市,广西壮族自治区,0.41,20200103
北海市,广西壮族自治区,0.4,20200103
崇左市,广西壮族自治区,0.39,20200103
百色市,广西壮族自治区,0.39,20200103
桂林市,广西壮族自治区,0.35,20200103
韶关市,广东省,0.34,20200103
铜仁市,贵州省,0.32,20200103
河池市,广西壮族自治区,0.31,20200103
北京市,北京市,0.3,20200103
赣州市,江西省,0.28,20200103
汕尾市,广东省,0.27,20200103
香港,香港,0.25,20200103
梧州市,广西壮族自治区,0.25,20200103
常德市,湖南省,0.24,20200103
黔南布依族苗族自治州,贵州省,0.24,20200103
海口市,海南省,0.22,20200103
钦州市,广西壮族自治区,0.22,20200103
防城港市,广西壮族自治区,0.22,20200103
文昌市,海南省,0.22,20200103
遵义市,贵州省,0.21,20200103
益阳市,湖南省,0.21,20200103
河源市,广东省,0.2,20200103
揭阳市,广东省,0.2,20200103
邵阳市,湖南省,0.19,20200103
梅州市,广东省,0.19,20200103
贵港市,广西壮族自治区,0.17,20200103
黔东南苗族侗族自治州,贵州省,0.17,20200103
贺州市,广西壮族自治区,0.16,20200103
驻马店市,河南省,0.15,20200103
广州市,广东省,18.7,20200104
江门市,广东省,10.97,20200104
茂名市,广东省,10.81,20200104
佛山市,广东省,7.05,20200104
云浮市,广东省,5.04,20200104
深圳市,广东省,4.96,20200104
珠海市,广东省,4.7,20200104
东莞市,广东省,4.61,20200104
湛江市,广东省,4.46,20200104
中山市,广东省,4.21,20200104
肇庆市,广东省,2.41,20200104
重庆市,重庆市,1.29,20200104
惠州市,广东省,1.14,20200104
澳门,澳门,0.99,20200104
文山壮族苗族自治州,云南省,0.72,20200104
清远市,广东省,0.7,20200104
成都市,四川省,0.63,20200104
玉林市,广西壮族自治区,0.57,20200104
百色市,广西壮族自治区,0.56,20200104
铜仁市,贵州省,0.45,20200104
河池市,广西壮族自治区,0.45,20200104
永州市,湖南省,0.42,20200104
北海市,广西壮族自治区,0.38,20200104
长沙市,湖南省,0.37,20200104
崇左市,广西壮族自治区,0.37,20200104
香港,香港,0.34,20200104
南宁市,广西壮族自治区,0.34,20200104
湘潭市,湖南省,0.31,20200104
韶关市,广东省,0.31,20200104
梧州市,广西壮族自治区,0.29,20200104
北京市,北京市,0.29,20200104
汕尾市,广东省,0.27,20200104
怀化市,湖南省,0.25,20200104
贺州市,广西壮族自治区,0.25,20200104
遵义市,贵州省,0.25,20200104
柳州市,广西壮族自治区,0.24,20200104
河源市,广东省,0.24,20200104
汕头市,广东省,0.23,20200104
贵港市,广西壮族自治区,0.23,20200104
上海市,上海市,0.22,20200104
桂林市,广西壮族自治区,0.2,20200104
衡阳市,湖南省,0.2,20200104
黔南布依族苗族自治州,贵州省,0.19,20200104
驻马店市,河南省,0.19,20200104
赣州市,江西省,0.19,20200104
郴州市,湖南省,0.19,20200104
揭阳市,广东省,0.19,20200104
防城港市,广西壮族自治区,0.18,20200104
钦州市,广西壮族自治区,0.17,20200104
荆州市,湖北省,0.16,20200104
广州市,广东省,20.97,20200105
茂名市,广东省,10.34,20200105
江门市,广东省,9.37,20200105
佛山市,广东省,7.18,20200105
深圳市,广东省,5.74,20200105
云浮市,广东省,5.11,20200105
湛江市,广东省,4.68,20200105
珠海市,广东省,4.63,20200105
东莞市,广东省,4.2,20200105
中山市,广东省,4.08,20200105
肇庆市,广东省,1.79,20200105
澳门,澳门,1.15,20200105
重庆市,重庆市,1.03,20200105
惠州市,广东省,0.96,20200105
清远市,广东省,0.68,20200105
文山壮族苗族自治州,云南省,0.59,20200105
百色市,广西壮族自治区,0.56,20200105
南宁市,广西壮族自治区,0.55,20200105
永州市,湖南省,0.5,20200105
铜仁市,贵州省,0.5,20200105
梧州市,广西壮族自治区,0.48,20200105
玉林市,广西壮族自治区,0.48,20200105
韶关市,广东省,0.45,20200105
成都市,四川省,0.44,20200105
长沙市,湖南省,0.43,20200105
北海市,广西壮族自治区,0.39,20200105
香港,香港,0.35,20200105
河池市,广西壮族自治区,0.34,20200105
崇左市,广西壮族自治区,0.32,20200105
桂林市,广西壮族自治区,0.31,20200105
遵义市,贵州省,0.29,20200105
怀化市,湖南省,0.28,20200105
益阳市,湖南省,0.27,20200105
防城港市,广西壮族自治区,0.26,20200105
河源市,广东省,0.24,20200105
柳州市,广西壮族自治区,0.24,20200105
贵港市,广西壮族自治区,0.22,20200105
汕尾市,广东省,0.22,20200105
昆明市,云南省,0.21,20200105
黔南布依族苗族自治州,贵州省,0.2,20200105
钦州市,广西壮族自治区,0.2,20200105
黔东南苗族侗族自治州,贵州省,0.2,20200105
北京市,北京市,0.18,20200105
驻马店市,河南省,0.18,20200105
郴州市,湖南省,0.17,20200105
上海市,上海市,0.17,20200105
汕头市,广东省,0.17,20200105
达州市,四川省,0.16,20200105
贺州市,广西壮族自治区,0.16,20200105
湘潭市,湖南省,0.16,20200105
广州市,广东省,18.73,20200106
茂名市,广东省,11.53,20200106
江门市,广东省,9.24,20200106
佛山市,广东省,6.83,20200106
云浮市,广东省,4.7,20200106
湛江市,广东省,4.66,20200106
深圳市,广东省,4.35,20200106
中山市,广东省,3.81,20200106
珠海市,广东省,3.77,20200106
东莞市,广东省,3.75,20200106
肇庆市,广东省,1.92,20200106
重庆市,重庆市,1.2,20200106
文山壮族苗族自治州,云南省,1.16,20200106
惠州市,广东省,1.07,20200106
清远市,广东省,0.92,20200106
澳门,澳门,0.91,20200106
永州市,湖南省,0.9,20200106
玉林市,广西壮族自治区,0.84,20200106
百色市,广西壮族自治区,0.83,20200106
南宁市,广西壮族自治区,0.63,20200106
河池市,广西壮族自治区,0.61,20200106
铜仁市,贵州省,0.6,20200106
长沙市,湖南省,0.52,20200106
成都市,四川省,0.49,20200106
怀化市,湖南省,0.45,20200106
北海市,广西壮族自治区,0.38,20200106
遵义市,贵州省,0.37,20200106
香港,香港,0.36,20200106
桂林市,广西壮族自治区,0.35,20200106
韶关市,广东省,0.34,20200106
梧州市,广西壮族自治区,0.33,20200106
汕头市,广东省,0.32,20200106
柳州市,广西壮族自治区,0.32,20200106
昆明市,云南省,0.32,20200106
汕尾市,广东省,0.32,20200106
上海市,上海市,0.31,20200106
黔东南苗族侗族自治州,贵州省,0.29,20200106
梅州市,广东省,0.29,20200106
钦州市,广西壮族自治区,0.28,20200106
黔南布依族苗族自治州,贵州省,0.28,20200106
河源市,广东省,0.28,20200106
荆州市,湖北省,0.24,20200106
北京市,北京市,0.24,20200106
衡阳市,湖南省,0.22,20200106
曲靖市,云南省,0.21,20200106
周口市,河南省,0.21,20200106
驻马店市,河南省,0.21,20200106
崇左市,广西壮族自治区,0.2,20200106
贵港市,广西壮族自治区,0.2,20200106
海口市,海南省,0.2,20200106
广州市,广东省,17.9,20200107
茂名市,广东省,10.75,20200107
江门市,广东省,9.61,20200107
佛山市,广东省,6.63,20200107
云浮市,广东省,4.69,20200107
湛江市,广东省,4.65,20200107
深圳市,广东省,4.58,20200107
东莞市,广东省,4.01,20200107
中山市,广东省,3.81,20200107
珠海市,广东省,3.74,20200107
肇庆市,广东省,2.39,20200107
重庆市,重庆市,1.19,20200107
澳门,澳门,1.02,20200107
惠州市,广东省,0.95,20200107
永州市,湖南省,0.86,20200107
铜仁市,贵州省,0.85,20200107
文山壮族苗族自治州,云南省,0.82,20200107
清远市,广东省,0.81,20200107
玉林市,广西壮族自治区,0.81,20200107
百色市,广西壮族自治区,0.78,20200107
成都市,四川省,0.68,20200107
河池市,广西壮族自治区,0.66,20200107
南宁市,广西壮族自治区,0.62,20200107
韶关市,广东省,0.61,20200107
柳州市,广西壮族自治区,0.51,20200107
北海市,广西壮族自治区,0.5,20200107
怀化市,湖南省,0.47,20200107
桂林市,广西壮族自治区,0.43,20200107
汕头市,广东省,0.41,20200107
遵义市,贵州省,0.4,20200107
崇左市,广西壮族自治区,0.39,20200107
长沙市,湖南省,0.34,20200107
河源市,广东省,0.33,20200107
梧州市,广西壮族自治区,0.32,20200107
上海市,上海市,0.31,20200107
香港,香港,0.31,20200107
衡阳市,湖南省,0.28,20200107
钦州市,广西壮族自治区,0.27,20200107
贵港市,广西壮族自治区,0.27,20200107
揭阳市,广东省,0.27,20200107
梅州市,广东省,0.27,20200107
贵阳市,贵州省,0.24,20200107
黔东南苗族侗族自治州,贵州省,0.22,20200107
驻马店市,河南省,0.21,20200107
汕尾市,广东省,0.2,20200107
邵阳市,湖南省,0.2,20200107
郴州市,湖南省,0.2,20200107
赣州市,江西省,0.19,20200107
荆州市,湖北省,0.18,20200107
曲靖市,云南省,0.18,20200107
广州市,广东省,16.7,20200108
茂名市,广东省,10.35,20200108
江门市,广东省,9.36,20200108
佛山市,广东省,6.22,20200108
湛江市,广东省,5.08,20200108
云浮市,广东省,4.7,20200108
深圳市,广东省,4.53,20200108
中山市,广东省,4.07,20200108
东莞市,广东省,4.05,20200108
珠海市,广东省,3.58,20200108
肇庆市,广东省,2.0,20200108
重庆市,重庆市,1.35,20200108
惠州市,广东省,1.22,20200108
清远市,广东省,1.04,20200108
铜仁市,贵州省,1.02,20200108
百色市,广西壮族自治区,0.99,20200108
永州市,湖南省,0.99,20200108
澳门,澳门,0.96,20200108
玉林市,广西壮族自治区,0.93,20200108
河池市,广西壮族自治区,0.82,20200108
文山壮族苗族自治州,云南省,0.78,20200108
南宁市,广西壮族自治区,0.68,20200108
成都市,四川省,0.68,20200108
怀化市,湖南省,0.63,20200108
韶关市,广东省,0.58,20200108
柳州市,广西壮族自治区,0.55,20200108
遵义市,贵州省,0.53,20200108
北海市,广西壮族自治区,0.5,20200108
长沙市,湖南省,0.49,20200108
崇左市,广西壮族自治区,0.42,20200108
梧州市,广西壮族自治区,0.4,20200108
汕头市,广东省,0.4,20200108
贵港市,广西壮族自治区,0.36,20200108
桂林市,广西壮族自治区,0.35,20200108
黔东南苗族侗族自治州,贵州省,0.34,20200108
香港,香港,0.28,20200108
北京市,北京市,0.28,20200108
娄底市,湖南省,0.27,20200108
河源市,广东省,0.26,20200108
梅州市,广东省,0.25,20200108
衡阳市,湖南省,0.25,20200108
黔南布依族苗族自治州,贵州省,0.25,20200108
揭阳市,广东省,0.25,20200108
泸州市,四川省,0.24,20200108
荆州市,湖北省,0.23,20200108
上海市,上海市,0.21,20200108
钦州市,广西壮族自治区,0.21,20200108
张家界市,湖南省,0.21,20200108
武汉市,湖北省,0.2,20200108
赣州市,江西省,0.2,20200108
广州市,广东省,14.72,20200109
茂名市,广东省,9.8,20200109
江门市,广东省,8.52,20200109
佛山市,广东省,6.25,20200109
湛江市,广东省,5.56,20200109
云浮市,广东省,4.85,20200109
深圳市,广东省,3.95,20200109
中山市,广东省,3.75,20200109
东莞市,广东省,3.6,20200109
珠海市,广东省,3.51,20200109
肇庆市,广东省,1.99,20200109
重庆市,重庆市,1.95,20200109
百色市,广西壮族自治区,1.48,20200109
永州市,湖南省,1.22,20200109
文山壮族苗族自治州,云南省,1.16,20200109
铜仁市,贵州省,1.14,20200109
惠州市,广东省,1.06,20200109
遵义市,贵州省,1.05,20200109
河池市,广西壮族自治区,1.04,20200109
清远市,广东省,1.03,20200109
玉林市,广西壮族自治区,0.91,20200109
韶关市,广东省,0.77,20200109
怀化市,湖南省,0.68,20200109
南宁市,广西壮族自治区,0.65,20200109
长沙市,湖南省,0.63,20200109
澳门,澳门,0.63,20200109
崇左市,广西壮族自治区,0.53,20200109
北海市,广西壮族自治区,0.52,20200109
钦州市,广西壮族自治区,0.5,20200109
衡阳市,湖南省,0.44,20200109
黔南布依族苗族自治州,贵州省,0.42,20200109
柳州市,广西壮族自治区,0.42,20200109
桂林市,广西壮族自治区,0.42,20200109
黔东南苗族侗族自治州,贵州省,0.4,20200109
梧州市,广西壮族自治区,0.39,20200109
汕头市,广东省,0.37,20200109
成都市,四川省,0.35,20200109
河源市,广东省,0.32,20200109
香港,香港,0.32,20200109
岳阳市,湖南省,0.31,20200109
赣州市,江西省,0.3,20200109
揭阳市,广东省,0.29,20200109
梅州市,广东省,0.27,20200109
贵港市,广西壮族自治区,0.26,20200109
贵阳市,贵州省,0.26,20200109
荆州市,湖北省,0.23,20200109
益阳市,湖南省,0.23,20200109
张家界市,湖南省,0.23,20200109
驻马店市,河南省,0.22,20200109
娄底市,湖南省,0.22,20200109
广州市,广东省,17.15,20200110
茂名市,广东省,10.99,20200110
江门市,广东省,9.55,20200110
佛山市,广东省,6.41,20200110
湛江市,广东省,5.54,20200110
云浮市,广东省,4.72,20200110
中山市,广东省,4.32,20200110
深圳市,广东省,4.3,20200110
东莞市,广东省,3.78,20200110
珠海市,广东省,3.6,20200110
肇庆市,广东省,1.94,20200110
惠州市,广东省,1.39,20200110
重庆市,重庆市,1.32,20200110
清远市,广东省,1.02,20200110
百色市,广西壮族自治区,0.95,20200110
河池市,广西壮族自治区,0.94,20200110
文山壮族苗族自治州,云南省,0.9,20200110
铜仁市,贵州省,0.87,20200110
永州市,湖南省,0.82,20200110
玉林市,广西壮族自治区,0.72,20200110
澳门,澳门,0.69,20200110
桂林市,广西壮族自治区,0.62,20200110
遵义市,贵州省,0.59,20200110
南宁市,广西壮族自治区,0.59,20200110
韶关市,广东省,0.57,20200110
崇左市,广西壮族自治区,0.55,20200110
怀化市,湖南省,0.49,20200110
汕头市,广东省,0.45,20200110
钦州市,广西壮族自治区,0.44,20200110
长沙市,湖南省,0.42,20200110
梧州市,广西壮族自治区,0.41,20200110
北海市,广西壮族自治区,0.4,20200110
黔东南苗族侗族自治州,贵州省,0.39,20200110
河源市,广东省,0.37,20200110
成都市,四川省,0.34,20200110
黔南布依族苗族自治州,贵州省,0.34,20200110
衡阳市,湖南省,0.31,20200110
赣州市,江西省,0.29,20200110
梅州市,广东省,0.27,20200110
香港,香港,0.27,20200110
柳州市,广西壮族自治区,0.27,20200110
贺州市,广西壮族自治区,0.27,20200110
贵阳市,贵州省,0.25,20200110
郴州市,湖南省,0.24,20200110
贵港市,广西壮族自治区,0.24,20200110
岳阳市,湖南省,0.22,20200110
北京市,北京市,0.22,20200110
揭阳市,广东省,0.21,20200110
邵阳市,湖南省,0.21,20200110
防城港市,广西壮族自治区,0.2,20200110
广州市,广东省,15.75,20200111
茂名市,广东省,11.16,20200111
江门市,广东省,10.19,20200111
佛山市,广东省,6.58,20200111
湛江市,广东省,5.6,20200111
云浮市,广东省,4.41,20200111
深圳市,广东省,4.22,20200111
中山市,广东省,4.09,20200111
珠海市,广东省,4.02,20200111
东莞市,广东省,3.4,20200111
肇庆市,广东省,2.18,20200111
惠州市,广东省,1.52,20200111
重庆市,重庆市,1.38,20200111
百色市,广西壮族自治区,1.22,20200111
永州市,湖南省,1.2,20200111
玉林市,广西壮族自治区,1.09,20200111
文山壮族苗族自治州,云南省,1.05,20200111
清远市,广东省,0.96,20200111
南宁市,广西壮族自治区,0.85,20200111
河池市,广西壮族自治区,0.81,20200111
澳门,澳门,0.78,20200111
铜仁市,贵州省,0.78,20200111
韶关市,广东省,0.78,20200111
长沙市,湖南省,0.68,20200111
桂林市,广西壮族自治区,0.54,20200111
北海市,广西壮族自治区,0.53,20200111
河源市,广东省,0.53,20200111
遵义市,贵州省,0.51,20200111
崇左市,广西壮族自治区,0.5,20200111
汕头市,广东省,0.49,20200111
怀化市,湖南省,0.49,20200111
