city_name,province_name,value,date
晋中市,山西省,32.36,20200101
太原市,山西省,21.72,20200101
石家庄市,河北省,10.18,20200101
忻州市,山西省,4.7,20200101
北京市,北京市,4.22,20200101
吕梁市,山西省,2.44,20200101
保定市,河北省,1.62,20200101
天津市,天津市,1.56,20200101
邢台市,河北省,1.39,20200101
临汾市,山西省,1.38,20200101
长治市,山西省,1.12,20200101
运城市,山西省,0.81,20200101
邯郸市,河北省,0.81,20200101
大同市,山西省,0.79,20200101
晋城市,山西省,0.79,20200101
沧州市,河北省,0.77,20200101
衡水市,河北省,0.51,20200101
西安市,陕西省,0.5,20200101
郑州市,河南省,0.44,20200101
安阳市,河南省,0.43,20200101
廊坊市,河北省,0.41,20200101
青岛市,山东省,0.4,20200101
朔州市,山西省,0.4,20200101
榆林市,陕西省,0.37,20200101
上海市,上海市,0.37,20200101
唐山市,河北省,0.34,20200101
德州市,山东省,0.31,20200101
聊城市,山东省,0.3,20200101
苏州市,江苏省,0.28,20200101
武汉市,湖北省,0.27,20200101
哈尔滨市,黑龙江省,0.25,20200101
济南市,山东省,0.24,20200101
新乡市,河南省,0.23,20200101
长春市,吉林省,0.21,20200101
滨州市,山东省,0.2,20200101
鹤壁市,河南省,0.2,20200101
张家口市,河北省,0.18,20200101
成都市,四川省,0.17,20200101
鄂尔多斯市,内蒙古自治区,0.17,20200101
杭州市,浙江省,0.17,20200101
大连市,辽宁省,0.15,20200101
济宁市,山东省,0.15,20200101
淄博市,山东省,0.15,20200101
徐州市,江苏省,0.14,20200101
深圳市,广东省,0.14,20200101
烟台市,山东省,0.12,20200101
重庆市,重庆市,0.12,20200101
广州市,广东省,0.12,20200101
白城市,吉林省,0.12,20200101
呼和浩特市,内蒙古自治区,0.12,20200101
太原市,山西省,22.88,20200102
晋中市,山西省,20.91,20200102
石家庄市,河北省,10.18,20200102
北京市,北京市,6.62,20200102
忻州市,山西省,4.36,20200102
吕梁市,山西省,2.73,20200102
天津市,天津市,2.13,20200102
保定市,河北省,1.87,20200102
长治市,山西省,1.58,20200102
运城市,山西省,1.28,20200102
临汾市,山西省,1.14,20200102
大同市,山西省,0.96,20200102
邢台市,河北省,0.95,20200102
邯郸市,河北省,0.9,20200102
廊坊市,河北省,0.73,20200102
沧州市,河北省,0.73,20200102
上海市,上海市,0.71,20200102
朔州市,山西省,0.64,20200102
西安市,陕西省,0.62,20200102
晋城市,山西省,0.55,20200102
榆林市,陕西省,0.55,20200102
武汉市,湖北省,0.54,20200102
青岛市,山东省,0.54,20200102
安阳市,河南省,0.52,20200102
长春市,吉林省,0.46,20200102
聊城市,山东省,0.46,20200102
苏州市,江苏省,0.45,20200102
郑州市,河南省,0.43,20200102
济南市,山东省,0.43,20200102
淄博市,山东省,0.4,20200102
衡水市,河北省,0.4,20200102
哈尔滨市,黑龙江省,0.3,20200102
临沂市,山东省,0.29,20200102
唐山市,河北省,0.29,20200102
南京市,江苏省,0.27,20200102
通化市,吉林省,0.26,20200102
大连市,辽宁省,0.26,20200102
