city_name,province_name,value,date
晋中市,山西省,30.29,20200101
太原市,山西省,24.58,20200101
石家庄市,河北省,10.68,20200101
忻州市,山西省,5.96,20200101
北京市,北京市,3.79,20200101
吕梁市,山西省,2.18,20200101
榆林市,陕西省,1.7,20200101
保定市,河北省,1.52,20200101
邯郸市,河北省,1.29,20200101
天津市,天津市,1.06,20200101
安阳市,河南省,1.03,20200101
长治市,山西省,1.01,20200101
邢台市,河北省,0.95,20200101
临汾市,山西省,0.76,20200101
运城市,山西省,0.76,20200101
大同市,山西省,0.65,20200101
朔州市,山西省,0.63,20200101
聊城市,山东省,0.48,20200101
包头市,内蒙古自治区,0.39,20200101
沧州市,河北省,0.39,20200101
晋城市,山西省,0.36,20200101
衡水市,河北省,0.35,20200101
西安市,陕西省,0.35,20200101
枣庄市,山东省,0.34,20200101
济南市,山东省,0.29,20200101
鄂尔多斯市,内蒙古自治区,0.21,20200101
唐山市,河北省,0.2,20200101
上海市,上海市,0.19,20200101
廊坊市,河北省,0.19,20200101
重庆市,重庆市,0.19,20200101
滨州市,山东省,0.18,20200101
青岛市,山东省,0.18,20200101
哈尔滨市,黑龙江省,0.18,20200101
淄博市,山东省,0.17,20200101
郑州市,河南省,0.17,20200101
临沂市,山东省,0.15,20200101
徐州市,江苏省,0.14,20200101
商丘市,河南省,0.14,20200101
秦皇岛市,河北省,0.14,20200101
延安市,陕西省,0.14,20200101
德州市,山东省,0.12,20200101
菏泽市,山东省,0.12,20200101
济宁市,山东省,0.12,20200101
新乡市,河南省,0.12,20200101
乌兰察布市,内蒙古自治区,0.1,20200101
烟台市,山东省,0.1,20200101
濮阳市,河南省,0.1,20200101
厦门市,福建省,0.1,20200101
成都市,四川省,0.09,20200101
朝阳市,辽宁省,0.09,20200101
晋中市,山西省,24.33,20200102
太原市,山西省,22.29,20200102
石家庄市,河北省,8.23,20200102
忻州市,山西省,6.62,20200102
北京市,北京市,4.6,20200102
榆林市,陕西省,3.12,20200102
吕梁市,山西省,2.85,20200102
保定市,河北省,1.47,20200102
长治市,山西省,1.47,20200102
安阳市,河南省,1.3,20200102
