city_name,province_name,value,date
安阳市,河南省,36.85,20200101
郑州市,河南省,20.91,20200101
新乡市,河南省,13.44,20200101
濮阳市,河南省,4.33,20200101
焦作市,河南省,1.8,20200101
北京市,北京市,1.75,20200101
邯郸市,河北省,1.28,20200101
开封市,河南省,1.14,20200101
洛阳市,河南省,0.79,20200101
周口市,河南省,0.76,20200101
平顶山市,河南省,0.73,20200101
商丘市,河南省,0.71,20200101
天津市,天津市,0.68,20200101
许昌市,河南省,0.66,20200101
南阳市,河南省,0.58,20200101
菏泽市,山东省,0.56,20200101
武汉市,湖北省,0.52,20200101
长治市,山西省,0.5,20200101
石家庄市,河北省,0.44,20200101
驻马店市,河南省,0.4,20200101
保定市,河北省,0.37,20200101
西安市,陕西省,0.36,20200101
唐山市,河北省,0.32,20200101
沧州市,河北省,0.32,20200101
邢台市,河北省,0.3,20200101
苏州市,江苏省,0.29,20200101
晋城市,山西省,0.28,20200101
上海市,上海市,0.23,20200101
南京市,江苏省,0.22,20200101
廊坊市,河北省,0.22,20200101
信阳市,河南省,0.19,20200101
漯河市,河南省,0.18,20200101
泰安市,山东省,0.15,20200101
三门峡市,河南省,0.15,20200101
潍坊市,山东省,0.15,20200101
阳泉市,山西省,0.15,20200101
太原市,山西省,0.15,20200101
聊城市,山东省,0.15,20200101
晋中市,山西省,0.14,20200101
长沙市,湖南省,0.14,20200101
济源市,河南省,0.14,20200101
无锡市,江苏省,0.13,20200101
德州市,山东省,0.12,20200101
三亚市,海南省,0.12,20200101
青岛市,山东省,0.12,20200101
济南市,山东省,0.12,20200101
临汾市,山西省,0.12,20200101
临沂市,山东省,0.11,20200101
合肥市,安徽省,0.11,20200101
深圳市,广东省,0.11,20200101
郑州市,河南省,25.25,20200102
安阳市,河南省,22.69,20200102
新乡市,河南省,11.23,20200102
濮阳市,河南省,3.42,20200102
北京市,北京市,2.61,20200102
焦作市,河南省,2.08,20200102
开封市,河南省,1.59,20200102
天津市,天津市,1.56,20200102
邯郸市,河北省,1.33,20200102
洛阳市,河南省,1.11,20200102
南阳市,河南省,0.96,20200102
周口市,河南省,0.92,20200102
许昌市,河南省,0.86,20200102
商丘市,河南省,0.83,20200102
武汉市,湖北省,0.79,20200102
平顶山市,河南省,0.74,20200102
唐山市,河北省,0.66,20200102
驻马店市,河南省,0.66,20200102
石家庄市,河北省,0.65,20200102
保定市,河北省,0.6,20200102
上海市,上海市,0.59,20200102
邢台市,河北省,0.54,20200102
菏泽市,山东省,0.52,20200102
徐州市,江苏省,0.45,20200102
信阳市,河南省,0.43,20200102
沧州市,河北省,0.42,20200102
漯河市,河南省,0.42,20200102
苏州市,江苏省,0.42,20200102
廊坊市,河北省,0.42,20200102
西安市,陕西省,0.39,20200102
长治市,山西省,0.38,20200102
济源市,河南省,0.36,20200102
临汾市,山西省,0.34,20200102
重庆市,重庆市,0.32,20200102
三门峡市,河南省,0.29,20200102
黄山市,安徽省,0.25,20200102
泰安市,山东省,0.25,20200102
长沙市,湖南省,0.25,20200102
衡水市,河北省,0.23,20200102
运城市,山西省,0.23,20200102
太原市,山西省,0.23,20200102
济宁市,山东省,0.21,20200102
广州市,广东省,0.21,20200102
德州市,山东省,0.21,20200102
无锡市,江苏省,0.21,20200102
聊城市,山东省,0.2,20200102
十堰市,湖北省,0.2,20200102
晋城市,山西省,0.2,20200102
宜昌市,湖北省,0.2,20200102
杭州市,浙江省,0.18,20200102
安阳市,河南省,32.57,20200103
郑州市,河南省,20.34,20200103
新乡市,河南省,12.55,20200103
濮阳市,河南省,4.06,20200103
北京市,北京市,1.74,20200103
焦作市,河南省,1.43,20200103
邯郸市,河北省,1.41,20200103
开封市,河南省,1.27,20200103
天津市,天津市,1.23,20200103
洛阳市,河南省,1.03,20200103
南阳市,河南省,0.99,20200103
平顶山市,河南省,0.85,20200103
周口市,河南省,0.8,20200103
商丘市,河南省,0.74,20200103
驻马店市,河南省,0.73,20200103
许昌市,河南省,0.71,20200103
上海市,上海市,0.61,20200103
石家庄市,河北省,0.6,20200103
武汉市,湖北省,0.57,20200103
唐山市,河北省,0.57,20200103
保定市,河北省,0.53,20200103
菏泽市,山东省,0.51,20200103
苏州市,江苏省,0.49,20200103
邢台市,河北省,0.46,20200103
长治市,山西省,0.46,20200103
沧州市,河北省,0.44,20200103
廊坊市,河北省,0.42,20200103
信阳市,河南省,0.37,20200103
西安市,陕西省,0.36,20200103
漯河市,河南省,0.33,20200103
聊城市,山东省,0.3,20200103
晋城市,山西省,0.29,20200103
长沙市,湖南省,0.29,20200103
徐州市,江苏省,0.27,20200103
烟台市,山东省,0.26,20200103
三门峡市,河南省,0.23,20200103
南京市,江苏省,0.19,20200103
济南市,山东省,0.18,20200103
济源市,河南省,0.17,20200103
厦门市,福建省,0.17,20200103
泰安市,山东省,0.17,20200103
临汾市,山西省,0.17,20200103
吕梁市,山西省,0.16,20200103
太原市,山西省,0.16,20200103
济宁市,山东省,0.15,20200103
襄阳市,湖北省,0.15,20200103
深圳市,广东省,0.15,20200103
重庆市,重庆市,0.15,20200103
常德市,湖南省,0.15,20200103
宜昌市,湖北省,0.14,20200103
安阳市,河南省,36.76,20200104
郑州市,河南省,19.29,20200104
新乡市,河南省,12.88,20200104
濮阳市,河南省,4.11,20200104
邯郸市,河北省,1.8,20200104
北京市,北京市,1.58,20200104
焦作市,河南省,1.26,20200104
开封市,河南省,1.21,20200104
苏州市,江苏省,1.08,20200104
天津市,天津市,1.02,20200104
洛阳市,河南省,0.87,20200104
许昌市,河南省,0.8,20200104
菏泽市,山东省,0.77,20200104
南阳市,河南省,0.69,20200104
周口市,河南省,0.67,20200104
邢台市,河北省,0.53,20200104
商丘市,河南省,0.46,20200104
石家庄市,河北省,0.45,20200104
保定市,河北省,0.44,20200104
长治市,山西省,0.43,20200104
驻马店市,河南省,0.39,20200104
上海市,上海市,0.39,20200104
武汉市,湖北省,0.38,20200104
平顶山市,河南省,0.34,20200104
聊城市,山东省,0.34,20200104
沧州市,河北省,0.32,20200104
唐山市,河北省,0.3,20200104
济南市,山东省,0.29,20200104
三门峡市,河南省,0.28,20200104
廊坊市,河北省,0.28,20200104
信阳市,河南省,0.24,20200104
西安市,陕西省,0.23,20200104
晋城市,山西省,0.2,20200104
漯河市,河南省,0.19,20200104
广州市,广东省,0.19,20200104
深圳市,广东省,0.18,20200104
南京市,江苏省,0.17,20200104
徐州市,江苏省,0.17,20200104
无锡市,江苏省,0.17,20200104
合肥市,安徽省,0.15,20200104
太原市,山西省,0.13,20200104
十堰市,湖北省,0.13,20200104
青岛市,山东省,0.13,20200104
襄阳市,湖北省,0.13,20200104
重庆市,重庆市,0.13,20200104
金华市,浙江省,0.12,20200104
临汾市,山西省,0.11,20200104
衡水市,河北省,0.11,20200104
海口市,海南省,0.11,20200104
杭州市,浙江省,0.11,20200104
安阳市,河南省,35.12,20200105
郑州市,河南省,23.54,20200105
新乡市,河南省,12.08,20200105
濮阳市,河南省,4.1,20200105
北京市,北京市,2.54,20200105
焦作市,河南省,1.23,20200105
邯郸市,河北省,1.1,20200105
开封市,河南省,1.03,20200105
洛阳市,河南省,1.0,20200105
苏州市,江苏省,0.82,20200105
天津市,天津市,0.81,20200105
周口市,河南省,0.71,20200105
许昌市,河南省,0.65,20200105
南阳市,河南省,0.65,20200105
商丘市,河南省,0.57,20200105
驻马店市,河南省,0.56,20200105
武汉市,湖北省,0.53,20200105
上海市,上海市,0.52,20200105
石家庄市,河北省,0.52,20200105
保定市,河北省,0.48,20200105
邢台市,河北省,0.41,20200105
济源市,河南省,0.37,20200105
菏泽市,山东省,0.32,20200105
平顶山市,河南省,0.32,20200105
西安市,陕西省,0.31,20200105
三门峡市,河南省,0.3,20200105
济南市,山东省,0.28,20200105
金华市,浙江省,0.25,20200105
南京市,江苏省,0.25,20200105
杭州市,浙江省,0.24,20200105
信阳市,河南省,0.23,20200105
聊城市,山东省,0.23,20200105
