city_name,province_name,value,date
佳木斯市,黑龙江省,49.14,20200101
哈尔滨市,黑龙江省,21.38,20200101
双鸭山市,黑龙江省,5.94,20200101
伊春市,黑龙江省,3.85,20200101
绥化市,黑龙江省,2.32,20200101
北京市,北京市,1.63,20200101
长春市,吉林省,1.48,20200101
鸡西市,黑龙江省,1.29,20200101
齐齐哈尔市,黑龙江省,1.02,20200101
大庆市,黑龙江省,0.91,20200101
七台河市,黑龙江省,0.87,20200101
牡丹江市,黑龙江省,0.8,20200101
黑河市,黑龙江省,0.76,20200101
沈阳市,辽宁省,0.6,20200101
天津市,天津市,0.53,20200101
吉林市,吉林省,0.34,20200101
烟台市,山东省,0.34,20200101
大连市,辽宁省,0.34,20200101
青岛市,山东省,0.26,20200101
松原市,吉林省,0.22,20200101
上海市,上海市,0.22,20200101
深圳市,广东省,0.22,20200101
南充市,四川省,0.19,20200101
沧州市,河北省,0.19,20200101
济南市,山东省,0.19,20200101
安庆市,安徽省,0.15,20200101
三亚市,海南省,0.15,20200101
唐山市,河北省,0.15,20200101
南通市,江苏省,0.15,20200101
广州市,广东省,0.15,20200101
苏州市,江苏省,0.11,20200101
菏泽市,山东省,0.11,20200101
威海市,山东省,0.11,20200101
陵水黎族自治县,海南省,0.11,20200101
北海市,广西壮族自治区,0.11,20200101
赤峰市,内蒙古自治区,0.11,20200101
张家口市,河北省,0.11,20200101
潍坊市,山东省,0.11,20200101
延边朝鲜族自治州,吉林省,0.11,20200101
阜新市,辽宁省,0.07,20200101
贵阳市,贵州省,0.07,20200101
廊坊市,河北省,0.07,20200101
秦皇岛市,河北省,0.07,20200101
朝阳市,辽宁省,0.07,20200101
石家庄市,河北省,0.07,20200101
连云港市,江苏省,0.07,20200101
葫芦岛市,辽宁省,0.07,20200101
通辽市,内蒙古自治区,0.07,20200101
丹东市,辽宁省,0.07,20200101
泰安市,山东省,0.07,20200101
哈尔滨市,黑龙江省,33.28,20200102
佳木斯市,黑龙江省,31.82,20200102
双鸭山市,黑龙江省,3.78,20200102
绥化市,黑龙江省,3.17,20200102
伊春市,黑龙江省,3.17,20200102
北京市,北京市,2.08,20200102
大庆市,黑龙江省,1.9,20200102
长春市,吉林省,1.87,20200102
牡丹江市,黑龙江省,1.43,20200102
齐齐哈尔市,黑龙江省,1.39,20200102
黑河市,黑龙江省,1.36,20200102
沈阳市,辽宁省,1.29,20200102
鸡西市,黑龙江省,0.95,20200102
七台河市,黑龙江省,0.88,20200102
青岛市,山东省,0.88,20200102
大连市,辽宁省,0.81,20200102
天津市,天津市,0.75,20200102
济南市,山东省,0.47,20200102
廊坊市,河北省,0.44,20200102
松原市,吉林省,0.34,20200102
三亚市,海南省,0.34,20200102
烟台市,山东省,0.23,20200102
上海市,上海市,0.23,20200102
广州市,广东省,0.23,20200102
鞍山市,辽宁省,0.2,20200102
泰安市,山东省,0.2,20200102
临沂市,山东省,0.2,20200102
吉林市,吉林省,0.2,20200102
惠州市,广东省,0.17,20200102
威海市,山东省,0.17,20200102
长沙市,湖南省,0.17,20200102
铁岭市,辽宁省,0.13,20200102
济宁市,山东省,0.13,20200102
延边朝鲜族自治州,吉林省,0.13,20200102
唐山市,河北省,0.13,20200102
秦皇岛市,河北省,0.13,20200102
盘锦市,辽宁省,0.13,20200102
珠海市,广东省,0.13,20200102
保定市,河北省,0.13,20200102
贵阳市,贵州省,0.13,20200102
营口市,辽宁省,0.13,20200102
深圳市,广东省,0.13,20200102
石家庄市,河北省,0.13,20200102
昆明市,云南省,0.13,20200102
重庆市,重庆市,0.1,20200102
常州市,江苏省,0.1,20200102
苏州市,江苏省,0.1,20200102
抚顺市,辽宁省,0.1,20200102
通化市,吉林省,0.1,20200102
武汉市,湖北省,0.1,20200102
佳木斯市,黑龙江省,43.46,20200103
哈尔滨市,黑龙江省,25.92,20200103
伊春市,黑龙江省,3.75,20200103
双鸭山市,黑龙江省,3.18,20200103
北京市,北京市,2.13,20200103
长春市,吉林省,1.97,20200103
绥化市,黑龙江省,1.94,20200103
鸡西市,黑龙江省,1.75,20200103
大庆市,黑龙江省,1.47,20200103
牡丹江市,黑龙江省,1.44,20200103
七台河市,黑龙江省,1.09,20200103
沈阳市,辽宁省,1.04,20200103
齐齐哈尔市,黑龙江省,0.8,20200103
大连市,辽宁省,0.73,20200103
黑河市,黑龙江省,0.71,20200103
天津市,天津市,0.47,20200103
延边朝鲜族自治州,吉林省,0.38,20200103
吉林市,吉林省,0.33,20200103
上海市,上海市,0.33,20200103
青岛市,山东省,0.3,20200103
深圳市,广东省,0.3,20200103
三亚市,海南省,0.28,20200103
烟台市,山东省,0.28,20200103
松原市,吉林省,0.28,20200103
济南市,山东省,0.26,20200103
秦皇岛市,河北省,0.21,20200103
唐山市,河北省,0.21,20200103
宁波市,浙江省,0.16,20200103
四平市,吉林省,0.16,20200103
德州市,山东省,0.14,20200103
郑州市,河南省,0.14,20200103
营口市,辽宁省,0.14,20200103
广州市,广东省,0.14,20200103
徐州市,江苏省,0.11,20200103
苏州市,江苏省,0.11,20200103
临沂市,山东省,0.11,20200103
朝阳市,辽宁省,0.11,20200103
成都市,四川省,0.11,20200103
辽源市,吉林省,0.11,20200103
泰安市,山东省,0.09,20200103
丹东市,辽宁省,0.09,20200103
常州市,江苏省,0.09,20200103
葫芦岛市,辽宁省,0.09,20200103
锦州市,辽宁省,0.09,20200103
石家庄市,河北省,0.09,20200103
通化市,吉林省,0.07,20200103
福州市,福建省,0.07,20200103
鞍山市,辽宁省,0.07,20200103
南京市,江苏省,0.07,20200103
乐东黎族自治县,海南省,0.07,20200103
佳木斯市,黑龙江省,46.6,20200104
哈尔滨市,黑龙江省,21.38,20200104
双鸭山市,黑龙江省,5.15,20200104
伊春市,黑龙江省,3.81,20200104
绥化市,黑龙江省,2.62,20200104
七台河市,黑龙江省,1.97,20200104
北京市,北京市,1.87,20200104
鸡西市,黑龙江省,1.71,20200104
牡丹江市,黑龙江省,1.26,20200104
齐齐哈尔市,黑龙江省,1.02,20200104
大庆市,黑龙江省,0.94,20200104
长春市,吉林省,0.84,20200104
大连市,辽宁省,0.82,20200104
沈阳市,辽宁省,0.73,20200104
天津市,天津市,0.55,20200104
黑河市,黑龙江省,0.53,20200104
松原市,吉林省,0.43,20200104
烟台市,山东省,0.37,20200104
青岛市,山东省,0.31,20200104
上海市,上海市,0.27,20200104
三亚市,海南省,0.25,20200104
秦皇岛市,河北省,0.25,20200104
深圳市,广东省,0.21,20200104
四平市,吉林省,0.21,20200104
营口市,辽宁省,0.21,20200104
吉林市,吉林省,0.19,20200104
济南市,山东省,0.15,20200104
昆明市,云南省,0.15,20200104
珠海市,广东省,0.15,20200104
成都市,四川省,0.15,20200104
兴安盟,内蒙古自治区,0.13,20200104
廊坊市,河北省,0.13,20200104
苏州市,江苏省,0.13,20200104
呼伦贝尔市,内蒙古自治区,0.13,20200104
杭州市,浙江省,0.13,20200104
潍坊市,山东省,0.13,20200104
德州市,山东省,0.13,20200104
济宁市,山东省,0.11,20200104
铁岭市,辽宁省,0.11,20200104
锦州市,辽宁省,0.09,20200104
厦门市,福建省,0.09,20200104
威海市,山东省,0.09,20200104
葫芦岛市,辽宁省,0.09,20200104
西安市,陕西省,0.07,20200104
东莞市,广东省,0.07,20200104
唐山市,河北省,0.07,20200104
朝阳市,辽宁省,0.07,20200104
鞍山市,辽宁省,0.05,20200104
汉中市,陕西省,0.05,20200104
南京市,江苏省,0.05,20200104
佳木斯市,黑龙江省,46.01,20200105
哈尔滨市,黑龙江省,24.59,20200105
双鸭山市,黑龙江省,4.26,20200105
伊春市,黑龙江省,4.05,20200105
绥化市,黑龙江省,2.2,20200105
北京市,北京市,1.81,20200105
长春市,吉林省,1.49,20200105
牡丹江市,黑龙江省,1.39,20200105
大庆市,黑龙江省,1.1,20200105
七台河市,黑龙江省,1.01,20200105
齐齐哈尔市,黑龙江省,0.91,20200105
鸡西市,黑龙江省,0.87,20200105
沈阳市,辽宁省,0.81,20200105
天津市,天津市,0.64,20200105
大连市,辽宁省,0.6,20200105
上海市,上海市,0.49,20200105
青岛市,山东省,0.45,20200105
黑河市,黑龙江省,0.41,20200105
松原市,吉林省,0.41,20200105
烟台市,山东省,0.22,20200105
潍坊市,山东省,0.2,20200105
秦皇岛市,河北省,0.18,20200105
石家庄市,河北省,0.18,20200105
盘锦市,辽宁省,0.18,20200105
四平市,吉林省,0.16,20200105
廊坊市,河北省,0.16,20200105
呼伦贝尔市,内蒙古自治区,0.16,20200105
三亚市,海南省,0.16,20200105
德州市,山东省,0.14,20200105
丹东市,辽宁省,0.14,20200105
亳州市,安徽省,0.14,20200105
成都市,四川省,0.12,20200105
南京市,江苏省,0.1,20200105
吉林市,吉林省,0.1,20200105
昆明市,云南省,0.1,20200105
济南市,山东省,0.1,20200105
广州市,广东省,0.1,20200105
苏州市,江苏省,0.08,20200105
威海市,山东省,0.08,20200105
鞍山市,辽宁省,0.08,20200105
锦州市,辽宁省,0.08,20200105
辽阳市,辽宁省,0.08,20200105
临沂市,山东省,0.08,20200105
泰安市,山东省,0.08,20200105
铁岭市,辽宁省,0.08,20200105
兴安盟,内蒙古自治区,0.06,20200105
聊城市,山东省,0.06,20200105
杭州市,浙江省,0.06,20200105
信阳市,河南省,0.06,20200105
抚顺市,辽宁省,0.06,20200105
佳木斯市,黑龙江省,44.99,20200106
哈尔滨市,黑龙江省,23.91,20200106
双鸭山市,黑龙江省,4.14,20200106
伊春市,黑龙江省,3.94,20200106
绥化市,黑龙江省,2.31,20200106
北京市,北京市,1.62,20200106
长春市,吉林省,1.54,20200106
牡丹江市,黑龙江省,1.37,20200106
鸡西市,黑龙江省,1.16,20200106
齐齐哈尔市,黑龙江省,1.08,20200106
七台河市,黑龙江省,0.97,20200106
沈阳市,辽宁省,0.95,20200106
大庆市,黑龙江省,0.95,20200106
黑河市,黑龙江省,0.75,20200106
大连市,辽宁省,0.68,20200106
青岛市,山东省,0.64,20200106
济南市,山东省,0.39,20200106
三亚市,海南省,0.31,20200106
吉林市,吉林省,0.31,20200106
天津市,天津市,0.29,20200106
上海市,上海市,0.25,20200106
广州市,广东省,0.22,20200106
郑州市,河南省,0.2,20200106
锦州市,辽宁省,0.18,20200106
松原市,吉林省,0.18,20200106
葫芦岛市,辽宁省,0.16,20200106
威海市,山东省,0.14,20200106
成都市,四川省,0.14,20200106
烟台市,山东省,0.14,20200106
沧州市,河北省,0.14,20200106
呼伦贝尔市,内蒙古自治区,0.12,20200106
延边朝鲜族自治州,吉林省,0.12,20200106
大兴安岭地区,黑龙江省,0.12,20200106
潍坊市,山东省,0.12,20200106
四平市,吉林省,0.12,20200106
泰安市,山东省,0.1,20200106
杭州市,浙江省,0.1,20200106
朝阳市,辽宁省,0.1,20200106
丹东市,辽宁省,0.1,20200106
海口市,海南省,0.1,20200106
南昌市,江西省,0.1,20200106
白城市,吉林省,0.1,20200106
唐山市,河北省,0.1,20200106
苏州市,江苏省,0.1,20200106
廊坊市,河北省,0.08,20200106
滨州市,山东省,0.08,20200106
通化市,吉林省,0.08,20200106
台州市,浙江省,0.08,20200106
承德市,河北省,0.08,20200106
辽阳市,辽宁省,0.08,20200106
佳木斯市,黑龙江省,41.93,20200107
哈尔滨市,黑龙江省,24.93,20200107
双鸭山市,黑龙江省,3.53,20200107
伊春市,黑龙江省,3.17,20200107
绥化市,黑龙江省,2.25,20200107
北京市,北京市,2.11,20200107
长春市,吉林省,1.47,20200107
牡丹江市,黑龙江省,1.25,20200107
鸡西市,黑龙江省,1.13,20200107
齐齐哈尔市,黑龙江省,1.05,20200107
黑河市,黑龙江省,0.89,20200107
大庆市,黑龙江省,0.85,20200107
七台河市,黑龙江省,0.79,20200107
沈阳市,辽宁省,0.73,20200107
吉林市,吉林省,0.55,20200107
大连市,辽宁省,0.47,20200107
天津市,天津市,0.41,20200107
四平市,吉林省,0.39,20200107
松原市,吉林省,0.39,20200107
济南市,山东省,0.27,20200107
青岛市,山东省,0.25,20200107
郑州市,河南省,0.25,20200107
上海市,上海市,0.23,20200107
朝阳市,辽宁省,0.21,20200107
成都市,四川省,0.19,20200107
丹东市,辽宁省,0.19,20200107
菏泽市,山东省,0.17,20200107
潍坊市,山东省,0.17,20200107
重庆市,重庆市,0.17,20200107
德州市,山东省,0.15,20200107
廊坊市,河北省,0.15,20200107
广州市,广东省,0.15,20200107
三亚市,海南省,0.15,20200107
沧州市,河北省,0.15,20200107
烟台市,山东省,0.13,20200107
深圳市,广东省,0.13,20200107
伊犁哈萨克自治州,新疆维吾尔自治区,0.13,20200107
唐山市,河北省,0.13,20200107
葫芦岛市,辽宁省,0.13,20200107
北海市,广西壮族自治区,0.11,20200107
盘锦市,辽宁省,0.11,20200107
海口市,海南省,0.11,20200107
辽阳市,辽宁省,0.11,20200107
喀什地区,新疆维吾尔自治区,0.11,20200107
苏州市,江苏省,0.11,20200107
珠海市,广东省,0.11,20200107
延边朝鲜族自治州,吉林省,0.11,20200107
兴安盟,内蒙古自治区,0.11,20200107
赤峰市,内蒙古自治区,0.11,20200107
秦皇岛市,河北省,0.11,20200107
佳木斯市,黑龙江省,40.68,20200108
哈尔滨市,黑龙江省,27.45,20200108
双鸭山市,黑龙江省,3.93,20200108
伊春市,黑龙江省,2.96,20200108
绥化市,黑龙江省,2.89,20200108
北京市,北京市,1.81,20200108
长春市,吉林省,1.43,20200108
鸡西市,黑龙江省,1.36,20200108
七台河市,黑龙江省,1.13,20200108
齐齐哈尔市,黑龙江省,1.03,20200108
大庆市,黑龙江省,0.98,20200108
沈阳市,辽宁省,0.88,20200108
牡丹江市,黑龙江省,0.86,20200108
黑河市,黑龙江省,0.52,20200108
松原市,吉林省,0.51,20200108
四平市,吉林省,0.37,20200108
天津市,天津市,0.35,20200108
青岛市,山东省,0.32,20200108
大连市,辽宁省,0.3,20200108
三亚市,海南省,0.28,20200108
济南市,山东省,0.26,20200108
吉林市,吉林省,0.26,20200108
德州市,山东省,0.24,20200108
白城市,吉林省,0.24,20200108
西宁市,青海省,0.22,20200108
滨州市,山东省,0.2,20200108
重庆市,重庆市,0.2,20200108
呼伦贝尔市,内蒙古自治区,0.2,20200108
朝阳市,辽宁省,0.18,20200108
上海市,上海市,0.18,20200108
成都市,四川省,0.18,20200108
济宁市,山东省,0.17,20200108
承德市,河北省,0.17,20200108
深圳市,广东省,0.17,20200108
唐山市,河北省,0.17,20200108
鞍山市,辽宁省,0.15,20200108
周口市,河南省,0.15,20200108
阜新市,辽宁省,0.15,20200108
聊城市,山东省,0.15,20200108
烟台市,山东省,0.15,20200108
秦皇岛市,河北省,0.15,20200108
临沂市,山东省,0.15,20200108
菏泽市,山东省,0.13,20200108
营口市,辽宁省,0.13,20200108
保定市,河北省,0.13,20200108
通辽市,内蒙古自治区,0.11,20200108
通化市,吉林省,0.11,20200108
盘锦市,辽宁省,0.11,20200108
廊坊市,河北省,0.11,20200108
海口市,海南省,0.09,20200108
佳木斯市,黑龙江省,42.15,20200109
哈尔滨市,黑龙江省,25.79,20200109
双鸭山市,黑龙江省,4.76,20200109
伊春市,黑龙江省,3.2,20200109
绥化市,黑龙江省,3.13,20200109
鸡西市,黑龙江省,2.34,20200109
北京市,北京市,1.47,20200109
长春市,吉林省,1.25,20200109
牡丹江市,黑龙江省,1.08,20200109
七台河市,黑龙江省,1.08,20200109
大庆市,黑龙江省,1.02,20200109
齐齐哈尔市,黑龙江省,0.99,20200109
沈阳市,辽宁省,0.97,20200109
大连市,辽宁省,0.69,20200109
黑河市,黑龙江省,0.51,20200109
青岛市,山东省,0.44,20200109
天津市,天津市,0.39,20200109
深圳市,广东省,0.33,20200109
上海市,上海市,0.26,20200109
潍坊市,山东省,0.26,20200109
松原市,吉林省,0.23,20200109
廊坊市,河北省,0.19,20200109
盘锦市,辽宁省,0.17,20200109
白城市,吉林省,0.15,20200109
三亚市,海南省,0.15,20200109
烟台市,山东省,0.15,20200109
济宁市,山东省,0.14,20200109
济南市,山东省,0.14,20200109
四平市,吉林省,0.14,20200109
赤峰市,内蒙古自治区,0.14,20200109
