city_name,province_name,value,date
上饶市,江西省,27.46,20200101
南昌市,江西省,14.64,20200101
抚州市,江西省,10.19,20200101
金华市,浙江省,5.29,20200101
杭州市,浙江省,2.91,20200101
景德镇市,江西省,2.79,20200101
上海市,上海市,2.76,20200101
宜春市,江西省,2.3,20200101
九江市,江西省,1.75,20200101
温州市,浙江省,1.58,20200101
福州市,福建省,1.52,20200101
赣州市,江西省,1.33,20200101
南平市,福建省,1.31,20200101
泉州市,福建省,1.28,20200101
吉安市,江西省,1.26,20200101
宁波市,浙江省,0.98,20200101
广州市,广东省,0.93,20200101
绍兴市,浙江省,0.87,20200101
苏州市,江苏省,0.86,20200101
厦门市,福建省,0.82,20200101
深圳市,广东省,0.73,20200101
嘉兴市,浙江省,0.72,20200101
台州市,浙江省,0.7,20200101
长沙市,湖南省,0.66,20200101
新余市,江西省,0.58,20200101
东莞市,广东省,0.5,20200101
衢州市,浙江省,0.47,20200101
武汉市,湖北省,0.45,20200101
萍乡市,江西省,0.42,20200101
北京市,北京市,0.38,20200101
南京市,江苏省,0.33,20200101
湖州市,浙江省,0.33,20200101
株洲市,湖南省,0.29,20200101
佛山市,广东省,0.28,20200101
无锡市,江苏省,0.28,20200101
惠州市,广东省,0.28,20200101
三明市,福建省,0.22,20200101
徐州市,江苏省,0.22,20200101
漳州市,福建省,0.21,20200101
莆田市,福建省,0.21,20200101
黄冈市,湖北省,0.21,20200101
镇江市,江苏省,0.19,20200101
郑州市,河南省,0.19,20200101
合肥市,安徽省,0.19,20200101
南通市,江苏省,0.19,20200101
丽水市,浙江省,0.19,20200101
成都市,四川省,0.17,20200101
安庆市,安徽省,0.15,20200101
石家庄市,河北省,0.15,20200101
重庆市,重庆市,0.15,20200101
南昌市,江西省,16.78,20200102
上饶市,江西省,14.35,20200102
金华市,浙江省,7.32,20200102
抚州市,江西省,7.03,20200102
杭州市,浙江省,4.23,20200102
上海市,上海市,3.33,20200102
九江市,江西省,2.58,20200102
景德镇市,江西省,2.39,20200102
温州市,浙江省,2.34,20200102
宜春市,江西省,2.12,20200102
福州市,福建省,2.09,20200102
泉州市,福建省,1.69,20200102
赣州市,江西省,1.68,20200102
深圳市,广东省,1.35,20200102
广州市,广东省,1.32,20200102
新余市,江西省,1.32,20200102
嘉兴市,浙江省,1.29,20200102
厦门市,福建省,1.22,20200102
宁波市,浙江省,1.08,20200102
武汉市,湖北省,1.05,20200102
萍乡市,江西省,0.95,20200102
北京市,北京市,0.91,20200102
绍兴市,浙江省,0.9,20200102
吉安市,江西省,0.86,20200102
南平市,福建省,0.81,20200102
苏州市,江苏省,0.81,20200102
东莞市,广东省,0.67,20200102
台州市,浙江省,0.66,20200102
佛山市,广东省,0.66,20200102
无锡市,江苏省,0.64,20200102
长沙市,湖南省,0.56,20200102
南京市,江苏省,0.49,20200102
湖州市,浙江省,0.44,20200102
衢州市,浙江省,0.37,20200102
成都市,四川省,0.33,20200102
重庆市,重庆市,0.32,20200102
合肥市,安徽省,0.32,20200102
莆田市,福建省,0.3,20200102
宁德市,福建省,0.28,20200102
株洲市,湖南省,0.28,20200102
徐州市,江苏省,0.28,20200102
丽水市,浙江省,0.28,20200102
昆明市,云南省,0.27,20200102
黄冈市,湖北省,0.25,20200102
漳州市,福建省,0.23,20200102
惠州市,广东省,0.23,20200102
西安市,陕西省,0.23,20200102
贵阳市,贵州省,0.22,20200102
南通市,江苏省,0.2,20200102
石家庄市,河北省,0.2,20200102
南昌市,江西省,20.51,20200103
上饶市,江西省,18.01,20200103
抚州市,江西省,8.43,20200103
金华市,浙江省,5.13,20200103
上海市,上海市,3.46,20200103
杭州市,浙江省,3.23,20200103
九江市,江西省,2.62,20200103
宜春市,江西省,2.06,20200103
景德镇市,江西省,2.03,20200103
赣州市,江西省,1.8,20200103
福州市,福建省,1.63,20200103
温州市,浙江省,1.6,20200103
新余市,江西省,1.31,20200103
泉州市,福建省,1.27,20200103
嘉兴市,浙江省,1.15,20200103
宁波市,浙江省,1.14,20200103
绍兴市,浙江省,1.07,20200103
南平市,福建省,0.99,20200103
吉安市,江西省,0.97,20200103
苏州市,江苏省,0.96,20200103
厦门市,福建省,0.92,20200103
深圳市,广东省,0.9,20200103
广州市,广东省,0.81,20200103
台州市,浙江省,0.77,20200103
北京市,北京市,0.69,20200103
无锡市,江苏省,0.57,20200103
武汉市,湖北省,0.56,20200103
东莞市,广东省,0.55,20200103
南京市,江苏省,0.54,20200103
衢州市,浙江省,0.46,20200103
萍乡市,江西省,0.46,20200103
长沙市,湖南省,0.39,20200103
成都市,四川省,0.35,20200103
湖州市,浙江省,0.35,20200103
三明市,福建省,0.32,20200103
惠州市,广东省,0.31,20200103
黄冈市,湖北省,0.28,20200103
莆田市,福建省,0.27,20200103
合肥市,安徽省,0.26,20200103
佛山市,广东省,0.24,20200103
重庆市,重庆市,0.23,20200103
郑州市,河南省,0.23,20200103
株洲市,湖南省,0.21,20200103
南通市,江苏省,0.2,20200103
保定市,河北省,0.2,20200103
天津市,天津市,0.19,20200103
衡阳市,湖南省,0.18,20200103
宣城市,安徽省,0.18,20200103
漳州市,福建省,0.18,20200103
西安市,陕西省,0.18,20200103
上饶市,江西省,18.68,20200104
南昌市,江西省,18.28,20200104
抚州市,江西省,9.47,20200104
金华市,浙江省,6.72,20200104
杭州市,浙江省,3.49,20200104
九江市,江西省,2.44,20200104
上海市,上海市,2.43,20200104
温州市,浙江省,2.37,20200104
景德镇市,江西省,2.2,20200104
赣州市,江西省,1.55,20200104
宜春市,江西省,1.44,20200104
新余市,江西省,1.36,20200104
宁波市,浙江省,1.33,20200104
福州市,福建省,1.33,20200104
嘉兴市,浙江省,1.19,20200104
台州市,浙江省,1.09,20200104
广州市,广东省,1.07,20200104
吉安市,江西省,1.01,20200104
绍兴市,浙江省,0.98,20200104
泉州市,福建省,0.96,20200104
苏州市,江苏省,0.88,20200104
深圳市,广东省,0.88,20200104
厦门市,福建省,0.85,20200104
南平市,福建省,0.7,20200104
湖州市,浙江省,0.68,20200104
衢州市,浙江省,0.61,20200104
东莞市,广东省,0.6,20200104
长沙市,湖南省,0.55,20200104
武汉市,湖北省,0.54,20200104
南京市,江苏省,0.5,20200104
无锡市,江苏省,0.45,20200104
北京市,北京市,0.45,20200104
萍乡市,江西省,0.37,20200104
莆田市,福建省,0.35,20200104
成都市,四川省,0.33,20200104
南通市,江苏省,0.3,20200104
合肥市,安徽省,0.26,20200104
惠州市,广东省,0.25,20200104
徐州市,江苏省,0.24,20200104
株洲市,湖南省,0.24,20200104
佛山市,广东省,0.24,20200104
重庆市,重庆市,0.22,20200104
丽水市,浙江省,0.22,20200104
郑州市,河南省,0.21,20200104
昆明市,云南省,0.21,20200104
三明市,福建省,0.2,20200104
泰州市,江苏省,0.19,20200104
青岛市,山东省,0.17,20200104
宣城市,安徽省,0.17,20200104
黄石市,湖北省,0.15,20200104
上饶市,江西省,22.67,20200105
南昌市,江西省,16.99,20200105
抚州市,江西省,9.56,20200105
金华市,浙江省,6.03,20200105
杭州市,浙江省,3.07,20200105
景德镇市,江西省,2.67,20200105
上海市,上海市,2.53,20200105
九江市,江西省,2.23,20200105
温州市,浙江省,1.87,20200105
宜春市,江西省,1.75,20200105
福州市,福建省,1.41,20200105
赣州市,江西省,1.29,20200105
泉州市,福建省,1.27,20200105
吉安市,江西省,1.09,20200105
厦门市,福建省,1.07,20200105
嘉兴市,浙江省,1.04,20200105
新余市,江西省,1.02,20200105
南平市,福建省,0.94,20200105
深圳市,广东省,0.77,20200105
苏州市,江苏省,0.76,20200105
宁波市,浙江省,0.76,20200105
广州市,广东省,0.76,20200105
绍兴市,浙江省,0.75,20200105
台州市,浙江省,0.7,20200105
东莞市,广东省,0.63,20200105
湖州市,浙江省,0.61,20200105
长沙市,湖南省,0.59,20200105
萍乡市,江西省,0.56,20200105
武汉市,湖北省,0.49,20200105
成都市,四川省,0.48,20200105
南京市,江苏省,0.46,20200105
衢州市,浙江省,0.45,20200105
惠州市,广东省,0.43,20200105
无锡市,江苏省,0.42,20200105
南通市,江苏省,0.3,20200105
北京市,北京市,0.3,20200105
天津市,天津市,0.3,20200105
莆田市,福建省,0.26,20200105
郑州市,河南省,0.26,20200105
佛山市,广东省,0.26,20200105
重庆市,重庆市,0.21,20200105
株洲市,湖南省,0.21,20200105
宁德市,福建省,0.2,20200105
昆明市,云南省,0.18,20200105
西安市,陕西省,0.18,20200105
合肥市,安徽省,0.17,20200105
宣城市,安徽省,0.17,20200105
黄冈市,湖北省,0.16,20200105
常州市,江苏省,0.16,20200105
徐州市,江苏省,0.16,20200105
上饶市,江西省,18.77,20200106
南昌市,江西省,17.21,20200106
抚州市,江西省,8.1,20200106
金华市,浙江省,6.0,20200106
杭州市,浙江省,3.57,20200106
上海市,上海市,2.61,20200106
温州市,浙江省,2.54,20200106
景德镇市,江西省,2.44,20200106
九江市,江西省,2.38,20200106
宜春市,江西省,2.05,20200106
福州市,福建省,1.78,20200106
赣州市,江西省,1.56,20200106
泉州市,福建省,1.45,20200106
嘉兴市,浙江省,1.33,20200106
宁波市,浙江省,1.1,20200106
东莞市,广东省,1.06,20200106
广州市,广东省,1.06,20200106
深圳市,广东省,1.03,20200106
绍兴市,浙江省,1.03,20200106
台州市,浙江省,0.98,20200106
苏州市,江苏省,0.93,20200106
