city_name,province_name,value,date
上饶市,江西省,28.74,20200101
南昌市,江西省,20.91,20200101
抚州市,江西省,12.83,20200101
景德镇市,江西省,2.8,20200101
金华市,浙江省,2.58,20200101
宜春市,江西省,2.45,20200101
上海市,上海市,2.2,20200101
九江市,江西省,1.83,20200101
杭州市,浙江省,1.47,20200101
赣州市,江西省,1.45,20200101
吉安市,江西省,1.17,20200101
温州市,浙江省,1.0,20200101
福州市,福建省,0.98,20200101
南平市,福建省,0.79,20200101
绍兴市,浙江省,0.74,20200101
新余市,江西省,0.66,20200101
厦门市,福建省,0.59,20200101
衢州市,浙江省,0.59,20200101
武汉市,湖北省,0.57,20200101
长沙市,湖南省,0.57,20200101
苏州市,江苏省,0.55,20200101
广州市,广东省,0.55,20200101
深圳市,广东省,0.53,20200101
北京市,北京市,0.47,20200101
台州市,浙江省,0.44,20200101
泉州市,福建省,0.44,20200101
株洲市,湖南省,0.42,20200101
萍乡市,江西省,0.4,20200101
嘉兴市,浙江省,0.38,20200101
无锡市,江苏省,0.38,20200101
宁波市,浙江省,0.34,20200101
东莞市,广东省,0.32,20200101
南京市,江苏省,0.21,20200101
合肥市,安徽省,0.21,20200101
昆明市,云南省,0.21,20200101
佛山市,广东省,0.21,20200101
信阳市,河南省,0.19,20200101
郑州市,河南省,0.19,20200101
宁德市,福建省,0.17,20200101
重庆市,重庆市,0.17,20200101
黄石市,湖北省,0.17,20200101
邵阳市,湖南省,0.17,20200101
黄冈市,湖北省,0.14,20200101
淮安市,江苏省,0.14,20200101
安庆市,安徽省,0.14,20200101
湖州市,浙江省,0.14,20200101
成都市,四川省,0.14,20200101
衡阳市,湖南省,0.14,20200101
黄山市,安徽省,0.14,20200101
海口市,海南省,0.12,20200101
上饶市,江西省,22.56,20200102
南昌市,江西省,18.19,20200102
抚州市,江西省,9.05,20200102
金华市,浙江省,3.74,20200102
景德镇市,江西省,3.13,20200102
宜春市,江西省,2.69,20200102
上海市,上海市,2.67,20200102
九江市,江西省,2.52,20200102
赣州市,江西省,2.3,20200102
杭州市,浙江省,1.94,20200102
新余市,江西省,1.65,20200102
吉安市,江西省,1.48,20200102
福州市,福建省,1.11,20200102
温州市,浙江省,1.11,20200102
长沙市,湖南省,1.09,20200102
厦门市,福建省,0.92,20200102
广州市,广东省,0.75,20200102
绍兴市,浙江省,0.7,20200102
深圳市,广东省,0.68,20200102
株洲市,湖南省,0.63,20200102
萍乡市,江西省,0.6,20200102
台州市,浙江省,0.58,20200102
泉州市,福建省,0.58,20200102
衢州市,浙江省,0.55,20200102
东莞市,广东省,0.55,20200102
武汉市,湖北省,0.53,20200102
苏州市,江苏省,0.53,20200102
北京市,北京市,0.51,20200102
无锡市,江苏省,0.48,20200102
佛山市,广东省,0.46,20200102
宁波市,浙江省,0.43,20200102
三明市,福建省,0.43,20200102
嘉兴市,浙江省,0.38,20200102
南平市,福建省,0.36,20200102
重庆市,重庆市,0.36,20200102
丽水市,浙江省,0.36,20200102
南京市,江苏省,0.31,20200102
宣城市,安徽省,0.29,20200102
合肥市,安徽省,0.29,20200102
六盘水市,贵州省,0.26,20200102
芜湖市,安徽省,0.26,20200102
邵阳市,湖南省,0.24,20200102
黔西南布依族苗族自治州,贵州省,0.24,20200102
郴州市,湖南省,0.24,20200102
成都市,四川省,0.21,20200102
常州市,江苏省,0.21,20200102
莆田市,福建省,0.21,20200102
黄冈市,湖北省,0.21,20200102
郑州市,河南省,0.19,20200102
三亚市,海南省,0.19,20200102
上饶市,江西省,27.03,20200103
南昌市,江西省,19.16,20200103
抚州市,江西省,10.75,20200103
景德镇市,江西省,4.51,20200103
金华市,浙江省,2.74,20200103
宜春市,江西省,2.51,20200103
九江市,江西省,2.16,20200103
上海市,上海市,2.01,20200103
杭州市,浙江省,1.85,20200103
赣州市,江西省,1.69,20200103
吉安市,江西省,1.35,20200103
福州市,福建省,0.99,20200103
新余市,江西省,0.94,20200103
长沙市,湖南省,0.92,20200103
南平市,福建省,0.9,20200103
温州市,浙江省,0.87,20200103
厦门市,福建省,0.8,20200103
萍乡市,江西省,0.73,20200103
株洲市,湖南省,0.66,20200103
广州市,广东省,0.65,20200103
衢州市,浙江省,0.63,20200103
武汉市,湖北省,0.56,20200103
台州市,浙江省,0.51,20200103
苏州市,江苏省,0.49,20200103
绍兴市,浙江省,0.45,20200103
重庆市,重庆市,0.44,20200103
深圳市,广东省,0.44,20200103
宁波市,浙江省,0.38,20200103
东莞市,广东省,0.37,20200103
泉州市,福建省,0.34,20200103
南京市,江苏省,0.34,20200103
北京市,北京市,0.3,20200103
湖州市,浙江省,0.24,20200103
合肥市,安徽省,0.23,20200103
三明市,福建省,0.23,20200103
无锡市,江苏省,0.22,20200103
嘉兴市,浙江省,0.22,20200103
