city_name,province_name,value,date
武汉市,湖北省,44.22,20200101
黄石市,湖北省,6.6,20200101
九江市,江西省,5.54,20200101
鄂州市,湖北省,4.35,20200101
深圳市,广东省,2.15,20200101
孝感市,湖北省,1.89,20200101
安庆市,安徽省,1.67,20200101
温州市,浙江省,1.66,20200101
杭州市,浙江省,1.59,20200101
上海市,上海市,1.57,20200101
东莞市,广东省,1.44,20200101
广州市,广东省,1.22,20200101
苏州市,江苏省,1.1,20200101
天津市,天津市,0.85,20200101
信阳市,河南省,0.85,20200101
咸宁市,湖北省,0.82,20200101
六安市,安徽省,0.81,20200101
北京市,北京市,0.73,20200101
南昌市,江西省,0.7,20200101
荆州市,湖北省,0.6,20200101
惠州市,广东省,0.59,20200101
嘉兴市,浙江省,0.57,20200101
宜昌市,湖北省,0.55,20200101
襄阳市,湖北省,0.53,20200101
泉州市,福建省,0.53,20200101
佛山市,广东省,0.48,20200101
台州市,浙江省,0.46,20200101
合肥市,安徽省,0.44,20200101
金华市,浙江省,0.42,20200101
宁波市,浙江省,0.41,20200101
南京市,江苏省,0.4,20200101
长沙市,湖南省,0.4,20200101
福州市,福建省,0.38,20200101
随州市,湖北省,0.37,20200101
阜阳市,安徽省,0.37,20200101
无锡市,江苏省,0.3,20200101
驻马店市,河南省,0.27,20200101
西安市,陕西省,0.26,20200101
荆门市,湖北省,0.25,20200101
郑州市,河南省,0.25,20200101
恩施土家族苗族自治州,湖北省,0.24,20200101
湖州市,浙江省,0.24,20200101
仙桃市,湖北省,0.24,20200101
宜春市,江西省,0.22,20200101
周口市,河南省,0.22,20200101
重庆市,重庆市,0.21,20200101
十堰市,湖北省,0.2,20200101
汕头市,广东省,0.2,20200101
中山市,广东省,0.2,20200101
常州市,江苏省,0.19,20200101
武汉市,湖北省,36.21,20200102
黄石市,湖北省,4.07,20200102
深圳市,广东省,3.48,20200102
鄂州市,湖北省,3.02,20200102
杭州市,浙江省,2.85,20200102
九江市,江西省,2.69,20200102
温州市,浙江省,2.4,20200102
广州市,广东省,2.28,20200102
东莞市,广东省,2.12,20200102
上海市,上海市,2.09,20200102
孝感市,湖北省,1.78,20200102
天津市,天津市,1.68,20200102
苏州市,江苏省,1.49,20200102
北京市,北京市,1.22,20200102
嘉兴市,浙江省,1.08,20200102
惠州市,广东省,1.0,20200102
咸宁市,湖北省,1.0,20200102
安庆市,安徽省,0.92,20200102
