city_name,province_name,value,date
杭州市,浙江省,15.17,20200101
合肥市,安徽省,11.52,20200101
宣城市,安徽省,10.26,20200101
上海市,上海市,8.07,20200101
池州市,安徽省,3.48,20200101
芜湖市,安徽省,3.1,20200101
苏州市,江苏省,2.63,20200101
宁波市,浙江省,2.32,20200101
湖州市,浙江省,2.3,20200101
上饶市,江西省,2.23,20200101
南京市,江苏省,2.22,20200101
金华市,浙江省,1.97,20200101
景德镇市,江西省,1.96,20200101
安庆市,安徽省,1.89,20200101
衢州市,浙江省,1.84,20200101
铜陵市,安徽省,1.61,20200101
嘉兴市,浙江省,1.58,20200101
绍兴市,浙江省,1.37,20200101
六安市,安徽省,1.04,20200101
温州市,浙江省,0.98,20200101
九江市,江西省,0.98,20200101
无锡市,江苏省,0.98,20200101
北京市,北京市,0.83,20200101
马鞍山市,安徽省,0.78,20200101
蚌埠市,安徽省,0.78,20200101
郑州市,河南省,0.68,20200101
滁州市,安徽省,0.68,20200101
台州市,浙江省,0.65,20200101
阜阳市,安徽省,0.6,20200101
深圳市,广东省,0.57,20200101
武汉市,湖北省,0.53,20200101
宿州市,安徽省,0.52,20200101
徐州市,江苏省,0.49,20200101
广州市,广东省,0.45,20200101
开封市,河南省,0.44,20200101
常州市,江苏省,0.44,20200101
淮南市,安徽省,0.39,20200101
福州市,福建省,0.37,20200101
淮北市,安徽省,0.35,20200101
亳州市,安徽省,0.35,20200101
信阳市,河南省,0.31,20200101
焦作市,河南省,0.27,20200101
镇江市,江苏省,0.24,20200101
南昌市,江西省,0.24,20200101
成都市,四川省,0.24,20200101
桂林市,广西壮族自治区,0.24,20200101
南平市,福建省,0.22,20200101
东莞市,广东省,0.21,20200101
丽水市,浙江省,0.21,20200101
烟台市,山东省,0.19,20200101
杭州市,浙江省,16.46,20200102
合肥市,安徽省,11.36,20200102
上海市,上海市,8.52,20200102
宣城市,安徽省,6.34,20200102
芜湖市,安徽省,4.01,20200102
池州市,安徽省,3.02,20200102
湖州市,浙江省,2.8,20200102
安庆市,安徽省,2.4,20200102
南京市,江苏省,2.14,20200102
上饶市,江西省,1.99,20200102
苏州市,江苏省,1.98,20200102
金华市,浙江省,1.92,20200102
衢州市,浙江省,1.7,20200102
景德镇市,江西省,1.46,20200102
铜陵市,安徽省,1.46,20200102
宁波市,浙江省,1.46,20200102
北京市,北京市,1.33,20200102
阜阳市,安徽省,1.22,20200102
嘉兴市,浙江省,1.21,20200102
绍兴市,浙江省,1.17,20200102
温州市,浙江省,1.04,20200102
无锡市,江苏省,0.93,20200102
马鞍山市,安徽省,0.86,20200102
亳州市,安徽省,0.78,20200102
郑州市,河南省,0.78,20200102
蚌埠市,安徽省,0.77,20200102
宿州市,安徽省,0.67,20200102
武汉市,湖北省,0.66,20200102
南昌市,江西省,0.62,20200102
六安市,安徽省,0.58,20200102
滁州市,安徽省,0.56,20200102
台州市,浙江省,0.53,20200102
深圳市,广东省,0.51,20200102
厦门市,福建省,0.49,20200102
淮南市,安徽省,0.45,20200102
周口市,河南省,0.44,20200102
九江市,江西省,0.44,20200102
常州市,江苏省,0.44,20200102
成都市,四川省,0.44,20200102
泉州市,福建省,0.4,20200102
平顶山市,河南省,0.38,20200102
广州市,广东省,0.34,20200102
镇江市,江苏省,0.33,20200102
丽水市,浙江省,0.33,20200102
济宁市,山东省,0.31,20200102
徐州市,江苏省,0.29,20200102
西安市,陕西省,0.29,20200102
赣州市,江西省,0.29,20200102
天津市,天津市,0.27,20200102
淮北市,安徽省,0.27,20200102
杭州市,浙江省,15.39,20200103
合肥市,安徽省,14.92,20200103
宣城市,安徽省,10.1,20200103
上海市,上海市,5.72,20200103
芜湖市,安徽省,3.46,20200103
池州市,安徽省,2.75,20200103
安庆市,安徽省,2.37,20200103
