city_name,province_name,value,date
鄂州市,湖北省,29.63,20200101
武汉市,湖北省,28.74,20200101
黄冈市,湖北省,14.26,20200101
咸宁市,湖北省,4.69,20200101
九江市,江西省,2.56,20200101
孝感市,湖北省,1.35,20200101
荆州市,湖北省,0.68,20200101
上海市,上海市,0.64,20200101
襄阳市,湖北省,0.62,20200101
宜昌市,湖北省,0.57,20200101
长沙市,湖南省,0.55,20200101
深圳市,广东省,0.55,20200101
南昌市,江西省,0.48,20200101
荆门市,湖北省,0.4,20200101
温州市,浙江省,0.37,20200101
杭州市,浙江省,0.36,20200101
恩施土家族苗族自治州,湖北省,0.35,20200101
北京市,北京市,0.35,20200101
随州市,湖北省,0.34,20200101
东莞市,广东省,0.34,20200101
十堰市,湖北省,0.31,20200101
合肥市,安徽省,0.31,20200101
安庆市,安徽省,0.31,20200101
广州市,广东省,0.29,20200101
郑州市,河南省,0.28,20200101
苏州市,江苏省,0.27,20200101
岳阳市,湖南省,0.26,20200101
宜春市,江西省,0.25,20200101
重庆市,重庆市,0.24,20200101
宁波市,浙江省,0.24,20200101
信阳市,河南省,0.22,20200101
南京市,江苏省,0.2,20200101
六安市,安徽省,0.18,20200101
驻马店市,河南省,0.17,20200101
赣州市,江西省,0.17,20200101
台州市,浙江省,0.17,20200101
吉安市,江西省,0.17,20200101
芜湖市,安徽省,0.17,20200101
南阳市,河南省,0.17,20200101
无锡市,江苏省,0.15,20200101
天门市,湖北省,0.15,20200101
金华市,浙江省,0.15,20200101
仙桃市,湖北省,0.15,20200101
惠州市,广东省,0.15,20200101
佛山市,广东省,0.13,20200101
周口市,河南省,0.13,20200101
铜陵市,安徽省,0.13,20200101
福州市,福建省,0.12,20200101
阜阳市,安徽省,0.12,20200101
株洲市,湖南省,0.12,20200101
武汉市,湖北省,34.54,20200102
鄂州市,湖北省,14.55,20200102
黄冈市,湖北省,10.88,20200102
咸宁市,湖北省,4.23,20200102
九江市,江西省,2.43,20200102
孝感市,湖北省,1.52,20200102
宜昌市,湖北省,1.0,20200102
襄阳市,湖北省,0.97,20200102
荆州市,湖北省,0.92,20200102
南昌市,江西省,0.88,20200102
长沙市,湖南省,0.87,20200102
深圳市,广东省,0.76,20200102
上海市,上海市,0.75,20200102
北京市,北京市,0.64,20200102
十堰市,湖北省,0.64,20200102
恩施土家族苗族自治州,湖北省,0.61,20200102
杭州市,浙江省,0.6,20200102
随州市,湖北省,0.6,20200102
苏州市,江苏省,0.56,20200102
合肥市,安徽省,0.47,20200102
安庆市,安徽省,0.46,20200102
荆门市,湖北省,0.45,20200102
温州市,浙江省,0.45,20200102
上饶市,江西省,0.43,20200102
宜春市,江西省,0.42,20200102
仙桃市,湖北省,0.41,20200102
岳阳市,湖南省,0.41,20200102
金华市,浙江省,0.37,20200102
重庆市,重庆市,0.37,20200102
广州市,广东省,0.36,20200102
郑州市,河南省,0.34,20200102
东莞市,广东省,0.33,20200102
吉安市,江西省,0.31,20200102
信阳市,河南省,0.3,20200102
驻马店市,河南省,0.29,20200102
宁波市,浙江省,0.28,20200102
南阳市,河南省,0.27,20200102
芜湖市,安徽省,0.26,20200102
天门市,湖北省,0.25,20200102
佛山市,广东省,0.25,20200102
株洲市,湖南省,0.25,20200102
南京市,江苏省,0.24,20200102
江门市,广东省,0.23,20200102
福州市,福建省,0.22,20200102
贵阳市,贵州省,0.22,20200102
湖州市,浙江省,0.21,20200102
常德市,湖南省,0.2,20200102
惠州市,广东省,0.2,20200102
台州市,浙江省,0.2,20200102
赣州市,江西省,0.19,20200102
鄂州市,湖北省,29.21,20200103
武汉市,湖北省,26.81,20200103
黄冈市,湖北省,12.49,20200103
咸宁市,湖北省,3.78,20200103
九江市,江西省,2.13,20200103
孝感市,湖北省,1.17,20200103
宜昌市,湖北省,0.96,20200103
荆州市,湖北省,0.88,20200103
长沙市,湖南省,0.85,20200103
南昌市,江西省,0.72,20200103
襄阳市,湖北省,0.71,20200103
上海市,上海市,0.65,20200103
深圳市,广东省,0.61,20200103
随州市,湖北省,0.5,20200103
恩施土家族苗族自治州,湖北省,0.47,20200103
十堰市,湖北省,0.44,20200103
合肥市,安徽省,0.44,20200103
荆门市,湖北省,0.43,20200103
杭州市,浙江省,0.38,20200103
岳阳市,湖南省,0.38,20200103
北京市,北京市,0.36,20200103
信阳市,河南省,0.36,20200103
重庆市,重庆市,0.34,20200103
郑州市,河南省,0.33,20200103
天门市,湖北省,0.32,20200103
苏州市,江苏省,0.3,20200103
广州市,广东省,0.3,20200103
宜春市,江西省,0.3,20200103
赣州市,江西省,0.27,20200103
仙桃市,湖北省,0.27,20200103
安庆市,安徽省,0.27,20200103
温州市,浙江省,0.24,20200103
六安市,安徽省,0.24,20200103
东莞市,广东省,0.23,20200103
南京市,江苏省,0.23,20200103
贵阳市,贵州省,0.2,20200103
佛山市,广东省,0.2,20200103
阜阳市,安徽省,0.2,20200103
上饶市,江西省,0.18,20200103
株洲市,湖南省,0.17,20200103
西安市,陕西省,0.17,20200103
成都市,四川省,0.17,20200103
潜江市,湖北省,0.17,20200103
无锡市,江苏省,0.17,20200103
福州市,福建省,0.17,20200103
驻马店市,河南省,0.15,20200103
芜湖市,安徽省,0.15,20200103
宁波市,浙江省,0.15,20200103
金华市,浙江省,0.15,20200103
常州市,江苏省,0.14,20200103
武汉市,湖北省,25.73,20200104
鄂州市,湖北省,25.29,20200104
黄冈市,湖北省,13.64,20200104
咸宁市,湖北省,5.11,20200104
九江市,江西省,3.01,20200104
孝感市,湖北省,1.28,20200104
荆州市,湖北省,0.97,20200104
长沙市,湖南省,0.92,20200104
宜昌市,湖北省,0.89,20200104
襄阳市,湖北省,0.84,20200104
南昌市,江西省,0.63,20200104
恩施土家族苗族自治州,湖北省,0.59,20200104
上海市,上海市,0.59,20200104
十堰市,湖北省,0.57,20200104
深圳市,广东省,0.48,20200104
合肥市,安徽省,0.46,20200104
广州市,广东省,0.43,20200104
荆门市,湖北省,0.43,20200104
安庆市,安徽省,0.42,20200104
温州市,浙江省,0.42,20200104
杭州市,浙江省,0.39,20200104
随州市,湖北省,0.39,20200104
北京市,北京市,0.38,20200104
重庆市,重庆市,0.38,20200104
六安市,安徽省,0.37,20200104
宜春市,江西省,0.36,20200104
岳阳市,湖南省,0.34,20200104
南京市,江苏省,0.31,20200104
东莞市,广东省,0.28,20200104
苏州市,江苏省,0.28,20200104
上饶市,江西省,0.28,20200104
阜阳市,安徽省,0.26,20200104
芜湖市,安徽省,0.24,20200104
郑州市,河南省,0.22,20200104
金华市,浙江省,0.22,20200104
潜江市,湖北省,0.21,20200104
仙桃市,湖北省,0.21,20200104
佛山市,广东省,0.2,20200104
无锡市,江苏省,0.2,20200104
信阳市,河南省,0.19,20200104
赣州市,江西省,0.19,20200104
惠州市,广东省,0.19,20200104
西安市,陕西省,0.18,20200104
南阳市,河南省,0.17,20200104
宁波市,浙江省,0.17,20200104
衡阳市,湖南省,0.17,20200104
成都市,四川省,0.16,20200104
贵阳市,贵州省,0.16,20200104
桂林市,广西壮族自治区,0.16,20200104
天门市,湖北省,0.15,20200104
武汉市,湖北省,31.97,20200105
鄂州市,湖北省,23.78,20200105
黄冈市,湖北省,12.42,20200105
咸宁市,湖北省,4.08,20200105
九江市,江西省,2.3,20200105
孝感市,湖北省,1.09,20200105
襄阳市,湖北省,0.92,20200105
荆州市,湖北省,0.9,20200105
宜昌市,湖北省,0.84,20200105
南昌市,江西省,0.69,20200105
上海市,上海市,0.64,20200105
恩施土家族苗族自治州,湖北省,0.62,20200105
长沙市,湖南省,0.56,20200105
深圳市,广东省,0.53,20200105
北京市,北京市,0.51,20200105
十堰市,湖北省,0.48,20200105
随州市,湖北省,0.44,20200105
重庆市,重庆市,0.43,20200105
荆门市,湖北省,0.4,20200105
安庆市,安徽省,0.39,20200105
合肥市,安徽省,0.39,20200105
杭州市,浙江省,0.39,20200105
温州市,浙江省,0.33,20200105
仙桃市,湖北省,0.3,20200105
岳阳市,湖南省,0.28,20200105
广州市,广东省,0.28,20200105
六安市,安徽省,0.28,20200105
宜春市,江西省,0.27,20200105
郑州市,河南省,0.27,20200105
苏州市,江苏省,0.26,20200105
佛山市,广东省,0.25,20200105
信阳市,河南省,0.25,20200105
金华市,浙江省,0.23,20200105
上饶市,江西省,0.23,20200105
无锡市,江苏省,0.22,20200105
潜江市,湖北省,0.22,20200105
南阳市,河南省,0.22,20200105
天门市,湖北省,0.21,20200105
南京市,江苏省,0.19,20200105
阜阳市,安徽省,0.19,20200105
芜湖市,安徽省,0.18,20200105
驻马店市,河南省,0.17,20200105
东莞市,广东省,0.17,20200105
赣州市,江西省,0.17,20200105
成都市,四川省,0.16,20200105
贵阳市,贵州省,0.16,20200105
黔东南苗族侗族自治州,贵州省,0.15,20200105
泉州市,福建省,0.14,20200105
抚州市,江西省,0.14,20200105
邯郸市,河北省,0.14,20200105
武汉市,湖北省,26.87,20200106
鄂州市,湖北省,26.09,20200106
黄冈市,湖北省,13.03,20200106
咸宁市,湖北省,4.12,20200106
九江市,江西省,2.4,20200106
孝感市,湖北省,1.29,20200106
荆州市,湖北省,1.26,20200106
宜昌市,湖北省,1.09,20200106
襄阳市,湖北省,1.04,20200106
十堰市,湖北省,0.75,20200106
恩施土家族苗族自治州,湖北省,0.7,20200106
上海市,上海市,0.58,20200106
南昌市,江西省,0.55,20200106
北京市,北京市,0.51,20200106
长沙市,湖南省,0.49,20200106
随州市,湖北省,0.48,20200106
深圳市,广东省,0.48,20200106
荆门市,湖北省,0.45,20200106
重庆市,重庆市,0.44,20200106
广州市,广东省,0.43,20200106
仙桃市,湖北省,0.4,20200106
温州市,浙江省,0.37,20200106
郑州市,河南省,0.34,20200106
苏州市,江苏省,0.32,20200106
宜春市,江西省,0.29,20200106
合肥市,安徽省,0.29,20200106
安庆市,安徽省,0.28,20200106
六安市,安徽省,0.27,20200106
岳阳市,湖南省,0.25,20200106
杭州市,浙江省,0.25,20200106
天门市,湖北省,0.21,20200106
信阳市,河南省,0.21,20200106
南京市,江苏省,0.21,20200106
西安市,陕西省,0.21,20200106
成都市,四川省,0.2,20200106
上饶市,江西省,0.2,20200106
潜江市,湖北省,0.19,20200106
驻马店市,河南省,0.19,20200106
南阳市,河南省,0.19,20200106
无锡市,江苏省,0.19,20200106
赣州市,江西省,0.18,20200106
阜阳市,安徽省,0.18,20200106
福州市,福建省,0.18,20200106
佛山市,广东省,0.18,20200106
常德市,湖南省,0.17,20200106
金华市,浙江省,0.16,20200106
东莞市,广东省,0.16,20200106
遵义市,贵州省,0.15,20200106
昆明市,云南省,0.14,20200106
衡阳市,湖南省,0.14,20200106
鄂州市,湖北省,26.56,20200107
武汉市,湖北省,24.25,20200107
黄冈市,湖北省,12.88,20200107
咸宁市,湖北省,4.22,20200107
九江市,江西省,2.13,20200107
孝感市,湖北省,1.44,20200107
宜昌市,湖北省,1.31,20200107
荆州市,湖北省,1.3,20200107
襄阳市,湖北省,1.27,20200107
恩施土家族苗族自治州,湖北省,1.27,20200107
十堰市,湖北省,1.13,20200107
随州市,湖北省,0.63,20200107
荆门市,湖北省,0.6,20200107
上海市,上海市,0.59,20200107
深圳市,广东省,0.58,20200107
北京市,北京市,0.53,20200107
南昌市,江西省,0.48,20200107
长沙市,湖南省,0.48,20200107
重庆市,重庆市,0.43,20200107
信阳市,河南省,0.43,20200107
杭州市,浙江省,0.39,20200107
广州市,广东省,0.39,20200107
温州市,浙江省,0.37,20200107
苏州市,江苏省,0.35,20200107
仙桃市,湖北省,0.34,20200107
东莞市,广东省,0.33,20200107
合肥市,安徽省,0.29,20200107
天门市,湖北省,0.27,20200107
郑州市,河南省,0.26,20200107
安庆市,安徽省,0.26,20200107
岳阳市,湖南省,0.24,20200107
潜江市,湖北省,0.23,20200107
成都市,四川省,0.23,20200107
驻马店市,河南省,0.22,20200107
六安市,安徽省,0.22,20200107
南阳市,河南省,0.21,20200107
宜春市,江西省,0.21,20200107
福州市,福建省,0.21,20200107
遵义市,贵州省,0.2,20200107
西安市,陕西省,0.2,20200107
赣州市,江西省,0.2,20200107
邯郸市,河北省,0.2,20200107
株洲市,湖南省,0.19,20200107
芜湖市,安徽省,0.18,20200107
抚州市,江西省,0.17,20200107
周口市,河南省,0.16,20200107
无锡市,江苏省,0.16,20200107
吉安市,江西省,0.16,20200107
阜阳市,安徽省,0.16,20200107
贵阳市,贵州省,0.16,20200107
武汉市,湖北省,23.94,20200108
