city_name,province_name,value,date
哈尔滨市,黑龙江省,27.9,20200101
齐齐哈尔市,黑龙江省,23.41,20200101
绥化市,黑龙江省,9.61,20200101
呼伦贝尔市,内蒙古自治区,8.48,20200101
大庆市,黑龙江省,2.86,20200101
北京市,北京市,2.55,20200101
大兴安岭地区,黑龙江省,2.35,20200101
伊春市,黑龙江省,2.0,20200101
大连市,辽宁省,2.0,20200101
天津市,天津市,1.63,20200101
沈阳市,辽宁省,1.6,20200101
长春市,吉林省,1.48,20200101
廊坊市,河北省,1.27,20200101
青岛市,山东省,1.07,20200101
佳木斯市,黑龙江省,0.85,20200101
牡丹江市,黑龙江省,0.62,20200101
上海市,上海市,0.55,20200101
鹤岗市,黑龙江省,0.5,20200101
潍坊市,山东省,0.42,20200101
苏州市,江苏省,0.42,20200101
秦皇岛市,河北省,0.35,20200101
沧州市,河北省,0.3,20200101
唐山市,河北省,0.3,20200101
宁波市,浙江省,0.27,20200101
鞍山市,辽宁省,0.27,20200101
济南市,山东省,0.22,20200101
双鸭山市,黑龙江省,0.22,20200101
营口市,辽宁省,0.22,20200101
临沂市,山东省,0.2,20200101
威海市,山东省,0.2,20200101
松原市,吉林省,0.2,20200101
白城市,吉林省,0.2,20200101
烟台市,山东省,0.2,20200101
无锡市,江苏省,0.17,20200101
广州市,广东省,0.17,20200101
四平市,吉林省,0.15,20200101
武汉市,湖北省,0.15,20200101
石家庄市,河北省,0.12,20200101
铁岭市,辽宁省,0.12,20200101
葫芦岛市,辽宁省,0.12,20200101
七台河市,黑龙江省,0.12,20200101
杭州市,浙江省,0.12,20200101
辽阳市,辽宁省,0.1,20200101
南昌市,江西省,0.1,20200101
成都市,四川省,0.1,20200101
南京市,江苏省,0.1,20200101
温州市,浙江省,0.1,20200101
鸡西市,黑龙江省,0.1,20200101
深圳市,广东省,0.1,20200101
重庆市,重庆市,0.1,20200101
哈尔滨市,黑龙江省,30.61,20200102
齐齐哈尔市,黑龙江省,15.68,20200102
绥化市,黑龙江省,6.91,20200102
呼伦贝尔市,内蒙古自治区,4.41,20200102
大庆市,黑龙江省,3.91,20200102
北京市,北京市,3.51,20200102
大连市,辽宁省,2.56,20200102
长春市,吉林省,2.36,20200102
天津市,天津市,2.12,20200102
沈阳市,辽宁省,2.12,20200102
大兴安岭地区,黑龙江省,2.04,20200102
上海市,上海市,1.7,20200102
廊坊市,河北省,1.56,20200102
青岛市,山东省,1.39,20200102
伊春市,黑龙江省,1.35,20200102
佳木斯市,黑龙江省,1.12,20200102
