city_name,province_name,value,date
哈尔滨市,黑龙江省,21.88,20200101
呼伦贝尔市,内蒙古自治区,15.03,20200101
大庆市,黑龙江省,12.27,20200101
兴安盟,内蒙古自治区,8.62,20200101
黑河市,黑龙江省,8.45,20200101
绥化市,黑龙江省,6.99,20200101
白城市,吉林省,3.63,20200101
沈阳市,辽宁省,2.07,20200101
北京市,北京市,2.04,20200101
长春市,吉林省,1.53,20200101
牡丹江市,黑龙江省,1.25,20200101
天津市,天津市,1.03,20200101
大连市,辽宁省,0.91,20200101
大兴安岭地区,黑龙江省,0.87,20200101
佳木斯市,黑龙江省,0.83,20200101
松原市,吉林省,0.67,20200101
伊春市,黑龙江省,0.48,20200101
通辽市,内蒙古自治区,0.41,20200101
青岛市,山东省,0.39,20200101
上海市,上海市,0.36,20200101
廊坊市,河北省,0.33,20200101
营口市,辽宁省,0.31,20200101
鸡西市,黑龙江省,0.31,20200101
四平市,吉林省,0.3,20200101
锦州市,辽宁省,0.28,20200101
秦皇岛市,河北省,0.28,20200101
鹤岗市,黑龙江省,0.26,20200101
吉林市,吉林省,0.24,20200101
鞍山市,辽宁省,0.21,20200101
唐山市,河北省,0.21,20200101
赤峰市,内蒙古自治区,0.21,20200101
合肥市,安徽省,0.19,20200101
本溪市,辽宁省,0.19,20200101
铁岭市,辽宁省,0.17,20200101
双鸭山市,黑龙江省,0.17,20200101
潍坊市,山东省,0.16,20200101
济南市,山东省,0.16,20200101
辽阳市,辽宁省,0.15,20200101
延边朝鲜族自治州,吉林省,0.14,20200101
广州市,广东省,0.13,20200101
成都市,四川省,0.13,20200101
盘锦市,辽宁省,0.12,20200101
沧州市,河北省,0.11,20200101
三亚市,海南省,0.11,20200101
郑州市,河南省,0.11,20200101
石家庄市,河北省,0.1,20200101
保定市,河北省,0.1,20200101
东莞市,广东省,0.1,20200101
锡林郭勒盟,内蒙古自治区,0.09,20200101
抚顺市,辽宁省,0.09,20200101
哈尔滨市,黑龙江省,24.9,20200102
呼伦贝尔市,内蒙古自治区,11.03,20200102
大庆市,黑龙江省,10.38,20200102
黑河市,黑龙江省,6.34,20200102
绥化市,黑龙江省,5.51,20200102
