city_name,province_name,value,date
厦门市,福建省,27.38,20200101
漳州市,福建省,12.42,20200101
泉州市,福建省,8.26,20200101
三明市,福建省,8.25,20200101
福州市,福建省,7.52,20200101
梅州市,广东省,6.95,20200101
赣州市,江西省,6.17,20200101
深圳市,广东省,1.74,20200101
南平市,福建省,1.62,20200101
广州市,广东省,1.36,20200101
莆田市,福建省,1.11,20200101
东莞市,广东省,1.01,20200101
惠州市,广东省,0.75,20200101
潮州市,广东省,0.72,20200101
重庆市,重庆市,0.69,20200101
宁德市,福建省,0.6,20200101
北京市,北京市,0.45,20200101
佛山市,广东省,0.44,20200101
吉安市,江西省,0.44,20200101
揭阳市,广东省,0.43,20200101
上海市,上海市,0.42,20200101
汕头市,广东省,0.42,20200101
南昌市,江西省,0.35,20200101
抚州市,江西省,0.31,20200101
杭州市,浙江省,0.28,20200101
温州市,浙江省,0.27,20200101
汕尾市,广东省,0.26,20200101
河源市,广东省,0.22,20200101
宜春市,江西省,0.21,20200101
长沙市,湖南省,0.2,20200101
武汉市,湖北省,0.18,20200101
九江市,江西省,0.17,20200101
南京市,江苏省,0.16,20200101
江门市,广东省,0.15,20200101
达州市,四川省,0.14,20200101
成都市,四川省,0.14,20200101
南阳市,河南省,0.13,20200101
上饶市,江西省,0.13,20200101
中山市,广东省,0.13,20200101
昆明市,云南省,0.13,20200101
菏泽市,山东省,0.12,20200101
毕节市,贵州省,0.12,20200101
黔东南苗族侗族自治州,贵州省,0.11,20200101
肇庆市,广东省,0.11,20200101
合肥市,安徽省,0.11,20200101
金华市,浙江省,0.11,20200101
郴州市,湖南省,0.11,20200101
恩施土家族苗族自治州,湖北省,0.1,20200101
无锡市,江苏省,0.1,20200101
景德镇市,江西省,0.09,20200101
厦门市,福建省,26.61,20200102
漳州市,福建省,9.68,20200102
福州市,福建省,8.93,20200102
泉州市,福建省,8.72,20200102
三明市,福建省,6.5,20200102
赣州市,江西省,4.64,20200102
梅州市,广东省,4.36,20200102
深圳市,广东省,1.93,20200102
南平市,福建省,1.79,20200102
广州市,广东省,1.72,20200102
重庆市,重庆市,1.17,20200102
东莞市,广东省,1.15,20200102
莆田市,福建省,1.13,20200102
上海市,上海市,1.03,20200102
宁德市,福建省,0.69,20200102
惠州市,广东省,0.63,20200102
潮州市,广东省,0.56,20200102
南昌市,江西省,0.52,20200102
北京市,北京市,0.48,20200102
汕头市,广东省,0.48,20200102
达州市,四川省,0.45,20200102
佛山市,广东省,0.45,20200102
怀化市,湖南省,0.38,20200102
河源市,广东省,0.35,20200102
铜仁市,贵州省,0.35,20200102
揭阳市,广东省,0.34,20200102
成都市,四川省,0.33,20200102
温州市,浙江省,0.33,20200102
杭州市,浙江省,0.3,20200102
吉安市,江西省,0.3,20200102
抚州市,江西省,0.3,20200102
黄冈市,湖北省,0.28,20200102
长沙市,湖南省,0.27,20200102
宜春市,江西省,0.27,20200102
黔东南苗族侗族自治州,贵州省,0.27,20200102
江门市,广东省,0.26,20200102
遂宁市,四川省,0.26,20200102
金华市,浙江省,0.25,20200102
上饶市,江西省,0.23,20200102
九江市,江西省,0.22,20200102
桂林市,广西壮族自治区,0.2,20200102
昆明市,云南省,0.2,20200102
清远市,广东省,0.2,20200102
恩施土家族苗族自治州,湖北省,0.19,20200102
韶关市,广东省,0.19,20200102
周口市,河南省,0.18,20200102
南阳市,河南省,0.17,20200102
遵义市,贵州省,0.15,20200102
百色市,广西壮族自治区,0.15,20200102
汕尾市,广东省,0.15,20200102
厦门市,福建省,27.02,20200103
漳州市,福建省,12.46,20200103
福州市,福建省,9.25,20200103
泉州市,福建省,9.1,20200103
三明市,福建省,7.88,20200103
梅州市,广东省,4.85,20200103
赣州市,江西省,4.68,20200103
莆田市,福建省,1.67,20200103
南平市,福建省,1.4,20200103
深圳市,广东省,1.32,20200103
广州市,广东省,1.16,20200103
东莞市,广东省,0.91,20200103
宁德市,福建省,0.79,20200103
重庆市,重庆市,0.75,20200103
上海市,上海市,0.66,20200103
佛山市,广东省,0.61,20200103
汕头市,广东省,0.49,20200103
南昌市,江西省,0.42,20200103
抚州市,江西省,0.41,20200103
惠州市,广东省,0.39,20200103
北京市,北京市,0.39,20200103
揭阳市,广东省,0.37,20200103
怀化市,湖南省,0.37,20200103
潮州市,广东省,0.36,20200103
吉安市,江西省,0.32,20200103
长沙市,湖南省,0.3,20200103
武汉市,湖北省,0.29,20200103
杭州市,浙江省,0.27,20200103
